id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,1128,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
2,VariableDeclaration,,-1,-1,1,0,1,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
3,VariableDeclarator,,-1,-1,1,4,1,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
4,Identifier,unpack,-1,-1,1,4,1,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
5,CallExpression,require,-1,1,1,13,1,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
6,Identifier,require,-1,-1,1,13,1,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
7,FunctionDeclaration,browsersSort,2,-1,3,0,13,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
8,Identifier,browsersSort,-1,-1,3,9,3,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
9,Identifier,a,-1,-1,3,22,3,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
10,Identifier,b,-1,-1,3,25,3,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
11,BlockStatement,,-1,-1,3,28,13,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
12,ExpressionStatement,,-1,-1,4,2,4,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
13,AssignmentExpression,,-1,-1,4,2,4,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
14,CallExpression,split,-1,1,4,6,4,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
15,MemberExpression,,-1,-1,4,6,4,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
16,Identifier,split,-1,-1,4,8,4,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/autoprefixer/data/prefixes.js
