id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,2,0,57,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
2,ImportDeclaration,,-1,-1,2,0,2,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
3,ImportDefaultSpecifier,,-1,-1,2,7,2,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
4,Identifier,chalk,-1,-1,2,7,2,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
5,ExpressionStatement,,-1,-1,4,0,57,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
6,CallExpression,suite,-1,2,4,0,57,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
7,Identifier,suite,-1,-1,4,0,4,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
8,ArrowFunctionExpression,,0,-1,4,15,57,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
9,BlockStatement,,-1,-1,4,21,57,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
10,VariableDeclaration,,-1,-1,5,1,5,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
11,VariableDeclarator,,-1,-1,5,7,5,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
12,Identifier,chalkRed,-1,-1,5,7,5,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
13,MemberExpression,,-1,-1,5,18,5,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
14,Identifier,red,-1,-1,5,24,5,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
15,VariableDeclaration,,-1,-1,6,1,6,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
16,VariableDeclarator,,-1,-1,6,7,6,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
17,Identifier,chalkBgRed,-1,-1,6,7,6,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
18,MemberExpression,,-1,-1,6,20,6,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
19,Identifier,bgRed,-1,-1,6,26,6,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
20,VariableDeclaration,,-1,-1,7,1,7,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/chalk/benchmark.js
