id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,29,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
2,VariableDeclaration,,-1,-1,1,0,27,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
3,VariableDeclarator,,-1,-1,1,4,27,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
4,Identifier,fixtures,-1,-1,1,4,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
5,ArrayExpression,,-1,-1,1,15,27,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
6,ObjectExpression,,-1,-1,2,1,6,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
7,Property,,-1,-1,3,2,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
8,Identifier,description,-1,-1,3,2,3,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
9,Property,,-1,-1,4,2,4,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
10,Identifier,args,-1,-1,4,2,4,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
11,ArrayExpression,,-1,-1,4,8,4,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
12,Property,,-1,-1,5,2,5,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
13,Identifier,expected,-1,-1,5,2,5,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
14,ObjectExpression,,-1,-1,7,1,11,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
15,Property,,-1,-1,8,2,8,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
16,Property,,-1,-1,9,2,9,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
17,ArrayExpression,,-1,-1,9,8,9,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
18,ObjectExpression,,-1,-1,9,9,9,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
19,Property,,-1,-1,9,10,9,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
20,Identifier,one,-1,-1,9,10,9,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
21,Property,,-1,-1,9,21,9,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
22,Identifier,two,-1,-1,9,21,9,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
23,Property,,-1,-1,9,32,9,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
24,Identifier,three,-1,-1,9,32,9,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
25,Property,,-1,-1,10,2,10,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
26,ObjectExpression,,-1,-1,12,1,16,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
27,Property,,-1,-1,13,2,13,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
28,Property,,-1,-1,14,2,14,50,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
29,ArrayExpression,,-1,-1,14,8,14,50,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
30,ObjectExpression,,-1,-1,14,23,14,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
31,Property,,-1,-1,14,24,14,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
32,Identifier,four,-1,-1,14,24,14,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
33,Property,,-1,-1,14,36,14,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
34,Property,,-1,-1,15,2,15,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
35,ObjectExpression,,-1,-1,17,1,21,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
36,Property,,-1,-1,18,2,18,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
37,Property,,-1,-1,19,2,19,77,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
38,ArrayExpression,,-1,-1,19,8,19,77,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
39,ObjectExpression,,-1,-1,19,16,19,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
40,Property,,-1,-1,19,17,19,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
41,Property,,-1,-1,19,28,19,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
42,ObjectExpression,,-1,-1,19,43,19,69,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
43,Property,,-1,-1,19,44,19,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
44,Property,,-1,-1,19,58,19,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
45,Identifier,five,-1,-1,19,58,19,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
46,ObjectExpression,,-1,-1,19,74,19,76,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
47,Property,,-1,-1,20,2,20,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
48,ObjectExpression,,-1,-1,22,1,26,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
49,Property,,-1,-1,23,2,23,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
50,Property,,-1,-1,24,2,24,86,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
51,ArrayExpression,,-1,-1,24,8,24,86,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
52,ArrayExpression,,-1,-1,24,9,24,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
53,ArrayExpression,,-1,-1,24,25,24,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
54,ArrayExpression,,-1,-1,24,36,24,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
55,ArrayExpression,,-1,-1,24,45,24,53,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
56,ArrayExpression,,-1,-1,24,56,24,85,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
57,ObjectExpression,,-1,-1,24,57,24,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
58,Property,,-1,-1,24,58,24,67,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
59,Identifier,six,-1,-1,24,58,24,61,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
60,ObjectExpression,,-1,-1,24,70,24,84,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
61,Property,,-1,-1,24,71,24,83,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
62,Identifier,seven,-1,-1,24,71,24,76,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
63,Property,,-1,-1,25,2,25,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
64,ExpressionStatement,,-1,-1,29,0,29,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
65,AssignmentExpression,,-1,-1,29,0,29,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
66,MemberExpression,,-1,-1,29,0,29,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
67,Identifier,module,-1,-1,29,0,29,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
68,Identifier,exports,-1,-1,29,7,29,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/fixtures.js
69,Program,,-1,-1,1,0,33,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
70,VariableDeclaration,,-1,-1,1,0,1,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
71,VariableDeclarator,,-1,-1,1,4,1,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
72,Identifier,fixtures,-1,-1,1,4,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
73,CallExpression,require,-1,1,1,15,1,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
74,Identifier,require,-1,-1,1,15,1,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
75,VariableDeclaration,,-1,-1,2,0,2,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
76,VariableDeclarator,,-1,-1,2,4,2,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
77,Identifier,local,-1,-1,2,4,2,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
78,CallExpression,require,-1,1,2,12,2,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
79,VariableDeclaration,,-1,-1,3,0,3,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
80,VariableDeclarator,,-1,-1,3,4,3,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
81,Identifier,dedupe,-1,-1,3,4,3,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
82,CallExpression,require,-1,1,3,13,3,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
83,VariableDeclaration,,-1,-1,4,0,4,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
84,VariableDeclarator,,-1,-1,4,4,4,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
85,Identifier,localPackage,-1,-1,4,4,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
86,CallExpression,require,-1,1,4,19,4,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
87,FunctionDeclaration,log,1,-1,6,0,8,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
88,Identifier,log,-1,-1,6,9,6,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
89,Identifier,message,-1,-1,6,14,6,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
90,BlockStatement,,-1,-1,6,23,8,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
91,ExpressionStatement,,-1,-1,7,1,7,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
92,CallExpression,log,-1,1,7,1,7,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
93,MemberExpression,,-1,-1,7,1,7,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
94,Identifier,console,-1,-1,7,1,7,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
95,TryStatement,,-1,-1,10,0,18,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
96,BlockStatement,,-1,-1,10,4,14,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
97,VariableDeclaration,,-1,-1,11,1,11,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
98,VariableDeclarator,,-1,-1,11,5,11,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
99,Identifier,npm,-1,-1,11,5,11,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
100,CallExpression,require,-1,1,11,11,11,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
101,VariableDeclaration,,-1,-1,12,1,12,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
102,VariableDeclarator,,-1,-1,12,5,12,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
103,Identifier,npmDedupe,-1,-1,12,5,12,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
104,CallExpression,require,-1,1,12,17,12,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
105,VariableDeclaration,,-1,-1,13,1,13,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/classnames/benchmarks/run.js
