id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
2,ExpressionStatement,,-1,-1,1,0,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
3,IfStatement,,-1,-1,3,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
4,BinaryExpression,,-1,-1,3,4,3,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
5,MemberExpression,,-1,-1,3,4,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
6,MemberExpression,,-1,-1,3,4,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
7,Identifier,process,-1,-1,3,4,3,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
8,Identifier,env,-1,-1,3,12,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
9,Identifier,NODE_ENV,-1,-1,3,16,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
10,BlockStatement,,-1,-1,3,43,5,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
11,ExpressionStatement,,-1,-1,4,2,4,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
12,AssignmentExpression,,-1,-1,4,2,4,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
13,MemberExpression,,-1,-1,4,2,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
14,Identifier,module,-1,-1,4,2,4,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
15,Identifier,exports,-1,-1,4,9,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
16,CallExpression,require,-1,1,4,19,4,62,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
17,Identifier,require,-1,-1,4,19,4,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
18,BlockStatement,,-1,-1,5,7,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
19,ExpressionStatement,,-1,-1,6,2,6,57,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
20,AssignmentExpression,,-1,-1,6,2,6,57,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
21,MemberExpression,,-1,-1,6,2,6,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
22,CallExpression,require,-1,1,6,19,6,57,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-core/index.js
23,Program,,-1,-1,1,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
24,ExpressionStatement,,-1,-1,1,0,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
25,IfStatement,,-1,-1,3,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
26,BinaryExpression,,-1,-1,3,4,3,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
27,MemberExpression,,-1,-1,3,4,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
28,MemberExpression,,-1,-1,3,4,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
29,Identifier,process,-1,-1,3,4,3,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
30,Identifier,env,-1,-1,3,12,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
31,Identifier,NODE_ENV,-1,-1,3,16,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
32,BlockStatement,,-1,-1,3,43,5,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
33,ExpressionStatement,,-1,-1,4,2,4,61,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
34,AssignmentExpression,,-1,-1,4,2,4,61,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
35,MemberExpression,,-1,-1,4,2,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
36,Identifier,module,-1,-1,4,2,4,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
37,Identifier,exports,-1,-1,4,9,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
38,CallExpression,require,-1,1,4,19,4,61,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
39,Identifier,require,-1,-1,4,19,4,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
40,BlockStatement,,-1,-1,5,7,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
41,ExpressionStatement,,-1,-1,6,2,6,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
42,AssignmentExpression,,-1,-1,6,2,6,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
43,MemberExpression,,-1,-1,6,2,6,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
44,CallExpression,require,-1,1,6,19,6,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/compiler-dom/index.js
45,Program,,-1,-1,1,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js
46,ExpressionStatement,,-1,-1,1,0,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js
47,IfStatement,,-1,-1,3,0,7,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js
48,BinaryExpression,,-1,-1,3,4,3,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js
49,MemberExpression,,-1,-1,3,4,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js
50,MemberExpression,,-1,-1,3,4,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js
51,Identifier,process,-1,-1,3,4,3,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js
52,Identifier,env,-1,-1,3,12,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js
53,Identifier,NODE_ENV,-1,-1,3,16,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js
54,BlockStatement,,-1,-1,3,43,5,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/core/packages/reactivity/index.js
