id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,57,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
2,ExpressionStatement,,-1,-1,1,0,57,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
3,AssignmentExpression,,-1,-1,1,0,57,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
4,MemberExpression,,-1,-1,1,0,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
5,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
6,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
7,FunctionExpression,,1,-1,1,17,57,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
8,Identifier,config,-1,-1,1,27,1,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
9,BlockStatement,,-1,-1,1,35,57,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
10,ExpressionStatement,,-1,-1,2,1,56,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
11,CallExpression,set,-1,1,2,1,56,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
12,MemberExpression,,-1,-1,2,1,2,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
13,Identifier,set,-1,-1,2,8,2,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
14,ObjectExpression,,-1,-1,2,12,56,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/debug/karma.conf.js
