id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,10,0,544,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
2,ExpressionStatement,,-1,-1,10,0,10,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
3,ExpressionStatement,,-1,-1,17,0,17,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
4,AssignmentExpression,,-1,-1,17,0,17,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
5,MemberExpression,,-1,-1,17,0,17,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
6,Identifier,module,-1,-1,17,0,17,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
7,Identifier,exports,-1,-1,17,7,17,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
8,Identifier,morgan,-1,-1,17,17,17,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
9,ExpressionStatement,,-1,-1,18,0,18,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
10,AssignmentExpression,,-1,-1,18,0,18,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
11,MemberExpression,,-1,-1,18,0,18,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
12,MemberExpression,,-1,-1,18,0,18,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
13,Identifier,compile,-1,-1,18,15,18,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
14,ExpressionStatement,,-1,-1,19,0,19,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
15,AssignmentExpression,,-1,-1,19,0,19,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
16,MemberExpression,,-1,-1,19,0,19,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
17,MemberExpression,,-1,-1,19,0,19,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
18,Identifier,format,-1,-1,19,15,19,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
19,ExpressionStatement,,-1,-1,20,0,20,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
20,AssignmentExpression,,-1,-1,20,0,20,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
21,MemberExpression,,-1,-1,20,0,20,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/morgan/index.js
