id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,7,0,104,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
2,ExpressionStatement,,-1,-1,7,0,7,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
3,ExpressionStatement,,-1,-1,8,0,15,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
4,AssignmentExpression,,-1,-1,8,0,15,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
5,MemberExpression,,-1,-1,8,0,8,67,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
6,Identifier,exports,-1,-1,8,0,8,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
7,TemplateLiteral,,-1,-1,8,8,8,66,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
8,TemplateElement,,-1,-1,8,8,8,66,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
9,TemplateLiteral,,-1,-1,8,70,15,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
10,TemplateElement,,-1,-1,8,70,15,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
11,ExpressionStatement,,-1,-1,17,0,24,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
12,AssignmentExpression,,-1,-1,17,0,24,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
13,MemberExpression,,-1,-1,17,0,17,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
14,TemplateLiteral,,-1,-1,17,8,17,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
15,TemplateElement,,-1,-1,17,8,17,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
16,TemplateLiteral,,-1,-1,17,78,24,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
17,TemplateElement,,-1,-1,17,78,24,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
18,ExpressionStatement,,-1,-1,26,0,41,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
19,AssignmentExpression,,-1,-1,26,0,41,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
20,MemberExpression,,-1,-1,26,0,26,64,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
21,TemplateLiteral,,-1,-1,26,8,26,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
22,TemplateElement,,-1,-1,26,8,26,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
23,TemplateLiteral,,-1,-1,26,67,41,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
24,TemplateElement,,-1,-1,26,67,41,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
25,ExpressionStatement,,-1,-1,43,0,50,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
26,AssignmentExpression,,-1,-1,43,0,50,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
27,MemberExpression,,-1,-1,43,0,43,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
28,TemplateLiteral,,-1,-1,43,8,43,67,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
29,TemplateElement,,-1,-1,43,8,43,67,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
30,TemplateLiteral,,-1,-1,43,71,50,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
31,TemplateElement,,-1,-1,43,71,50,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
32,ExpressionStatement,,-1,-1,52,0,59,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
33,AssignmentExpression,,-1,-1,52,0,59,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
34,MemberExpression,,-1,-1,52,0,52,77,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
35,TemplateLiteral,,-1,-1,52,8,52,76,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js
