id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,71,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
2,ExpressionStatement,,-1,-1,1,0,1,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
3,VariableDeclaration,,-1,-1,3,0,3,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
4,VariableDeclarator,,-1,-1,3,4,3,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
5,Identifier,lodash,-1,-1,3,4,3,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
6,CallExpression,require,-1,1,3,13,3,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
7,Identifier,require,-1,-1,3,13,3,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
8,VariableDeclaration,,-1,-1,4,0,4,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
9,VariableDeclarator,,-1,-1,4,4,4,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
10,Identifier,objectAssign,-1,-1,4,4,4,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
11,CallExpression,require,-1,1,4,19,4,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
12,VariableDeclaration,,-1,-1,6,0,10,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
13,VariableDeclarator,,-1,-1,6,4,10,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
14,Identifier,source1,-1,-1,6,4,6,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
15,ObjectExpression,,-1,-1,6,14,10,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
16,Property,,-1,-1,7,1,7,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
17,Identifier,a,-1,-1,7,1,7,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
18,Property,,-1,-1,8,1,8,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
19,Identifier,b,-1,-1,8,1,8,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/object-assign/bench.js
