id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,25,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
2,ExpressionStatement,,-1,-1,1,0,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
3,VariableDeclaration,,-1,-1,3,0,3,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
4,VariableDeclarator,,-1,-1,3,4,3,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
5,Identifier,Container,-1,-1,3,4,3,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
6,CallExpression,require,-1,1,3,16,3,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
7,Identifier,require,-1,-1,3,16,3,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
8,ClassDeclaration,,-1,-1,5,0,20,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
9,Identifier,AtRule,-1,-1,5,6,5,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
10,ClassBody,,-1,-1,5,31,20,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
11,MethodDefinition,,-1,-1,6,2,9,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
12,Identifier,constructor,-1,-1,6,2,6,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
13,FunctionExpression,,1,-1,6,13,9,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
14,Identifier,defaults,-1,-1,6,14,6,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
15,BlockStatement,,-1,-1,6,24,9,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
16,ExpressionStatement,,-1,-1,7,4,7,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
17,CallExpression,,-1,1,7,4,7,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
18,Super,,-1,-1,7,4,7,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
19,ExpressionStatement,,-1,-1,8,4,8,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
20,AssignmentExpression,,-1,-1,8,4,8,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
21,MemberExpression,,-1,-1,8,4,8,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
22,ThisExpression,,-1,-1,8,4,8,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
23,Identifier,type,-1,-1,8,9,8,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
24,MethodDefinition,,-1,-1,11,2,14,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
25,Identifier,append,-1,-1,11,2,11,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
26,FunctionExpression,,1,-1,11,8,14,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
27,RestElement,,-1,-1,11,9,11,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
28,Identifier,children,-1,-1,11,12,11,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
29,BlockStatement,,-1,-1,11,22,14,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/postcss/lib/at-rule.js
