id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,66,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
2,ExpressionStatement,,-1,-1,1,0,1,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
3,VariableDeclaration,,-1,-1,3,0,3,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
4,VariableDeclarator,,-1,-1,3,4,3,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
5,Identifier,fs,-1,-1,3,4,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
6,CallExpression,require,-1,1,3,9,3,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
7,Identifier,require,-1,-1,3,9,3,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
8,VariableDeclaration,,-1,-1,4,0,4,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
9,VariableDeclarator,,-1,-1,4,4,4,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
10,Identifier,rimraf,-1,-1,4,4,4,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
11,CallExpression,require,-1,1,4,13,4,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
12,VariableDeclaration,,-1,-1,5,0,5,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
13,VariableDeclarator,,-1,-1,5,4,5,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
14,Identifier,acorn,-1,-1,5,4,5,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
15,CallExpression,require,-1,1,5,12,5,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
16,VariableDeclaration,,-1,-1,6,0,6,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
17,VariableDeclarator,,-1,-1,6,4,6,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
18,Identifier,walk,-1,-1,6,4,6,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
19,CallExpression,require,-1,1,6,11,6,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
20,VariableDeclaration,,-1,-1,7,0,7,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
21,VariableDeclarator,,-1,-1,7,4,7,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
22,Identifier,crypto,-1,-1,7,4,7,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
23,CallExpression,require,-1,1,7,13,7,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
24,VariableDeclaration,,-1,-1,9,0,9,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
25,VariableDeclarator,,-1,-1,9,4,9,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
26,Identifier,shasum,-1,-1,9,4,9,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
27,CallExpression,createHash,-1,1,9,13,9,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
28,MemberExpression,,-1,-1,9,13,9,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
29,Identifier,createHash,-1,-1,9,20,9,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
30,ExpressionStatement,,-1,-1,10,0,12,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
31,CallExpression,forEach,-1,1,10,0,12,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
32,MemberExpression,,-1,-1,10,0,10,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
33,CallExpression,sort,-1,0,10,0,10,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
34,MemberExpression,,-1,-1,10,0,10,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
35,CallExpression,readdirSync,-1,1,10,0,10,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
36,MemberExpression,,-1,-1,10,0,10,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
37,Identifier,readdirSync,-1,-1,10,3,10,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
38,BinaryExpression,,-1,-1,10,15,10,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
39,Identifier,__dirname,-1,-1,10,15,10,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
40,Identifier,sort,-1,-1,10,35,10,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
41,Identifier,forEach,-1,-1,10,42,10,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
42,FunctionExpression,,1,-1,10,50,12,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
43,Identifier,filename,-1,-1,10,60,10,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
44,BlockStatement,,-1,-1,10,70,12,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
45,ExpressionStatement,,-1,-1,11,2,11,73,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
46,CallExpression,update,-1,1,11,2,11,72,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/promise/build.js
