id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,2087,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
2,ExpressionStatement,,-1,-1,1,0,2087,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
3,CallExpression,,-1,1,1,0,2087,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
4,FunctionExpression,,1,-1,1,1,1,316,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
5,Identifier,f,-1,-1,1,10,1,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
6,BlockStatement,,-1,-1,1,12,1,316,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
7,IfStatement,,-1,-1,1,13,1,315,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
8,LogicalExpression,,-1,-1,1,16,1,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
9,BinaryExpression,,-1,-1,1,16,1,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
10,UnaryExpression,,-1,-1,1,16,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
11,Identifier,exports,-1,-1,1,23,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
12,BinaryExpression,,-1,-1,1,43,1,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
13,UnaryExpression,,-1,-1,1,43,1,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
14,Identifier,module,-1,-1,1,50,1,56,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
15,BlockStatement,,-1,-1,1,71,1,91,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
16,ExpressionStatement,,-1,-1,1,72,1,90,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
17,AssignmentExpression,,-1,-1,1,72,1,90,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
18,MemberExpression,,-1,-1,1,72,1,86,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
19,CallExpression,f,-1,0,1,87,1,90,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
20,IfStatement,,-1,-1,1,96,1,315,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
21,LogicalExpression,,-1,-1,1,99,1,137,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
22,BinaryExpression,,-1,-1,1,99,1,125,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
23,UnaryExpression,,-1,-1,1,99,1,112,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
24,Identifier,define,-1,-1,1,106,1,112,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
25,MemberExpression,,-1,-1,1,127,1,137,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
26,Identifier,amd,-1,-1,1,134,1,137,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
27,BlockStatement,,-1,-1,1,138,1,152,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
28,ExpressionStatement,,-1,-1,1,139,1,151,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
29,CallExpression,define,-1,2,1,139,1,151,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
30,ArrayExpression,,-1,-1,1,146,1,148,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
31,BlockStatement,,-1,-1,1,156,1,315,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
32,VariableDeclaration,,-1,-1,1,157,1,163,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
33,VariableDeclarator,,-1,-1,1,161,1,162,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
34,Identifier,g,-1,-1,1,161,1,162,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
35,IfStatement,,-1,-1,1,163,1,304,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
36,BinaryExpression,,-1,-1,1,166,1,193,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
37,UnaryExpression,,-1,-1,1,166,1,179,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
38,Identifier,window,-1,-1,1,173,1,179,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
39,BlockStatement,,-1,-1,1,194,1,204,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
40,ExpressionStatement,,-1,-1,1,195,1,203,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
41,AssignmentExpression,,-1,-1,1,195,1,203,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
42,IfStatement,,-1,-1,1,209,1,304,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
43,BinaryExpression,,-1,-1,1,212,1,239,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
44,UnaryExpression,,-1,-1,1,212,1,225,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/qs/dist/qs.js
