id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,2,0,15,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
2,ExpressionStatement,,-1,-1,2,0,4,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
3,CallExpression,addEventListener,-1,2,2,0,4,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
4,MemberExpression,,-1,-1,2,0,2,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
5,Identifier,self,-1,-1,2,0,2,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
6,Identifier,addEventListener,-1,-1,2,5,2,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
7,FunctionExpression,,1,-1,2,33,4,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
8,Identifier,e,-1,-1,2,43,2,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
9,BlockStatement,,-1,-1,2,46,4,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
10,ExpressionStatement,,-1,-1,3,2,3,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
11,CallExpression,skipWaiting,-1,0,3,2,3,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
12,MemberExpression,,-1,-1,3,2,3,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
13,Identifier,skipWaiting,-1,-1,3,7,3,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
14,ExpressionStatement,,-1,-1,6,0,15,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
15,CallExpression,addEventListener,-1,2,6,0,15,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
16,MemberExpression,,-1,-1,6,0,6,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
17,FunctionExpression,,1,-1,6,34,15,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
18,BlockStatement,,-1,-1,6,47,15,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
19,ExpressionStatement,,-1,-1,7,2,14,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
20,CallExpression,then,-1,1,7,2,14,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
21,MemberExpression,,-1,-1,7,2,12,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
22,CallExpression,then,-1,1,7,2,11,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
23,MemberExpression,,-1,-1,7,2,9,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
24,CallExpression,unregister,-1,0,7,2,8,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
25,MemberExpression,,-1,-1,7,2,8,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
26,MemberExpression,,-1,-1,7,2,7,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/router/packages/docs/public/service-worker.js
