id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,31,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/commands.js
2,ExpressionStatement,,-1,-1,1,0,31,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/commands.js
3,AssignmentExpression,,-1,-1,1,0,31,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/commands.js
4,MemberExpression,,-1,-1,1,0,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/commands.js
5,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/commands.js
6,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/commands.js
7,ArrayExpression,,-1,-1,1,17,31,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/commands.js
8,Program,,-1,-1,2,0,12,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
9,VariableDeclaration,,-1,-1,2,0,2,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
10,VariableDeclarator,,-1,-1,2,4,2,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
11,Identifier,shell,-1,-1,2,4,2,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
12,CallExpression,require,-1,1,2,12,2,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
13,Identifier,require,-1,-1,2,12,2,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
14,VariableDeclaration,,-1,-1,3,0,3,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
15,VariableDeclarator,,-1,-1,3,4,3,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
16,Identifier,common,-1,-1,3,4,3,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
17,CallExpression,require,-1,1,3,13,3,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
18,ExpressionStatement,,-1,-1,4,0,6,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
19,CallExpression,forEach,-1,1,4,0,6,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
20,MemberExpression,,-1,-1,4,0,4,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
21,CallExpression,keys,-1,1,4,0,4,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
22,MemberExpression,,-1,-1,4,0,4,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
23,Identifier,Object,-1,-1,4,0,4,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
24,Identifier,keys,-1,-1,4,7,4,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
25,Identifier,forEach,-1,-1,4,19,4,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
26,FunctionExpression,,1,-1,4,27,6,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
27,Identifier,cmd,-1,-1,4,37,4,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
28,BlockStatement,,-1,-1,4,42,6,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
29,ExpressionStatement,,-1,-1,5,2,5,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
30,AssignmentExpression,,-1,-1,5,2,5,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
31,MemberExpression,,-1,-1,5,2,5,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
32,Identifier,global,-1,-1,5,2,5,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
33,MemberExpression,,-1,-1,5,16,5,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
34,VariableDeclaration,,-1,-1,8,0,8,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/shelljs/global.js
