id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,4,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
2,ExpressionStatement,,-1,-1,1,0,4,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
3,AssignmentExpression,,-1,-1,1,0,4,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
4,MemberExpression,,-1,-1,1,0,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
5,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
6,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
7,ObjectExpression,,-1,-1,1,17,4,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
8,Property,,-1,-1,2,2,2,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
9,Identifier,root,-1,-1,2,2,2,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
10,Property,,-1,-1,3,2,3,65,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
11,Identifier,extends,-1,-1,3,2,3,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
12,ArrayExpression,,-1,-1,3,11,3,65,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.eslintrc.js
13,Program,,-1,-1,1,0,1,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
14,ExpressionStatement,,-1,-1,1,0,1,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
15,AssignmentExpression,,-1,-1,1,0,1,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
16,MemberExpression,,-1,-1,1,0,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
17,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
18,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
19,ObjectExpression,,-1,-1,1,17,1,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
20,Property,,-1,-1,1,19,1,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
21,Identifier,singleQuote,-1,-1,1,19,1,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/.prettierrc.js
22,Program,,-1,-1,1,0,19,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
23,VariableDeclaration,,-1,-1,1,0,1,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
24,VariableDeclarator,,-1,-1,1,6,1,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
25,Identifier,MIN_BABEL_VERSION,-1,-1,1,6,1,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
26,ExpressionStatement,,-1,-1,3,0,19,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
27,AssignmentExpression,,-1,-1,3,0,19,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
28,MemberExpression,,-1,-1,3,0,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
29,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
30,Identifier,exports,-1,-1,3,7,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
31,ArrowFunctionExpression,,1,-1,3,17,19,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
32,Identifier,api,-1,-1,3,18,3,21,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
33,BlockStatement,,-1,-1,3,26,19,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
34,ExpressionStatement,,-1,-1,4,2,4,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
35,CallExpression,assertVersion,-1,1,4,2,4,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
36,MemberExpression,,-1,-1,4,2,4,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
37,Identifier,assertVersion,-1,-1,4,6,4,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
38,ExpressionStatement,,-1,-1,5,2,5,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
39,CallExpression,cache,-1,1,5,2,5,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
40,MemberExpression,,-1,-1,5,2,5,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
41,Identifier,cache,-1,-1,5,6,5,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
42,ReturnStatement,,-1,-1,7,2,18,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
43,ObjectExpression,,-1,-1,7,9,18,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
44,Property,,-1,-1,8,4,17,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
45,Identifier,presets,-1,-1,8,4,8,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
46,ArrayExpression,,-1,-1,8,13,17,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
47,ArrayExpression,,-1,-1,9,6,16,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
48,ObjectExpression,,-1,-1,11,8,15,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
49,Property,,-1,-1,12,10,14,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
50,Identifier,targets,-1,-1,12,10,12,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
51,ObjectExpression,,-1,-1,12,19,14,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
52,Property,,-1,-1,13,12,13,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
53,Identifier,node,-1,-1,13,12,13,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/babel.config.js
54,Program,,-1,-1,1,0,3,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/commitlint.config.js
55,ExpressionStatement,,-1,-1,1,0,3,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/commitlint.config.js
56,AssignmentExpression,,-1,-1,1,0,3,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/commitlint.config.js
57,MemberExpression,,-1,-1,1,0,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/commitlint.config.js
58,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/commitlint.config.js
59,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/commitlint.config.js
60,ObjectExpression,,-1,-1,1,17,3,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/commitlint.config.js
61,Property,,-1,-1,2,2,2,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/commitlint.config.js
62,Identifier,extends,-1,-1,2,2,2,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/commitlint.config.js
63,ArrayExpression,,-1,-1,2,11,2,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/commitlint.config.js
64,Program,,-1,-1,1,0,6,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
65,ExpressionStatement,,-1,-1,1,0,6,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
66,AssignmentExpression,,-1,-1,1,0,6,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
67,MemberExpression,,-1,-1,1,0,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
68,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
69,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
70,ObjectExpression,,-1,-1,1,17,6,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
71,Property,,-1,-1,2,2,5,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
72,Identifier,hooks,-1,-1,2,2,2,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
73,ObjectExpression,,-1,-1,2,9,5,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
74,Property,,-1,-1,3,4,3,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
75,Property,,-1,-1,4,4,4,50,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/husky.config.js
76,Program,,-1,-1,1,0,4,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/lint-staged.config.js
77,ExpressionStatement,,-1,-1,1,0,4,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/lint-staged.config.js
78,AssignmentExpression,,-1,-1,1,0,4,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/lint-staged.config.js
79,MemberExpression,,-1,-1,1,0,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/lint-staged.config.js
80,Identifier,module,-1,-1,1,0,1,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/lint-staged.config.js
81,Identifier,exports,-1,-1,1,7,1,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/lint-staged.config.js
82,ObjectExpression,,-1,-1,1,17,4,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/lint-staged.config.js
83,Property,,-1,-1,2,2,2,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/lint-staged.config.js
84,ArrayExpression,,-1,-1,2,10,2,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/lint-staged.config.js
85,Property,,-1,-1,3,2,3,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/lint-staged.config.js
86,ArrayExpression,,-1,-1,3,28,3,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/lint-staged.config.js
87,Program,,-1,-1,1,0,4,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
88,VariableDeclaration,,-1,-1,1,0,1,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
89,VariableDeclarator,,-1,-1,1,6,1,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
90,Identifier,loader,-1,-1,1,6,1,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
91,CallExpression,require,-1,1,1,15,1,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
92,Identifier,require,-1,-1,1,15,1,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
93,ExpressionStatement,,-1,-1,3,0,3,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
94,AssignmentExpression,,-1,-1,3,0,3,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
95,MemberExpression,,-1,-1,3,0,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
96,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
97,Identifier,exports,-1,-1,3,7,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
98,MemberExpression,,-1,-1,3,17,3,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
99,Identifier,default,-1,-1,3,24,3,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
100,ExpressionStatement,,-1,-1,4,0,4,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
101,AssignmentExpression,,-1,-1,4,0,4,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
102,MemberExpression,,-1,-1,4,0,4,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
103,MemberExpression,,-1,-1,4,0,4,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
104,Identifier,raw,-1,-1,4,15,4,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
105,MemberExpression,,-1,-1,4,21,4,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/cjs.js
106,Program,,-1,-1,1,0,133,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
107,ImportDeclaration,,-1,-1,1,0,1,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
108,ImportDefaultSpecifier,,-1,-1,1,7,1,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
109,Identifier,path,-1,-1,1,7,1,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
110,ImportDeclaration,,-1,-1,3,0,3,42,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
111,ImportSpecifier,,-1,-1,3,9,3,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
112,Identifier,getOptions,-1,-1,3,9,3,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
113,ImportDeclaration,,-1,-1,4,0,4,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
114,ImportSpecifier,,-1,-1,4,9,4,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
115,Identifier,validate,-1,-1,4,9,4,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
116,ImportDeclaration,,-1,-1,5,0,5,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
117,ImportDefaultSpecifier,,-1,-1,5,7,5,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
118,Identifier,mime,-1,-1,5,7,5,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
119,ImportDeclaration,,-1,-1,7,0,7,58,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
120,ImportDefaultSpecifier,,-1,-1,7,7,7,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
121,Identifier,normalizeFallback,-1,-1,7,7,7,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
122,ImportDeclaration,,-1,-1,8,0,8,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
123,ImportDefaultSpecifier,,-1,-1,8,7,8,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
124,Identifier,schema,-1,-1,8,7,8,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
125,FunctionDeclaration,shouldTransform,2,-1,10,0,24,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
126,Identifier,shouldTransform,-1,-1,10,9,10,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
127,Identifier,limit,-1,-1,10,25,10,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
128,Identifier,size,-1,-1,10,32,10,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
129,BlockStatement,,-1,-1,10,38,24,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/url-loader/src/index.js
