id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,48,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
2,ExpressionStatement,,-1,-1,1,0,1,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
3,VariableDeclaration,,-1,-1,3,0,3,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
4,VariableDeclarator,,-1,-1,3,6,3,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
5,Identifier,benchmark,-1,-1,3,6,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
6,CallExpression,require,-1,1,3,18,3,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
7,Identifier,require,-1,-1,3,18,3,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
8,VariableDeclaration,,-1,-1,4,0,4,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
9,VariableDeclarator,,-1,-1,4,6,4,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
10,Identifier,crypto,-1,-1,4,6,4,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
11,CallExpression,require,-1,1,4,15,4,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
12,VariableDeclaration,,-1,-1,6,0,6,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
13,VariableDeclarator,,-1,-1,6,6,6,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
14,Identifier,Sender,-1,-1,6,6,6,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
15,MemberExpression,,-1,-1,6,15,6,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
16,CallExpression,require,-1,1,6,15,6,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
17,VariableDeclaration,,-1,-1,8,0,8,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
18,VariableDeclarator,,-1,-1,8,6,8,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
19,Identifier,data1,-1,-1,8,6,8,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
20,CallExpression,randomBytes,-1,1,8,14,8,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
21,MemberExpression,,-1,-1,8,14,8,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
22,Identifier,randomBytes,-1,-1,8,21,8,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
23,VariableDeclaration,,-1,-1,9,0,9,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
24,VariableDeclarator,,-1,-1,9,6,9,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
25,Identifier,data2,-1,-1,9,6,9,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
26,CallExpression,randomBytes,-1,1,9,14,9,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
27,MemberExpression,,-1,-1,9,14,9,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
28,BinaryExpression,,-1,-1,9,33,9,42,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
29,VariableDeclaration,,-1,-1,10,0,10,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
30,VariableDeclarator,,-1,-1,10,6,10,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
31,Identifier,data3,-1,-1,10,6,10,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
32,CallExpression,randomBytes,-1,1,10,14,10,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
33,MemberExpression,,-1,-1,10,14,10,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
34,BinaryExpression,,-1,-1,10,33,10,42,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
35,VariableDeclaration,,-1,-1,11,0,11,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
36,VariableDeclarator,,-1,-1,11,6,11,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
37,Identifier,data4,-1,-1,11,6,11,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
38,CallExpression,randomBytes,-1,1,11,14,11,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
39,MemberExpression,,-1,-1,11,14,11,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
40,BinaryExpression,,-1,-1,11,33,11,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
41,VariableDeclaration,,-1,-1,12,0,12,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
42,VariableDeclarator,,-1,-1,12,6,12,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
43,Identifier,data5,-1,-1,12,6,12,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
44,CallExpression,randomBytes,-1,1,12,14,12,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
45,MemberExpression,,-1,-1,12,14,12,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
46,BinaryExpression,,-1,-1,12,33,12,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
47,VariableDeclaration,,-1,-1,14,0,20,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
48,VariableDeclarator,,-1,-1,14,6,20,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
49,Identifier,opts1,-1,-1,14,6,14,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
50,ObjectExpression,,-1,-1,14,14,20,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
51,Property,,-1,-1,15,2,15,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
52,Identifier,readOnly,-1,-1,15,2,15,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
53,Property,,-1,-1,16,2,16,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/bench/sender.benchmark.js
