src, dst
1916,1749
2247,2120
3976,1749
5047,3926
5081,3926
5109,3926
5157,987
5741,5033
13026,12858
13359,13232
14976,12858
16050,14926
16084,14926
16112,14926
16158,12114
16729,16036
25238,25731
25607,26776
25917,25731
26793,27178
26836,27178
26865,27178
26929,30649
29840,29702
31656,31658
36720,27178
36743,27178
36780,27178
36804,27178
44316,30649
44726,27178
44756,27178
44782,27178
44805,27178
229,230
245,267
265,267
307,287
307,291
368,320
372,320
387,395
389,403
391,485
393,559
496,535
534,535
588,589
630,593
641,270
641,287
641,291
648,634
661,637
665,637
667,637
677,618
703,626
709,634
712,634
716,634
726,270
726,287
726,291
743,593
770,618
774,618
778,618
782,618
790,720
791,637
811,637
817,593
821,637
829,618
880,270
880,287
880,291
961,962
985,637
995,979
1015,927
1018,739
1020,739
1025,987
1028,739
1033,987
1058,843
1082,843
1087,637
1092,563
1267,637
1284,1285
1359,618
1384,1385
1401,618
1418,843
1438,1405
1443,637
1456,637
1508,1495
1509,1495
1606,637
1629,720
1651,843
1657,1625
1662,637
1671,1625
1675,618
1686,720
1687,637
1688,637
1691,637
1807,1120
1846,1616
1904,1149
1940,739
1949,1220
1977,1944
2000,1149
2015,720
2026,1149
2071,1597
2101,1749
2106,1289
2129,270
2129,287
2129,291
2132,1220
2152,1986
2157,1220
2160,1254
2165,1944
2180,2321
2184,1954
2189,2080
2192,1935
2196,2321
2198,1954
2199,2080
2235,843
2258,2213
2269,720
2275,2213
2313,2008
2357,2277
2357,2339
2359,2277
2359,2339
2415,2332
2415,2301
2443,2444
2449,308
2458,361
2527,843
2576,2577
2606,2607
2642,2008
2643,2301
2657,649
2678,1336
2751,1392
2770,720
2780,2722
2791,2689
2797,797
2808,1302
2813,2722
2814,2672
2839,833
2885,720
2897,797
2909,2719
2917,649
2919,786
2928,678
2957,2332
2957,2637
2982,2008
2997,2822
3055,1894
3099,843
3112,843
3122,987
3130,1486
3337,1363
3368,3369
3376,308
3384,361
3405,3215
3413,927
3432,3226
3439,843
3444,3396
3447,739
3454,3436
3464,3269
3467,3436
3468,3136
3473,3396
3484,3215
3489,927
3506,3242
3533,3215
3538,927
3551,3276
3573,3215
3578,927
3584,3276
3601,3568
3627,3276
3653,843
3660,927
3667,3226
3676,3313
3689,3226
3741,843
3793,379
3890,3215
3896,3331
3906,3885
3917,1435
3921,1435
3946,843
3988,1120
4011,4635
4014,4642
4015,1749
4036,4037
4122,4044
4129,4130
4171,4145
4174,4151
4181,4182
4265,4200
4278,4200
4287,4288
4411,4305
4433,4335
4524,797
4574,4164
4584,2378
4634,3992
4641,4503
4648,4503
4703,1749
4717,1749
4749,1749
4768,4270
4768,4291
4770,4101
4770,4139
4788,843
4828,4400
4843,4400
4865,3972
4887,4852
4893,4294
4904,1749
4923,843
4993,1749
4999,1392
5032,3972
5037,5014
5064,4949
5077,5014
5097,3963
5100,5014
5151,739
5153,739
5163,739
5167,987
5187,5146
5194,5146
5204,5146
5214,5146
5221,5146
5229,5146
5234,5146
5278,5178
5279,5127
5280,5127
5282,843
5299,5178
5333,270
5333,287
5333,291
5370,1749
5371,5348
5390,5348
5403,270
5403,287
5403,291
5406,1749
5440,1749
5450,1749
5466,5467
5473,308
5486,2446
5488,2446
5490,361
5516,5134
5532,5396
5536,5345
5540,5345
5544,5345
5561,5396
5585,987
5592,843
5774,5134
5779,4164
5783,2378
5788,843
5803,5134
5814,843
5831,5134
5847,5819
5853,5819
5860,5861
5867,308
5892,5923
5960,3972
5965,361
6045,5863
6075,720
6218,379
6235,5469
6238,563
6242,1064
6248,1064
6258,6229
6259,5134
6263,6229
6319,2719
11731,11732
11771,11734
11788,11775
11801,11776
11806,11776
11808,11776
