src, dst
37,111
46,111
54,111
62,111
118,120
228,381
319,451
460,321
571,836
588,764
598,702
612,793
661,839
672,776
695,192
747,793
923,985
970,988
978,192
1081,1168
1128,1171
1139,1149
1142,192
1285,1385
1287,1520
1295,1566
1304,1414
1304,1545
1346,1569
1357,1449
1377,192
1396,1492
1419,1467
1530,1492
1549,1467
1609,1925
1828,1925
1876,1925
1905,1925
1967,3810
2017,3719
2037,3719
2053,3719
2068,3719
2084,3719
2086,3773
2101,3719
2134,3719
2169,3719
2205,3719
2223,3773
2241,3773
2286,3719
2310,3719
2345,3719
2386,3719
2410,3719
2440,3719
2469,3719
2507,3719
2548,3719
2592,3719
2612,3773
2626,3719
2658,3719
2680,3773
2700,3773
2739,3789
2743,3773
2761,3719
2809,3719
2871,3719
2897,3719
2920,3719
2958,3719
2984,3719
3017,3719
3049,3719
3077,3719
3103,3719
3135,3719
3180,3719
3383,3719
3509,3719
3830,5140
3874,5079
3910,5079
3977,5079
4012,5079
4051,5079
4084,5079
4110,5079
4143,5079
4175,5079
4203,5079
4232,5079
4270,5079
4311,5079
4355,5079
4415,5079
4495,5079
4527,5079
4552,5079
4591,5079
4623,5079
4662,5079
4710,5079
4894,5079
4929,5079
5169,6578
5213,6535
5249,6535
5286,6535
5306,6535
5319,6535
5354,6535
5387,6535
5416,6535
5461,6535
5477,6535
5505,6535
5545,6535
5565,6535
5591,6535
5620,6535
5663,6535
5704,6535
5748,6535
5796,6535
5858,6535
5884,6535
5907,6535
5946,6535
5972,6535
6005,6535
6031,6535
6076,6535
6259,6535
6385,6535
6599,8599
6643,8536
6679,8536
6736,8536
6750,8536
6785,8536
6840,8536
6888,8536
7140,8536
7184,8536
7238,8536
7254,8536
7285,8536
7325,8536
7346,8536
7373,8536
7402,8536
7473,8536
7477,8508
7495,8536
7499,8508
7500,8585
7516,8536
7520,8508
7537,8536
7541,8508
7542,8585
7559,8536
7564,8508
7565,8585
7608,8536
7612,8508
7629,8536
7633,8508
7634,8585
7649,8536
7653,8508
7670,8536
7674,8508
7675,8585
7692,8536
7696,8508
7697,8585
7714,8536
7762,8536
7824,8536
7850,8536
7873,8536
7910,8536
7936,8536
7969,8536
8001,8536
8027,8536
8071,8536
8254,8536
8358,8536
