src, dst
428,377
822,773
113,87
127,87
155,178
157,237
190,164
196,164
202,164
206,164
211,164
215,164
220,164
224,164
367,368
522,523
529,530
560,642
656,620
664,543
669,576
674,569
700,532
702,543
763,764
963,377
979,377
987,377
997,377
1006,377
1015,377
1024,377
1029,377
1038,377
1048,377
1057,377
1067,377
1079,377
1092,377
1299,1277
1324,675
1346,675
1357,675
1371,675
1377,675
1383,675
1389,675
1399,675
1407,675
1417,675
1426,675
1435,675
1444,675
1449,675
1458,675
1468,675
1477,675
1487,675
1499,675
1512,675
1552,675
1553,1531
1582,773
1604,773
1612,773
1622,773
1631,773
1640,773
1649,773
1654,773
1663,773
1673,773
1682,773
1692,773
1704,773
1717,773
1726,773
1736,773
1787,773
1824,773
1825,1805
