src, dst
3,4
9,592
19,32
233,439
238,514
260,342
287,370
291,623
307,160
490,309
493,226
508,720
540,469
553,160
572,720
583,332
597,439
601,342
604,514
613,322
618,514
621,486
770,332
776,332
849,32
857,32
865,32
873,32
881,32
887,32
948,904
953,904
964,904
1058,592
1083,592
1115,592
1140,592
1174,592
1214,592
1251,592
1290,592
1327,592
1361,592
1395,592
1425,592
1455,592
1491,592
1531,592
1564,592
1588,592
1619,592
1653,592
1687,592
1723,592
1824,592
1850,592
1881,592
1915,592
1942,592
1965,592
1997,592
2028,592
2062,592
2094,592
2129,592
2168,592
2193,592
2218,592
2246,592
2288,623
2364,2339
2392,2339
2395,2346
2400,2346
2405,2346
2410,2346
2415,2346
2456,160
2575,160
2599,160
2610,160
2620,160
2644,160
2851,160
2875,160
2886,160
2896,160
2988,720
3017,720
3045,720
3080,720
3123,720
3154,720
