id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,9,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
3,CallExpression,,-1,0,1,0,9,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
4,FunctionExpression,,0,-1,1,1,9,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
7,CallExpression,config,-1,1,2,2,8,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
9,CallExpression,require,-1,1,2,2,2,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
10,Identifier,require,-1,-1,2,2,2,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
11,Identifier,config,-1,-1,2,24,2,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
12,CallExpression,assign,-1,3,3,4,7,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
14,Identifier,Object,-1,-1,3,4,3,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
15,Identifier,assign,-1,-1,3,11,3,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
16,ObjectExpression,,-1,-1,4,6,4,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
17,CallExpression,require,-1,1,5,6,5,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
18,CallExpression,,-1,1,6,6,6,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
19,CallExpression,require,-1,1,6,6,6,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
21,Identifier,process,-1,-1,6,35,6,42,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
22,Identifier,argv,-1,-1,6,43,6,47,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/config.js
23,Program,,-1,-1,1,0,11,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/lib/cli-options.js
24,VariableDeclaration,,-1,-1,1,0,1,75,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/dotenv/lib/cli-options.js
