src, dst
9460,8604
10,5752
81,5752
212,305
223,305
228,305
230,305
298,192
397,5752
479,463
576,5752
638,5752
764,5752
857,5752
950,5752
1045,5752
1221,5752
1278,5752
1377,8389
1415,8389
1457,5752
1516,5752
2044,5752
2164,2240
2301,5752
2457,5752
2520,2476
2554,5752
2704,5752
2872,2709
2926,5752
2948,2931
3031,2931
3074,5752
3209,3143
3247,5752
3576,5752
3727,5752
3814,5752
3897,5752
3967,5752
4006,5752
4033,5752
4188,5752
4285,5752
4315,4500
4325,4483
4349,4500
4364,4483
4396,4500
4414,4483
4518,4462
4522,4462
4526,4462
4530,4462
4534,4462
4549,5752
4583,4550
4593,4550
4858,4865
4876,5421
4881,5311
4886,5311
4890,5311
4894,5311
4898,5311
4987,5311
4991,5311
4996,5311
5003,5421
5034,8389
5038,5399
5044,5399
5053,5958
5062,5891
5162,5022
5236,5022
5279,5022
5295,5275
5351,5311
5354,10351
5358,5311
5361,10386
5365,5311
5368,10422
5404,5311
5415,5311
5424,5311
5434,5311
5455,5311
5459,5022
5484,5022
5577,5399
5661,5698
6313,6606
6369,6606
6378,6606
6392,6606
6418,6606
6454,6606
6464,6606
6530,6606
6539,6606
6582,6606
6591,6606
6967,10473
7158,8290
7226,8290
7385,10212
7399,8140
7458,8140
7658,10245
7681,10269
8208,8147
8211,8177
8225,8147
8556,9235
8591,9359
8602,9431
8615,9409
8628,8629
8687,9224
8693,9391
8693,9434
8715,9293
8755,9200
8771,9391
8771,9434
8782,9303
8790,8899
8798,8629
8808,8812
8825,8629
8838,8629
8975,8937
8994,8937
9005,9007
9025,8937
9030,8937
9040,9007
9042,8937
9112,9276
9120,9488
9146,9804
9149,9488
9188,9142
9499,9488
9652,9730
9716,9730
9963,9965
10004,9965
10062,9488
10129,9488
10196,10496
10205,10496
10254,10298
10289,10245
10692,10701
10744,10770
10782,10805
10798,10805
10863,9804
10865,9916
10885,9804
10908,10023
10930,9916
10966,9804
10968,10023
10978,9916
11001,9804
11020,10023
11041,9916
11056,9804
11058,10023
11068,10023
11078,9916
11107,9804
11119,9916
11144,9804
11165,9916
11192,9804
11204,10023
11224,9916
11254,9804
11256,10023
11264,10023
11274,10023
11284,9916
11315,9804
11317,10023
11324,10023
11334,10023
11344,9916
11373,9804
11400,9916
11425,9804
11427,10023
11434,9916
11459,9804
11461,10023
11468,9916
11504,8389
11534,8389
11538,8389
11569,8389
11572,8389
11606,8389
11628,8389
11651,8389
11744,8389
11782,8389
11840,8389
11897,8389
11943,8389
11960,8389
11978,8389
11990,8389
12012,8389
12062,8389
12103,8389
12156,8389
12207,8389
12251,8389
12295,8389
12339,8389
12383,8389
12443,8389
12517,8389
12563,8389
12619,8389
12634,8389
12649,8389
12664,8389
12679,8389
12699,8389
12752,8389
12802,8389
12839,8389
12886,8389
12890,8389
12913,8389
12948,8389
12951,8389
12974,8389
13018,8389
13021,8389
13051,8389
13191,13105
13221,13105
13283,13105
13502,13504
13572,48099
13690,48099
15361,5752
15401,5752
15449,5752
15532,5752
15572,5752
15588,5752
15622,5752
15659,5752
15719,5752
15746,5752
15807,5752
15869,5752
15884,5752
15900,5752
15913,5752
15916,5752
15919,5752
15952,5752
15955,5752
15958,5752
15962,5752
15999,5752
16020,5752
16022,5752
16024,5752
16086,5752
16129,5752
16169,5752
16196,5752
16237,5752
16260,5752
16314,5752
16351,5752
16386,5752
16431,5752
16449,5752
16453,8389
16488,5752
16491,8389
16538,5752
16602,5752
16691,5752
16710,5752
16790,5752
16836,5752
16901,5752
16969,5752
17010,5752
17063,5752
17100,5752
17133,5752
17176,5752
17217,5752
17266,5752
17334,5752
17428,18236
17466,18236
17498,18236
17529,18236
17557,5752
17610,18236
17645,18236
17675,18236
17704,18236
17736,18236
17771,18236
17808,18236
17842,18236
17887,5752
17932,5752
17998,5752
18067,18236
18098,18236
18130,18236
18172,5752
18240,5752
18278,5752
18325,5752
18329,5752
18381,5752
18384,5752
18436,5752
18439,5752
18498,5752
18501,5752
18586,5752
18630,5752
18634,5752
18685,5752
18688,5752
18741,5752
18744,5752
18808,5752
18811,5752
18894,5752
18931,5752
18969,5752
18996,5752
19040,5752
19044,8389
19130,5752
19152,5752
19167,5752
19231,5752
19255,5752
19278,5752
19301,5752
19324,5752
19379,5752
19400,5752
19431,5752
19503,5752
19528,5752
19553,5752
19581,5752
19584,8389
19610,5752
19613,8389
19661,5752
19664,8389
19706,5752
19709,8389
19751,5752
19754,8389
19796,5752
19799,8389
19841,5752
19844,8389
19880,8397
19893,5752
19896,8389
19913,8397
19950,5752
19975,5752
19999,5752
20035,5752
20071,5752
20095,5752
20119,5752
20143,5752
20167,5752
20191,5752
20215,5752
20247,5752
20284,5752
20307,5752
20330,5752
20353,5752
20385,5752
20417,5752
20442,5752
20466,5752
20489,5752
20512,5752
20535,5752
20558,5752
20580,5752
20609,5752
20632,5752
20655,5752
20682,5752
20722,5752
20749,5752
20787,5752
20817,5752
20851,5752
20891,5752
20932,5752
20990,5752
21034,5752
21037,8389
21091,5752
21160,5752
21204,5752
21248,5752
21330,5752
21371,5752
21409,5752
21524,5752
21527,5752
21555,5752
21557,5752
21586,5752
21589,5752
21591,5752
21636,5752
21638,5752
21653,5752
21655,5752
21682,5752
21685,5752
21687,5752
21758,5752
21803,5752
21849,5752
21894,5752
21940,5752
21991,5752
22007,5752
22022,5752
22037,5752
22052,5752
22069,5752
22095,5752
22139,5752
22180,5752
22221,5752
22266,5752
22312,5752
22359,5752
