src, dst
30925,30897
30938,30921
12,13
26,50
44,50
81,53
265,182
311,182
383,124
522,315
541,124
544,377
553,315
564,124
567,377
577,124
597,315
615,124
618,377
693,240
781,638
793,240
923,930
981,240
994,240
1003,240
1008,240
1019,240
1047,803
1052,803
1057,847
1065,670
1077,670
1089,670
1102,918
1140,670
1220,670
1356,1244
1383,1260
1407,1267
1507,142
1512,670
1706,142
1733,142
1738,670
1749,930
1934,670
1951,670
2214,670
2303,670
2406,670
2446,670
2679,2602
2683,2602
2806,387
2808,240
2813,2781
2824,2781
2847,2809
2853,2809
2863,2809
2876,2809
2892,2814
2908,2809
2921,2809
2929,2809
2938,2809
2949,2809
3001,2809
3007,2809
3024,62
3028,2809
3092,2809
3098,2502
3109,2502
3138,3011
3142,3011
3171,2809
3230,2809
3259,2517
3298,2510
3301,3195
3338,2814
3379,2524
3398,124
3448,2524
3449,2535
3477,2524
3479,2535
3509,2524
3511,2535
3525,2524
3534,3340
3536,2535
3540,2510
3552,3242
3584,2955
3586,3383
3597,2517
3611,2955
3665,2955
3689,2510
3692,2955
3694,3383
3695,3242
3705,3340
3708,2809
3717,2809
3766,2955
3776,2955
3786,2510
3789,3242
3805,2574
3825,2548
3833,2809
3837,2642
3843,2809
3849,2510
3852,2955
3854,3383
3855,3242
3865,3340
3868,2809
3877,2809
3961,3242
3992,2809
3997,2809
4016,2524
4025,3242
4036,5158
4045,3242
4069,3242
4071,5158
4078,3056
4084,3056
4090,3242
4113,2809
4183,2809
4187,2590
4193,2809
4205,2809
4209,2517
4220,2517
4235,2510
4241,3195
4279,2510
4294,124
4310,2517
4317,124
4328,124
4343,124
4349,124
4365,2510
4376,2955
4427,2809
4441,2524
4450,3242
4471,5158
4477,3242
4495,2809
4583,2809
4599,2524
4607,3056
4626,2809
4644,5158
4658,2517
4679,2524
4682,2809
4686,3056
4706,2809
4718,2809
4746,5158
4761,3056
4767,3242
4785,2809
4794,3056
4838,2809
4912,2809
4918,2524
4940,2809
4949,2809
4968,2809
4976,2809
4986,2809
5020,2809
5044,2809
5060,2524
5062,2535
5076,2809
5116,2524
5118,2535
5132,2809
5146,2809
5155,3242
5215,3242
5244,4810
5245,5024
5248,3242
5310,4379
5311,4517
5312,3878
5321,4114
5322,3623
5323,3718
5328,5085
5340,2809
5342,3401
5370,4379
5397,2809
5498,2809
5511,2809
5529,2809
5606,3242
5637,2524
5660,2809
5665,2517
5689,2510
5692,2510
5701,2524
5720,3195
5730,2814
5734,3242
5764,3242
5769,2809
5771,5158
5775,3242
5788,2814
5799,3340
5812,3242
5822,2809
5865,2684
5879,2809
5903,5565
5925,5825
5947,5825
5961,240
6220,240
6225,124
6271,53
6281,6117
6387,124
6438,124
6507,6475
6519,6500
6525,6468
6549,6500
6551,6468
6581,6475
6584,6468
6611,6468
6701,6555
6702,6613
6703,6605
6704,6613
6721,6613
6724,6475
6730,6511
6745,6613
6767,6475
6773,6511
6797,6886
6806,6648
6825,6826
6890,6442
6892,6668
6910,6935
6913,6968
6915,6380
6920,6935
6922,6968
6923,6380
6924,6979
6930,7124
6934,240
6941,6648
6987,6988
7006,7051
7047,7051
7145,6613
7152,6475
7167,6183
7201,7642
7206,7642
7259,7642
7264,7642
7274,6432
7351,7642
7372,7642
7426,240
7444,6432
7461,7642
7500,6432
7503,7642
7631,240
7654,7532
7657,7532
7746,7388
7758,7298
7786,7227
7791,7227
7803,7169
7822,6817
7833,240
7899,7919
7965,7919
7981,7919
7993,6234
7998,7886
8012,7642
8091,8025
8095,8025
8099,8025
15235,15149
15265,15172
15448,15398
15705,15577
15711,15577
15717,15577
15748,15720
16127,18034
16132,15791
16183,15720
16194,16007
16303,15791
16358,15791
16430,16398
16442,16423
16448,16390
16472,16423
16474,16390
16504,16398
16507,16390
16534,16390
16629,16478
16630,16536
16631,16528
16632,16536
16649,16536
16652,16398
16658,16434
16673,16536
16695,16398
16701,16434
16725,16815
16734,16574
16753,16754
16819,16362
16821,16595
16840,16865
16843,16898
16845,16296
16850,16865
16852,16898
16853,16296
16854,16909
16860,17059
16864,18034
16871,16574
16917,16918
16936,16984
16980,16984
17080,16536
17087,16398
17102,16087
17140,17590
17145,17590
17199,17590
17204,17590
17214,16351
17291,17590
17312,17590
17366,18034
17384,16351
17401,17590
17440,16351
17443,17590
17579,18034
17602,17472
17605,17472
17694,17328
17706,17238
17734,17166
17739,17166
17751,17104
17770,16745
17781,18034
17847,17869
17916,17869
17932,17869
17944,16142
17949,17834
17963,17590
18059,17976
18106,17976
18360,18280
18364,18280
18504,22143
18506,18034
18511,18472
18522,18472
18546,18507
18552,18507
18563,18507
18577,18507
18593,18512
18609,18507
18623,18507
18631,18507
18640,18507
18651,18507
18704,18507
18710,18507
18732,15729
18737,18507
18803,18507
18809,18176
18820,18176
18849,18715
18853,18715
18882,18507
18943,18507
18972,18195
19011,18187
19014,18907
19051,18512
19092,18202
19112,15791
19164,18202
19165,18213
19193,18202
19195,18213
19225,18202
19227,18213
19241,18202
19250,19053
19252,18213
19256,18187
19268,18955
19300,18657
19302,19096
19313,18195
19327,18657
19381,18657
19405,18187
19408,18657
19410,19096
19411,18955
19421,19053
19424,18507
19433,18507
19482,18657
19492,18657
19502,18187
19505,18955
19521,18252
19541,18226
19549,18507
19553,18320
19559,18507
19565,18187
19568,18657
19570,19096
19571,18955
19581,19053
19584,18507
19593,18507
19679,18955
19710,18507
19715,18507
19734,18202
19743,18955
19754,20878
19763,18955
19787,18955
19789,20878
19796,18766
19803,18766
19809,18955
19832,18507
19902,18507
19906,18268
19912,18507
19924,18507
19928,18195
19939,18195
19954,18187
19960,18907
19998,18187
20013,15791
20029,18195
20036,15791
20047,15791
20062,15791
20068,15791
20084,18187
20095,18657
20146,18507
20160,18202
20169,18955
20190,20878
20196,18955
20214,18507
20302,18507
20318,18202
20326,18766
20345,18507
20363,20878
20377,18195
20398,18202
20401,18507
20405,18766
20425,18507
20437,18507
20465,20878
20480,18766
20486,18955
20504,18507
20513,18766
20557,18507
20631,18507
20637,18202
20659,18507
20668,18507
20687,18507
20695,18507
20705,18507
20739,18507
20763,18507
20779,18202
20781,18213
20795,18507
20836,18202
20838,18213
20852,18507
20866,18507
20875,18955
20936,18955
20965,20529
20966,20743
20969,18955
