src, dst
121,6
121,31
152,6
152,31
198,379
421,653
425,653
428,653
431,653
434,653
437,653
440,653
443,653
446,694
453,759
457,787
464,1093
594,334
594,346
620,499
629,499
665,1372
673,1392
676,499
693,526
697,526
708,499
725,1372
727,499
758,526
772,1372
774,499
786,526
802,1372
804,499
816,526
835,1435
839,499
854,526
874,334
874,346
881,334
881,346
896,481
915,1392
924,499
938,526
948,499
958,1372
963,499
991,526
1005,334
1005,346
1024,334
1024,346
1030,1418
1081,499
1092,526
1099,1264
1104,499
1114,526
1119,499
1141,1372
1146,499
1168,1115
1169,1392
1180,526
1190,1372
1195,499
1225,1115
1226,1392
1231,499
1263,526
1292,395
1319,1264
1339,1264
1388,1348
1404,1372
1422,1392
1486,379
1494,221
