src, dst
19369,19332
19383,19332
19391,19332
148,149
158,159
285,165
298,165
398,206
414,206
465,206
549,234
650,423
684,660
748,660
950,757
955,757
958,1422
961,757
978,979
1035,161
1180,810
1201,1259
1215,1184
1254,1259
1276,1261
1305,1261
1345,1184
1445,657
1462,1422
1710,1040
1725,1396
1728,1396
1729,810
1746,1396
1747,810
1764,1396
1765,810
1771,1396
1772,1040
1783,1396
1784,1040
1789,1396
1790,1040
1802,1396
1803,1040
1810,1396
1811,1040
1820,1396
1821,1040
1832,1396
1833,1040
1843,1396
1844,1040
1855,1396
1856,1040
1865,1396
1866,1040
1881,1396
1882,810
1955,1181
1958,1435
1992,2240
1984,2240
2101,781
2170,1181
2172,1435
2256,1976
2677,15760
2990,3016
3011,3075
3025,3075
3117,16113
3144,2954
3159,2954
3173,2954
3270,2967
3483,16113
3529,3395
3560,3409
3685,16113
3712,3609
3727,3609
3741,3609
3794,3622
3952,3876
3976,16113
4062,3894
4096,3894
4130,3894
4278,16113
4487,16113
4809,16113
4836,4753
4851,4753
4865,4753
4888,4766
5035,5047
5039,5065
5106,16113
5133,4907
5148,4907
5162,4907
5172,4929
5197,4907
5219,4929
5252,4907
5303,4929
5394,4907
5420,4929
5444,4907
5462,4929
5493,4907
5514,4929
5545,4907
5578,4929
5623,4907
5649,4929
5715,4907
5733,4929
5907,16113
5947,5841
5958,5854
6013,6128
6022,6128
6029,6043
6039,6043
6062,6141
6097,6165
6164,6165
6170,6128
6172,6128
6202,16113
6262,5994
6262,5981
6292,5994
6292,5981
6334,5994
6334,5981
6409,5994
6409,5981
6526,5994
6526,5981
6609,5994
6609,5981
6714,6837
6898,16113
7227,16113
7254,7094
7269,7094
7283,7094
7292,7109
7314,7094
7328,7109
7373,7094
7381,7109
7442,7523
7451,7537
7510,7523
7517,7537
7639,16113
7681,7397
7695,7410
7746,7397
7759,7410
7809,7397
7853,7410
7905,7936
7928,7936
7976,16113
8026,7867
8037,7880
8058,7867
8075,7880
8097,7867
8114,7880
8137,7867
8153,7880
8172,7867
8188,7880
8317,16113
8344,8207
8359,8207
8373,8207
8421,8223
8481,8207
8496,8223
8786,15760
9008,16113
9297,9375
9308,9419
9331,9427
9337,9487
9346,9547
9354,9451
9412,9419
9471,9427
9475,9440
9480,9487
9481,9547
9599,16113
10059,10028
10077,10016
10089,10016
10154,16113
10313,10336
10394,16113
10659,16113
10842,16113
11156,16113
11191,11090
11211,11104
11340,16113
11626,16113
11653,11553
11668,11553
11682,11553
11695,11569
11770,16113
11771,16113
11797,11744
11812,11744
11826,11744
11877,11744
11924,11744
11980,11744
12017,11744
12094,11744
12129,11744
12172,11744
12237,11744
12300,11744
12394,11744
12482,11744
12527,11744
12690,12727
12696,12727
12815,16113
12842,12597
12857,12597
12871,12597
12893,12614
12918,12597
12931,12614
12950,12597
12963,12614
12982,12597
12995,12614
13014,12597
13031,12614
13054,12597
13075,12614
13106,12597
13123,12614
13148,12597
13169,12614
13291,13245
13313,13254
13382,13345
13404,13354
13483,13413
13505,13421
13546,13554
13634,13514
13656,13522
13667,13522
13673,13522
13683,13522
13693,13522
13699,13522
13705,13522
13711,13522
13717,13522
13807,13746
13858,13750
13864,13750
13900,13750
13905,13750
13920,13750
13957,13750
14062,14023
14106,14027
14112,14027
14142,14027
14172,14027
14205,14027
14707,14737
14767,14796
14791,14737
15866,15760
15970,16113
16057,15984
16208,16250
16216,16220
16219,16250
16224,16272
16227,16250
16229,16263
16233,16250
16237,16291
16242,16307
16415,16170
16444,16170
16465,16197
16477,16197
16489,16197
16503,16197
16517,16197
16531,16197
16545,16197
16559,16197
16573,16197
16587,16197
16604,16197
16618,16351
16632,16351
16646,16351
16657,16351
16668,16351
16862,16113
17083,17052
17130,17056
17143,17056
17192,17153
17235,17157
17246,17157
17259,17157
17273,17157
17316,17286
17380,17290
17395,17290
17409,17290
17578,17507
17676,17568
17682,17572
17754,16113
18085,17922
18175,16113
18487,18454
18488,18454
18502,18467
18596,18496
18723,18987
18771,18805
18773,18987
18774,19023
18815,18872
19050,18569
19067,18573
19087,18573
19100,18573
19113,18573
19129,18573
19148,18573
19157,18573
19174,18573
19702,19703
19711,19717
19766,19728
