id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name
1,Program,,-1,-1,1,0,42,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
3,VariableDeclaration,,-1,-1,3,0,3,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
5,Identifier,fs,-1,-1,3,4,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
6,CallExpression,require,-1,1,3,9,3,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
7,Identifier,require,-1,-1,3,9,3,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
8,VariableDeclaration,,-1,-1,4,0,4,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
10,Identifier,path,-1,-1,4,4,4,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
11,CallExpression,require,-1,1,4,11,4,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
12,VariableDeclaration,,-1,-1,5,0,5,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
14,Identifier,klawSync,-1,-1,5,4,5,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
15,CallExpression,require,-1,1,5,15,5,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
16,FunctionDeclaration,cleanSourceMapRoot,2,-1,7,0,22,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
17,Identifier,cleanSourceMapRoot,-1,-1,7,9,7,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
18,Identifier,mapRoot,-1,-1,7,28,7,35,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
19,Identifier,sourcesRoot,-1,-1,7,37,7,48,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
22,CallExpression,forEach,-1,1,8,2,21,4,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
24,CallExpression,map,-1,1,8,2,9,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
26,CallExpression,klawSync,-1,2,8,2,8,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
27,ObjectExpression,,-1,-1,8,20,8,69,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
29,Identifier,filter,-1,-1,8,21,8,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
30,ArrowFunctionExpression,,1,-1,8,29,8,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
31,Identifier,item,-1,-1,8,30,8,34,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
32,CallExpression,endsWith,-1,1,8,39,8,68,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
35,Identifier,endsWith,-1,-1,8,49,8,57,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
36,Identifier,map,-1,-1,9,3,9,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
37,ArrowFunctionExpression,,1,-1,9,7,9,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
38,Identifier,f,-1,-1,9,7,9,8,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
40,Identifier,forEach,-1,-1,10,3,10,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
41,ArrowFunctionExpression,,1,-1,10,11,21,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
42,Identifier,fName,-1,-1,10,11,10,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
44,VariableDeclaration,,-1,-1,11,4,11,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/rxjs/.make-helpers.js
