src,dst
2035,2002
4951,4827
6299,5054
6306,6274
6471,5400
6727,6357
6882,6851
6960,5054
7143,5400
7181,5059
10262,10229
15157,15101
19007,23442
19012,24292
19230,19122
19239,19122
19245,19122
19251,19122
31437,15379
31466,15379
1,2
10,20
17,20
80,63
85,137
96,115
99,33
113,115
120,129
124,129
134,67
159,137
160,81
202,161
211,150
227,150
316,311
323,242
325,269
327,263
330,284
331,299
375,355
383,390
389,355
394,355
400,249
408,251
410,141
412,342
414,144
416,342
420,320
430,251
434,251
437,438
443,277
443,289
443,311
446,251
449,332
450,438
455,399
455,397
456,150
459,161
462,249
467,251
474,251
477,251
481,332
485,170
492,242
494,460
494,482
495,150
498,161
502,215
505,161
508,193
512,170
515,161
519,215
522,161
525,193
551,249
552,529
559,251
593,628
606,628
618,645
623,628
624,694
626,633
631,661
638,251
660,633
666,332
685,251
686,653
690,150
702,712
764,734
803,137
816,760
834,150
837,545
858,882
873,867
874,915
879,862
880,915
884,848
888,848
913,848
927,150
954,959
956,1072
1007,1084
1011,871
1013,877
1016,67
1018,1148
1044,975
1047,975
1049,1183
1051,975
1052,1148
1056,1183
1057,67
1059,975
1071,949
1077,959
1078,944
1083,843
1095,1053
1101,984
1103,984
1109,1053
1114,984
1116,984
1119,959
1120,856
1125,1053
1130,984
1132,984
1138,1053
1143,984
1145,984
1147,904
1165,882
1170,975
1172,975
1174,332
1175,1024
1191,67
1197,1064
1199,1064
1201,1064
1203,1064
1205,1064
1210,917
1214,917
1218,249
1220,150
1222,170
1229,251
1232,161
1248,529
1249,170
1259,532
1266,1233
1273,215
1274,397
1277,161
1281,150
1283,170
1308,161
1311,170
1314,161
1318,170
1321,161
1345,150
1371,1339
1371,1334
1377,161
1382,1339
1382,1334
1385,397
1388,161
1393,1339
1393,1334
1396,397
1399,161
1406,150
1416,21755
1423,1400
1427,332
1430,150
1433,150
1439,335
1448,335
1454,335
1458,1444
1461,161
1465,150
1467,170
1485,170
1486,1477
1487,150
1490,161
1495,399
1495,397
1496,1477
1497,150
1500,161
1504,170
1507,161
1511,137
1525,67
1536,1339
1536,1334
1543,161
1548,1339
1548,1334
1553,397
1556,161
1561,1339
1561,1334
1568,161
1624,242
1626,1569
1626,1593
1627,150
1630,1620
1633,161
1637,1620
1638,397
1641,161
1645,1620
1648,161
1653,332
1655,150
1656,1508
1660,335
1665,1657
1668,161
1672,150
1674,170
1707,161
1711,170
1715,170
1718,1400
1721,249
1726,150
1729,399
1729,397
1738,251
1741,161
1745,170
1749,170
1761,150
1764,33
1767,1754
1770,67
1797,63
1800,161
1804,242
1810,150
1821,170
1825,170
1826,397
1830,150
1832,917
1859,1928
1861,1926
1870,1924
1873,1928
1875,1928
1882,1855
1893,1867
1920,1926
1922,1867
1937,1827
1940,1840
1960,1091
1960,1957
1961,1945
1965,1105
1965,1962
1966,1945
1972,249
1977,251
1983,251
1988,150
1991,161
2001,170
2005,150
2007,33
2039,150
2041,1620
2050,2037
2053,161
2057,2037
2058,397
2061,161
2065,2037
2068,161
2086,2069
2090,529
2091,2121
2093,529
2100,150
2117,532
2119,2103
2129,2069
2143,137
2145,150
2147,33
2151,529
2156,2078
2157,2078
2162,170
2167,1339
2167,1334
2172,161
2177,1339
2177,1334
2179,397
2182,161
2187,1339
2187,1334
2191,161
2195,150
2197,170
2226,161
2232,150
2234,33
2272,150
2274,170
2275,2260
2279,2268
2283,2268
2293,249
2294,529
2296,150
2297,170
2302,251
2309,170
2312,150
2327,161
2338,332
2340,150
2342,150
2350,335
2357,335
2363,335
2370,161
2374,150
2376,170
2384,249
2389,251
2394,251
2400,150
2404,332
2411,251
2413,2397
2414,2397
2418,161
4767,4768
4776,4786
4783,4786
4812,4787
4818,4787
4829,4787
4863,4787
4873,4857
4878,4825
4889,4836
4894,4904
4898,4904
4909,4861
4926,4917
4927,4874
4935,4787
4938,4825
4947,4921
5019,4980
5020,5000
5033,4836
5036,5011
5048,5040
5050,5029
5096,5087
5097,5011
5107,5093
5108,5109
5113,5087
5210,5087
5211,5040
5214,5011
5235,5236
5253,5215
5266,5093
5266,5111
5270,5119
5275,5207
5275,5218
5278,5075
5287,5145
5312,5301
5323,5293
5325,5305
5338,5045
5339,5258
5340,5318
5375,5335
5388,5045
5390,5341
5392,5071
5395,5355
5396,5370
5411,5056
5415,5059
5418,5386
5427,5059
5430,5059
5433,5435
5440,5349
5440,5360
5440,5380
5443,5059
5446,5397
5447,5435
5451,5410
5451,5406
5452,4921
5462,5056
5466,5059
5470,5059
5473,5059
5477,5397
5480,5453
5488,5045
5489,5456
5489,5460
5490,4921
5497,4921
5509,4921
5520,5054
5523,5491
5526,4928
5533,5406
5534,4921
5537,5527
5540,5453
5543,4928
5578,5556
5582,5560
5595,5599
5615,5602
5616,5583
5624,5056
5627,5335
5633,5059
5655,5579
5661,5694
5672,5694
5675,5544
5684,5709
5689,5694
5690,5753
5692,5699
5697,5725
5702,5059
5721,5544
5724,5699
5730,5397
5734,4787
5739,5579
5744,5059
5745,5717
5749,4921
5760,5544
5761,5771
5774,5579
5778,5611
5797,5087
5798,5011
5815,5781
5817,5793
5848,5825
5856,5611
5865,5611
5951,5892
5952,5941
5953,5868
5957,5807
5964,5954
5972,5807
5975,5947
5976,5947
5977,5859
5978,5849
5981,5841
6002,5960
6010,5579
6016,4917
6028,5990
6041,5781
6047,4921
6048,5619
6066,6084
6078,6073
6079,6053
6082,6069
6083,6053
6086,6058
6089,6058
6111,6058
6123,4921
6145,6243
6148,4861
6150,5054
6159,6076
6161,6080
6164,4861
6166,6209
6176,5611
6184,5054
6187,5054
6190,6243
6191,5054
6192,6209
6197,6049
6201,6131
6204,6064
6206,6131
6208,6102
6225,6084
6230,5054
6232,5054
6234,5397
6235,6167
6251,4861
6256,6113
6259,5453
6263,5056
6265,4921
6266,5456
6273,5059
6278,5781
6282,4787
6288,6260
6296,4787
6308,4787
6316,4921
6317,5530
6326,4787
6337,5054
6339,5453
6342,5453
6348,4787
6384,5054
6385,5054
6393,5491
6394,6360
6397,5527
6398,6360
6401,5453
6407,4787
6411,4787
6417,21755
6419,5544
6423,4921
6426,6402
6429,5397
6432,4921
6435,4921
6439,5400
6441,4787
6448,5400
6452,5400
6454,6444
6457,5397
6459,4921
6464,5400
6466,4787
6477,6455
6484,5397
6486,4921
6488,4921
6492,5400
6497,5400
6501,5400
6512,5484
6513,6504
6514,4921
6518,5410
6518,5406
6519,6504
6520,4921
6523,5453
6527,4917
6530,4825
6539,4861
6550,5491
6551,6360
6554,5527
6555,6360
6558,5453
6607,5781
6614,6559
6620,5045
6621,6565
6621,6589
6622,4921
6624,5491
6627,5527
6630,5453
6635,5397
6637,4921
6638,6524
6642,5400
6644,6639
6649,4921
6650,5530
6675,5054
6678,5453
6681,5453
6684,6402
6687,5056
6692,4921
6693,5448
6702,5059
6705,5453
6708,5453
6721,4921
6724,4825
6729,6709
6730,4861
6734,6709
6741,4787
6755,4857
6760,5045
6766,4921
6769,4787
6772,5054
6775,6756
6778,6756
6779,5406
6784,4921
6786,6113
6794,6782
6808,4861
6810,5054
6820,6073
6821,6080
6822,4861
6827,5056
6832,5059
6838,5059
6843,4921
6849,4787
6850,6260
6854,4921
6856,4825
6868,4787
6878,5781
6880,5579
6886,6615
6894,5491
6897,5527
6900,5453
6918,6901
6929,6901
6940,6919
6947,4921
6961,6950
6968,4921
6970,4825
6976,6906
6977,6906
6980,6756
6983,5491
6984,6360
6988,5527
6989,6360
6992,5453
6996,4921
6997,5494
7012,5781
7015,6559
7029,4921
7031,4825
7076,4921
7077,5530
7078,7059
7080,5453
7083,5453
7091,5056
7093,4921
7094,5484
7099,5059
7104,5456
7107,4921
7111,4787
7115,5054
7124,5397
7126,4921
7131,5400
7136,5400
7142,4787
7149,7122
7157,5056
7162,5059
7167,5059
7173,4921
7176,5397
7182,7170
7183,4787
7184,7170
7371,7361
7373,7374
7445,7446
7509,7450
7513,7450
7551,7474
7555,7474
7600,7486
7641,7560
7661,7649
7691,7649
7742,7696
7744,7696
7745,7935
7747,7696
7752,7753
7772,7447
7834,7702
7845,7868
7850,7837
7866,7868
7877,7869
7893,7869
7910,7837
7948,7647
7950,7935
8009,7775
8017,7924
8019,7924
8020,7702
8034,7924
8035,7702
8051,7924
8052,7702
8057,7924
8058,7775
8063,7924
8064,7775
8067,7924
8068,7775
8074,7924
8075,7775
8079,7924
8080,7775
8085,7924
8086,7775
8092,7924
8093,7775
8099,7924
8100,7775
8106,7924
8107,7775
8112,7924
8113,7775
8121,7924
8122,7702
8132,7835
8133,7943
8145,8203
8142,8203
8180,7835
8182,7943
8208,8138
8228,8229
8237,8247
8244,8247
8307,8290
8312,8364
8323,8342
8326,8260
8340,8342
8347,8356
8351,8356
8361,8294
8386,8364
8387,8308
8429,8388
8438,8377
8454,8377
8543,8538
8550,8469
8552,8496
8554,8490
8557,8511
8558,8526
8602,8582
8610,8617
8616,8582
8621,8582
8627,8476
8635,8478
8637,8368
8639,8569
8641,8371
8643,8569
8647,8547
8657,8478
8661,8478
8664,8665
8670,8504
8670,8516
8670,8538
8673,8478
8676,8559
8677,8665
8682,8626
8682,8624
8683,8377
8686,8388
8689,8476
8694,8478
8701,8478
8704,8478
8708,8559
8712,8397
8719,8469
8721,8687
8721,8709
8722,8377
8725,8388
8729,8442
8732,8388
8735,8420
8739,8397
8742,8388
8746,8442
8749,8388
8752,8420
8778,8476
8779,8756
8786,8478
8820,8855
8833,8855
8845,8872
8850,8855
8851,8921
8853,8860
8858,8888
8865,8478
8887,8860
8893,8559
8912,8478
8913,8880
8917,8377
8929,8939
8991,8961
9030,8364
9043,8987
9061,8377
9064,8772
9085,9109
9100,9094
9101,9142
9106,9089
9107,9142
9111,9075
9115,9075
9140,9075
9154,8377
9181,9186
9183,9299
9234,9311
9238,9098
9240,9104
9243,8294
9245,9375
9271,9202
9274,9202
9276,9410
9278,9202
9279,9375
9283,9410
9284,8294
9286,9202
9298,9176
9304,9186
9305,9171
9310,9070
9322,9280
9328,9211
9330,9211
9336,9280
9341,9211
9343,9211
9346,9186
9347,9083
9352,9280
9357,9211
9359,9211
9365,9280
9370,9211
9372,9211
9374,9131
9392,9109
9397,9202
9399,9202
9401,8559
9402,9251
9418,8294
9424,9291
9426,9291
9428,9291
9430,9291
9432,9291
9437,9144
9441,9144
9445,8476
9447,8377
9449,8397
9456,8478
9459,8388
9475,8756
9476,8397
9486,8759
9493,9460
9500,8442
9501,8624
9504,8388
9508,8377
9510,8397
9535,8388
9538,8397
9541,8388
9545,8397
9548,8388
9572,8377
9598,9566
9598,9561
9604,8388
9609,9566
9609,9561
9612,8624
9615,8388
9620,9566
9620,9561
9623,8624
9626,8388
9633,8377
9643,21755
9650,9627
9654,8559
9657,8377
9660,8377
9666,8562
9675,8562
9681,8562
9685,9671
9688,8388
9692,8377
9694,8397
9712,8397
9713,9704
9714,8377
9717,8388
9722,8626
9722,8624
9723,9704
9724,8377
9727,8388
9731,8397
9734,8388
9738,8364
9752,8294
9763,9566
9763,9561
9770,8388
9775,9566
9775,9561
9780,8624
9783,8388
9788,9566
9788,9561
9795,8388
9851,8469
9853,9796
9853,9820
9854,8377
9857,9847
9860,8388
9864,9847
9865,8624
9868,8388
9872,9847
9875,8388
9880,8559
9882,8377
9883,9735
9887,8562
9892,9884
9895,8388
9899,8377
9901,8397
9934,8388
9938,8397
9942,8397
9945,9627
9948,8476
9953,8377
9956,8626
9956,8624
9965,8478
9968,8388
9972,8397
9976,8397
9988,8377
9991,8260
9994,9981
9997,8294
10024,8290
10027,8388
10031,8469
10037,8377
10048,8397
10052,8397
10053,8624
10057,8377
10059,9144
10086,10155
10088,10153
10097,10151
10100,10155
10102,10155
10109,10082
10120,10094
10147,10153
10149,10094
10164,10054
10167,10067
10187,9318
10187,10184
10188,10172
10192,9332
10192,10189
10193,10172
10199,8476
10204,8478
10210,8478
10215,8377
10218,8388
10228,8397
10232,8377
10234,8260
10266,8377
10268,9847
10277,10264
10280,8388
10284,10264
10285,8624
10288,8388
10292,10264
10295,8388
10313,10296
10317,8756
10318,10348
10320,8756
10327,8377
10344,8759
10346,10330
10356,10296
10370,8364
10372,8377
10374,8260
10378,8756
10383,10305
10384,10305
10389,8397
10394,9566
10394,9561
10399,8388
10404,9566
10404,9561
10406,8624
10409,8388
10414,9566
10414,9561
10418,8388
10422,8377
10424,8397
10453,8388
10459,8377
10461,8260
10499,8377
10501,8397
10502,10487
10506,10495
10510,10495
10520,8476
10521,8756
10523,8377
10524,8397
10529,8478
10536,8397
10539,8377
10554,8388
10565,8559
10567,8377
10569,8377
10577,8562
10584,8562
10590,8562
10597,8388
10601,8377
10603,8397
10611,8476
10616,8478
10621,8478
10627,8377
10631,8559
10638,8478
10640,10624
10641,10624
10645,8388
10836,10826
10838,10839
10910,10911
10974,10915
10978,10915
11016,10939
11020,10939
11065,10951
11106,11025
11126,11114
11156,11114
11207,11161
11209,11161
11210,11400
11212,11161
11217,11218
11237,10912
11299,11167
11310,11333
11315,11302
11331,11333
11342,11334
11358,11334
11375,11302
11413,11112
11415,11400
11474,11240
11482,11389
11484,11389
11485,11167
11499,11389
11500,11167
11516,11389
11517,11167
11522,11389
11523,11240
11528,11389
