id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,1,0,67,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,0
2,VariableDeclaration,,-1,-1,1,0,14,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,1
4,Identifier,javascriptSettings,-1,-1,1,6,1,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,2
5,ObjectExpression,,-1,-1,1,27,14,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,3
7,Identifier,files,-1,-1,2,2,2,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,4
8,ArrayExpression,,-1,-1,2,9,2,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,5
10,Identifier,extends,-1,-1,3,2,3,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,6
11,ArrayExpression,,-1,-1,3,11,6,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,7
13,Identifier,rules,-1,-1,7,2,7,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,8
14,ObjectExpression,,-1,-1,7,9,13,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,9
16,ArrayExpression,,-1,-1,8,22,8,55,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,10
17,ObjectExpression,,-1,-1,8,32,8,54,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,11
19,Identifier,allowElseIf,-1,-1,8,34,8,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,12
21,ArrayExpression,,-1,-1,9,35,9,53,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/commander.js/.eslintrc.js,13
