src,dst
4526,4171
7,2872
52,2872
117,158
123,158
126,158
127,158
155,103
196,2872
239,230
290,2872
321,2872
391,2872
444,2872
498,2872
556,2872
647,2872
684,2872
744,4073
765,4073
788,2872
824,2872
1071,2872
1128,1171
1208,2872
1276,2872
1311,1287
1333,2872
1410,2872
1491,1412
1522,2872
1533,1524
1571,1524
1590,2872
1647,1621
1669,2872
1829,2872
1912,2872
1958,2872
2000,2872
2039,2872
2061,2872
2073,2872
2149,2872
2206,2872
2224,2312
2231,2303
2245,2312
2252,2303
2265,2312
2274,2303
2321,2298
2323,2298
2325,2298
2327,2298
2329,2298
2339,2872
2362,2340
2370,2340
2512,2514
2519,2732
2521,2688
2523,2688
2524,2688
2525,2688
2526,2688
2552,2688
2553,2688
2555,2688
2557,2732
2570,4073
2573,2722
2576,2722
2579,2965
2582,2930
2631,2566
2660,2566
2677,2566
2684,2675
2704,2688
2705,4920
2708,2688
2709,4941
2712,2688
2713,4962
2726,2688
2731,2688
2734,2688
2738,2688
2745,2688
2746,2566
2755,2566
2792,2722
2819,2838
3147,3299
3179,3299
3183,3299
3190,3299
3204,3299
3227,3299
3233,3299
3264,3299
3268,3299
3286,3299
3291,3299
3475,4991
3539,4007
3562,4007
3625,4855
3635,3934
3660,3934
3740,4868
3751,4884
3968,3938
3971,3952
3979,3938
4145,4422
4166,4487
4169,4516
4177,4504
4180,4181
4202,4415
4206,4498
4206,4518
4215,4453
4233,4403
4241,4498
4241,4518
4244,4459
4247,4280
4251,4181
4255,4257
4261,4181
4267,4181
4313,4301
4318,4301
4320,4322
4326,4301
4331,4301
4336,4322
4337,4301
4370,4442
4374,4543
4382,4668
4384,4543
4398,4380
4550,4543
4601,4628
4622,4628
4730,4732
4753,4732
4783,4543
4809,4543
4847,5004
4852,5004
4875,4899
4896,4868
5092,5095
5119,5126
5132,5144
5140,5144
5182,4668
5183,4711
5193,4668
5205,4760
5214,4711
5233,4668
5234,4760
5237,4711
5250,4668
5261,4760
5271,4711
5278,4668
5279,4760
5283,4760
5287,4711
5302,4668
5306,4711
5319,4668
5329,4711
5343,4668
5347,4760
5353,4711
