src,dst
280,281
297,320
314,320
318,320
323,324
382,509
433,331
454,400
472,376
503,376
525,331
679,641
684,585
697,1115
848,801
890,825
1272,1204
1273,1204
1274,1204
1275,1204
1276,1204
1277,1204
1278,1204
1279,1204
1365,1335
1567,2916
1585,3776
1922,3081
1936,3081
1947,3081
1990,2239
1994,2239
1996,2239
2024,1971
2202,1872
2270,2239
2300,2279
2358,3081
2367,3081
2429,3081
2442,3081
2452,3081
2830,2239
2835,2239
3434,2916
3448,3776
3482,2916
3496,3776
3771,2886
5284,5227
5467,5499
6084,6047
6091,6047
6753,6728
6757,6741
6758,6728
6787,6145
6990,6888
7268,7186
8089,7512
8094,7512
8099,7512
8130,7582
8135,7582
8140,7582
8358,7435
9014,8799
9056,6888
9146,4417
9191,4417
9226,4460
9286,4460
9419,8615
9427,7392
9433,4417
10335,10190
10346,10190
10347,10205
10360,10190
10396,10399
10453,10304
10454,10227
10572,10542
10946,12081
10948,12081
11104,12081
11128,12081
11989,11862
12006,11862
12029,11862
12030,11973
12039,11870
12060,11870
12064,11870
12068,11870
12098,12099
12106,12109
12113,12114
12186,12197
12200,12153
12204,12153
12209,12160
12214,12611
12243,12160
12245,12611
12255,12167
12275,12183
12391,12368
12394,12376
12402,12153
12410,12399
12421,12399
12429,12153
12436,12954
12454,12954
12493,12426
12508,12368
12535,12368
12571,12153
12624,12153
12682,12153
12744,12611
12758,12160
12795,12167
12799,12749
12813,12167
12817,12749
12827,12167
12831,12749
12848,12167
12852,12749
12897,12741
12906,12160
12915,12128
13017,13018
13040,13456
13120,12167
13124,12167
13133,12418
13142,13020
13147,12167
13152,12488
13161,13020
13177,13020
13187,13020
13204,12167
13208,12167
13247,12954
13273,12167
13306,12954
13387,12954
13400,12954
13439,12791
13464,12167
13522,12183
13523,12611
13532,12183
13533,12672
13542,12741
13548,13549
13559,13560
13595,12153
13596,12183
13601,13602
13611,13612
13637,12183
13645,13646
13655,13656
13664,12183
13673,13674
13738,13876
13880,13696
13891,13734
13902,13780
13942,12672
13955,12672
14150,13820
14152,13798
14163,13734
14183,13734
14206,13876
14235,14158
14246,14172
14256,13876
14277,13876
14287,13909
14308,13909
14318,14230
14320,13876
14422,13685
14426,13685
14543,13798
14550,13820
14593,13876
14597,13876
14623,13696
14634,14586
14636,14230
14638,14230
14648,13993
14652,13993
14655,14629
14666,13876
14670,14230
14700,14661
14710,14661
14716,14717
14726,14727
14745,12160
14798,14799
14808,14809
14825,12160
14875,12176
14889,14890
14899,14900
14925,12160
14986,14960
14990,14960
14997,14998
15283,15291
15286,15148
15296,15003
15413,15003
15425,15148
15441,15456
15446,15420
15448,15420
15450,15420
15461,15408
15463,15408
15465,15408
15476,15420
15478,15420
15498,15513
15503,15148
15505,15148
15507,15148
15518,15003
15520,15003
15522,15003
15678,15003
15795,15291
15944,15853
15999,15940
16183,15003
16185,15003
16187,15003
16202,16259
16274,15003
16277,15003
16279,15003
16302,15529
16308,15529
16329,12749
16334,16315
16408,12791
16416,16382
16439,16315
16489,16490
16499,16500
16509,12183
16510,12611
16522,16523
16532,16533
16542,12183
16550,16551
16554,16555
16564,16565
16578,16570
16634,12741
16647,16648
16658,16659
16712,16713
16722,16723
16751,12335
16783,15485
16800,15513
16812,16259
16818,16019
16830,16019
16845,16382
16850,16382
16865,12335
16901,15485
16953,16259
16969,16019
16998,16382
17004,16382
17031,12335
17092,16315
17098,16382
17101,12335
17131,15003
17141,15291
17150,15664
17180,16382
17189,12335
17261,12335
17287,15003
17299,15291
17307,15664
17328,16382
17337,12335
17360,15003
17373,15291
17381,15664
17403,16382
17420,12335
17494,15148
17498,15148
17500,15148
17544,12335
17587,15853
17607,15950
17641,16315
17658,12335
17689,15003
17700,15003
17787,15003
17838,12335
17871,15853
17887,15950
17908,16315
17916,12335
17994,12335
18011,15485
18030,16259
18048,16019
18085,16315
18091,16382
18105,12335
18164,15148
18211,15148
18221,12335
18266,13876
18388,12335
18405,15432
18457,15003
18459,15003
18461,15003
18478,18297
18483,18297
18494,12335
18511,15432
18541,12335
18782,12335
18806,15420
18830,13696
18971,15051
18982,18842
18986,18864
18990,12335
19204,12335
19328,12335
19403,19320
19756,12335
19832,19410
19848,15003
19977,19410
20038,19638
20113,20114
20129,12153
20132,12335
20140,20124
20144,20124
20150,12611
20159,12611
20169,20124
20173,20124
20179,12611
20189,12611
20200,20124
20204,20124
20216,12611
20253,12791
20257,20124
20262,20124
20298,12611
20324,20124
20331,20124
20346,12557
20357,12557
20402,12611
20413,12611
20424,12611
20435,12611
20455,20124
20537,12844
20959,12791
20985,12954
20996,12954
21012,13696
21036,12791
21060,12954
21068,12954
21083,13696
21105,12844
21110,12791
21120,12954
21133,12954
21140,12954
21148,12954
21166,13696
21173,12954
21181,12954
21199,13696
21212,12791
21222,12954
21230,12954
21248,13696
21253,12954
21262,12954
21280,13696
21787,12791
21817,12844
21823,12557
21834,21835
21855,12791
21859,13456
21876,13696
21879,12954
21912,13696
21915,12954
21946,21947
21954,13456
21961,12844
21966,12954
21974,13196
21980,13107
21987,13196
21993,13107
22002,12954
22016,13107
22025,13107
22030,13196
22039,13107
22048,13107
22053,13196
22100,13107
22109,13107
22118,21949
22122,12557
22169,12844
22260,12844
22570,22543
22591,22543
22595,22543
23098,13696
23125,12557
23165,12557
23206,12557
23236,23237
23246,23247
23284,12183
23292,23293
23308,12335
23320,12167
23333,13876
23336,14230
23351,12153
23429,12335
23453,23434
23469,12335
23496,13876
23500,14230
23549,12167
23602,12335
23636,23607
23650,23607
23658,12335
23721,13876
23740,13876
23757,13876
23794,12167
23846,12335
23883,23851
23893,12335
23913,12167
23934,13876
23939,13876
24033,14241
24043,13876
24090,12335
24135,14230
24199,14230
24225,12335
24284,12335
24294,24247
24304,24247
24312,24313
24329,12954
24339,12954
24346,24359
24350,12426
24356,12426
24407,13876
24412,13696
24425,13696
24466,24315
24587,24573
24599,24359
24602,24459
24605,24556
24631,12335
24660,12183
24689,12183
24721,12557
24721,12183
24797,12183
24843,12183
24866,12183
25131,12183
25235,12183
25525,25415
25561,25415
25626,25415
27000,27817
27005,27025
27177,27817
27181,27025
27260,27817
27264,27025
27287,25930
27298,27817
27302,27025
27323,25930
27354,27817
27358,27025
27379,25930
27409,27817
27413,27025
27422,27433
27425,27294
27427,27997
27439,27817
27443,27025
27447,27817
27451,27025
27498,25930
27516,27817
27520,27025
27545,25930
27561,27817
27565,27025
27586,25930
27606,27817
27610,27025
27631,25930
27657,27817
27661,27025
27682,25930
27712,27817
27716,27025
27740,26995
27744,27173
27747,25930
27781,27817
27785,27025
27789,27817
27794,27025
27805,25930
27952,27817
27956,27025
27965,27433
27967,27294
27977,27817
27981,27025
27990,27433
27992,27350
28001,27817
28005,27025
