src,dst
14874,77198
20904,20887
23013,8879
53101,12461
53131,12461
53160,12461
53182,12461
53221,12461
62976,13674
74012,74014
8007,11227
8194,77236
8197,76275
8230,76275
8286,76038
8322,13674
8489,11948
8561,11749
8583,13146
8691,11436
8775,8740
8779,8718
8828,8801
8831,8837
8835,8740
8836,8780
8845,8718
8857,8756
8871,8837
8890,8801
8904,8768
8909,8740
8911,8718
8917,8740
9060,9390
9154,10962
9181,11783
9183,10962
9190,10962
9217,11783
9219,10962
9226,10962
9265,13674
9268,76038
9293,76038
9296,13674
9671,10941
9689,9706
9733,76038
9783,11948
9803,11948
9826,11948
9998,9935
10191,13146
10380,11271
10387,10899
10466,11271
10473,10899
10542,76038
10572,13674
10594,11948
10627,11783
10631,11948
10634,11783
10676,11783
10680,11948
10832,11783
10870,10941
10889,10813
10905,11452
10933,11452
10951,11271
10968,11452
10969,10941
10988,11452
11069,11452
11087,11452
11092,11469
11130,10941
11146,11043
11147,11634
11147,11637
11148,10899
11233,11452
11256,11469
11311,11452
11394,11436
11431,11452
11476,11452
11530,11452
11558,11452
11639,11452
11667,11452
11684,11452
11702,77236
11705,76275
11732,13146
11755,10941
11838,76038
11875,77236
11878,76275
12153,11594
12171,12183
12238,49057
12243,49040
12256,49067
12324,10813
12338,10813
12377,11594
12464,12427
12475,8139
12533,11948
12601,9479
12623,13778
12774,13146
12829,11948
12893,12899
12997,11948
13052,76003
13063,76003
13228,9536
13228,9576
13229,12400
13518,13674
13647,10941
13651,11566
13760,77236
13763,76275
13884,9390
13942,9390
14025,11525
14025,11528
14053,77236
14200,13674
14229,13674
14374,74008
14379,74008
14401,9146
14405,14390
14409,9146
14414,76816
14418,14390
14422,76816
14431,8442
14434,14390
14438,9251
14440,14390
14444,9278
14446,14390
14450,9305
14453,14390
14457,9323
14460,14390
14465,14390
14469,9706
14470,14390
14474,9832
14476,14390
14480,10476
14481,14390
14485,10520
14486,14390
14490,10560
14493,14390
14497,10586
14500,14390
14504,11783
14505,14390
14509,11812
14510,14390
14514,13836
14515,14390
14519,13864
14520,14390
14524,13895
14525,14390
14529,13923
14530,14390
14534,14158
14537,14390
14541,14184
14543,14390
14547,14208
14549,14390
14553,14237
14555,14390
14559,14255
14561,14390
14565,76893
14568,14390
14572,77198
14575,14390
14579,77344
14588,14390
14601,9146
14603,14593
14607,10586
14609,14593
14613,76816
14614,14593
14618,77267
14619,14593
14632,9146
14633,14624
14637,10586
14639,14624
14643,76816
14644,14624
14856,73428
14861,9146
14866,10586
14870,76893
14926,10185
15098,7940
15113,15087
15117,15087
15121,15087
15125,15087
15133,15087
15142,7940
15857,7980
15870,7980
15919,7980
15930,7980
15935,7980
15945,7980
15976,7980
15989,7980
16001,7980
16013,7980
16039,7980
16040,16023
16092,7980
16112,73435
16151,73435
16173,7980
16191,7980
16227,7991
16238,7991
16270,7991
16283,7991
16302,7991
16306,73891
16332,7991
16507,16484
16586,16527
16613,16527
16646,16527
16656,73976
16681,16527
16711,16527
16742,16527
16789,16762
16793,16762
16797,16762
16801,16762
16809,16762
16866,74008
17255,8190
17259,8190
17263,8190
17267,8190
17271,8190
17275,8190
17291,8190
17301,8190
17311,8190
17333,8225
17337,8225
17341,8225
17411,17412
17594,17595
17679,8234
17687,8234
18000,8274
18014,8274
18056,8274
18057,8274
18090,8274
18101,8274
18133,8327
18137,8327
18145,8327
18152,8327
18159,8327
18171,8327
18176,8327
18181,8327
18190,8327
18197,8327
18204,8327
18215,8327
18220,8327
18225,8327
18235,8327
18245,8327
18255,8327
18267,8327
18279,8327
18289,8327
18294,8327
18425,18360
18550,8387
18594,8387
18620,8405
18627,11783
18860,18360
18876,18360
18897,18360
18983,18946
19415,18360
19554,8442
19624,8442
19625,13674
19656,8442
19657,13674
20129,8552
20153,20117
20176,20117
20239,20117
20240,20203
20261,20117
20273,20125
20297,20117
20307,20125
20311,20125
20337,20117
20361,20117
20371,20125
20372,20349
20391,20117
20409,20125
20410,20125
20430,20117
20442,20125
20443,20125
20470,20117
20472,20125
20509,8537
20682,8577
20725,8577
20726,8577
20736,8577
20750,8577
20782,8577
20789,8577
20799,8577
20861,8577
20917,8607
20927,20900
20962,8607
20966,20900
21020,8607
21022,21000
21060,8607
21061,21051
21084,8607
21085,8607
21110,8607
21111,8607
21155,11749
22524,8637
22535,8879
22536,8879
22537,8879
22559,8879
22560,8879
22561,8879
22584,8637
22586,8879
22595,8879
22603,8879
22613,8637
22619,8879
22621,8879
22641,8637
22648,8879
22672,8637
22683,8637
22692,8879
22698,8879
22700,8879
22714,8879
22727,8637
22733,8879
22734,8879
22746,8879
22747,8879
22766,8637
22776,8637
22784,8879
22789,8879
22813,8637
22822,8879
22824,8879
22836,8879
22838,8879
22865,8637
22875,8637
22892,8879
22894,8879
22920,8637
22928,8879
22952,8637
22960,8879
22966,8879
22991,8637
23102,8970
23153,8983
23184,9024
23209,9024
23222,9024
23240,9024
23257,9024
23278,9024
23333,9024
23342,9024
23396,9080
23436,9080
23444,9080
23466,9080
23491,9080
23503,9080
23513,9080
23541,9080
23564,9080
23624,9080
23665,9080
23698,9080
23734,9096
23758,9096
23786,9096
23828,9115
23860,9115
23887,9115
23913,9115
23948,9115
24259,9172
24272,9172
24295,9172
24348,9208
24398,9208
24489,9251
24518,9251
24539,9251
