id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,7,0,104,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,0
6,Identifier,exports,-1,-1,8,0,8,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,1
7,TemplateLiteral,,-1,-1,8,8,8,66,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,2
8,TemplateElement,,-1,-1,8,8,8,66,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,3
9,TemplateLiteral,,-1,-1,8,70,15,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,4
10,TemplateElement,,-1,-1,8,70,15,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,5
14,TemplateLiteral,,-1,-1,17,8,17,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,6
15,TemplateElement,,-1,-1,17,8,17,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,7
16,TemplateLiteral,,-1,-1,17,78,24,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,8
17,TemplateElement,,-1,-1,17,78,24,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,9
21,TemplateLiteral,,-1,-1,26,8,26,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,10
22,TemplateElement,,-1,-1,26,8,26,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/node-mkdirp/tap-snapshots/test-cmd.js-TAP.test.js,11
