id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,1,0,16,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,0
6,Identifier,module,-1,-1,3,0,3,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,1
7,Identifier,exports,-1,-1,3,7,3,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,2
8,FunctionExpression,,1,-1,3,17,16,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,3
9,Identifier,grunt,-1,-1,3,27,3,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,4
12,CallExpression,loadNpmTasks,-1,1,4,4,4,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,5
14,Identifier,loadNpmTasks,-1,-1,4,10,4,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,6
16,CallExpression,initConfig,-1,1,6,4,13,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,7
18,Identifier,initConfig,-1,-1,6,10,6,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,8
19,ObjectExpression,,-1,-1,6,21,13,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,9
21,Identifier,uglify,-1,-1,7,8,7,14,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,10
22,ObjectExpression,,-1,-1,7,16,12,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,11
24,ArrayExpression,,-1,-1,8,24,8,32,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,12
26,Identifier,options,-1,-1,9,12,9,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,13
27,ObjectExpression,,-1,-1,9,21,11,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,14
29,Identifier,report,-1,-1,10,16,10,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,15
31,CallExpression,registerTask,-1,2,15,4,15,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,16
33,Identifier,registerTask,-1,-1,15,10,15,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,17
34,ArrayExpression,,-1,-1,15,34,15,44,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/Gruntfile.js,18
35,Program,,-1,-1,1,0,71,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,19
37,VariableDeclaration,,-1,-1,3,0,3,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,20
39,Identifier,Q,-1,-1,3,4,3,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,21
40,CallExpression,require,-1,1,3,8,3,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,22
41,Identifier,require,-1,-1,3,8,3,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,23
42,VariableDeclaration,,-1,-1,4,0,4,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,24
44,Identifier,fs,-1,-1,4,4,4,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,25
45,CallExpression,require,-1,1,4,9,4,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,26
47,CallExpression,suite,-1,2,6,0,18,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,27
48,Identifier,suite,-1,-1,6,0,6,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,28
49,FunctionExpression,,0,-1,6,41,18,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,29
52,CallExpression,bench,-1,2,7,4,9,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,30
53,Identifier,bench,-1,-1,7,4,7,9,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,31
54,FunctionExpression,,1,-1,7,51,9,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,32
55,Identifier,done,-1,-1,7,61,7,65,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,33
58,CallExpression,then,-1,1,8,8,8,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,34
60,CallExpression,Q,-1,0,8,8,8,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,35
61,Identifier,then,-1,-1,8,12,8,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,36
63,CallExpression,bench,-1,2,11,4,13,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,37
64,FunctionExpression,,1,-1,11,44,13,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,38
67,CallExpression,setImmediate,-1,1,12,8,12,26,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,39
68,Identifier,setImmediate,-1,-1,12,8,12,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,40
70,CallExpression,bench,-1,2,15,4,17,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,41
71,FunctionExpression,,1,-1,15,42,17,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,42
74,CallExpression,setTimeout,-1,2,16,8,16,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,43
75,Identifier,setTimeout,-1,-1,16,8,16,18,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,44
77,CallExpression,suite,-1,2,20,0,43,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,45
78,FunctionExpression,,0,-1,20,23,43,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,46
80,VariableDeclaration,,-1,-1,21,4,21,47,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,47
82,Identifier,denodeified,-1,-1,21,8,21,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,48
83,CallExpression,denodeify,-1,1,21,22,21,46,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,49
85,Identifier,denodeify,-1,-1,21,24,21,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,50
87,Identifier,readFile,-1,-1,21,37,21,45,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,51
89,CallExpression,set,-1,2,23,4,23,27,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,52
90,Identifier,set,-1,-1,23,4,23,7,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,53
92,CallExpression,set,-1,2,24,4,24,22,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,54
94,CallExpression,bench,-1,2,26,4,28,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,55
95,FunctionExpression,,1,-1,26,38,28,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,56
98,CallExpression,readFile,-1,2,27,8,27,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,57
100,Identifier,__filename,-1,-1,27,20,27,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,58
102,CallExpression,bench,-1,2,30,4,32,6,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,59
103,FunctionExpression,,1,-1,30,27,32,5,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,60
106,CallExpression,then,-1,1,31,8,31,52,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,61
108,CallExpression,nfcall,-1,2,31,8,31,41,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,62
110,Identifier,nfcall,-1,-1,31,10,31,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/q/benchmark/compare-with-callbacks.js,63
