id,type,name,params_len,argument_len,start_line,start_column,end_line,end_column,file_name,new_id
1,Program,,-1,-1,15,0,155,2,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,0
3,VariableDeclaration,,-1,-1,17,0,17,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,1
5,Identifier,extend,-1,-1,17,4,17,10,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,2
6,CallExpression,require,-1,1,17,13,17,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,3
7,Identifier,require,-1,-1,17,13,17,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,4
8,VariableDeclaration,,-1,-1,18,0,18,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,5
10,Identifier,cookies,-1,-1,18,4,18,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,6
11,CallExpression,require,-1,1,18,14,18,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,7
12,VariableDeclaration,,-1,-1,19,0,19,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,8
14,Identifier,helpers,-1,-1,19,4,19,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,9
15,CallExpression,require,-1,1,19,14,19,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,10
16,VariableDeclaration,,-1,-1,21,0,21,57,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,11
18,Identifier,paramsHaveRequestBody,-1,-1,21,4,21,25,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,12
20,FunctionDeclaration,initParams,3,-1,24,0,40,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,13
21,Identifier,initParams,-1,-1,24,9,24,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,14
22,Identifier,uri,-1,-1,24,21,24,24,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,15
23,Identifier,options,-1,-1,24,26,24,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,16
24,Identifier,callback,-1,-1,24,35,24,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,17
26,IfStatement,,-1,-1,25,2,27,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,18
28,UnaryExpression,,-1,-1,25,6,25,20,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,19
32,VariableDeclaration,,-1,-1,29,2,29,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,20
34,Identifier,params,-1,-1,29,6,29,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,21
35,ObjectExpression,,-1,-1,29,15,29,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,22
36,IfStatement,,-1,-1,30,2,36,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,23
40,UnaryExpression,,-1,-1,30,26,30,40,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,24
43,CallExpression,extend,-1,3,31,4,31,39,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,25
44,ObjectExpression,,-1,-1,31,28,31,38,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,26
46,IfStatement,,-1,-1,32,9,36,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,27
48,UnaryExpression,,-1,-1,32,13,32,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,28
51,CallExpression,extend,-1,2,33,4,33,30,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,29
52,ObjectExpression,,-1,-1,33,19,33,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,30
56,CallExpression,extend,-1,2,35,4,35,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,31
62,ReturnStatement,,-1,-1,39,2,39,15,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,32
63,FunctionDeclaration,request,3,-1,42,0,54,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,33
64,Identifier,request,-1,-1,42,9,42,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,34
66,IfStatement,,-1,-1,43,2,45,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,35
68,UnaryExpression,,-1,-1,43,6,43,16,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,36
70,ThrowStatement,,-1,-1,44,4,44,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,37
71,NewExpression,Error,-1,1,44,10,44,70,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,38
72,Identifier,Error,-1,-1,44,14,44,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,39
73,VariableDeclaration,,-1,-1,47,2,47,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,40
75,CallExpression,initParams,-1,3,47,15,47,49,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,41
76,IfStatement,,-1,-1,49,2,51,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,42
80,Identifier,method,-1,-1,49,13,49,19,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,43
81,CallExpression,paramsHaveRequestBody,-1,1,49,34,49,63,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,44
83,ThrowStatement,,-1,-1,50,4,50,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,45
84,NewExpression,Error,-1,1,50,10,50,74,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,46
85,ReturnStatement,,-1,-1,53,2,53,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,47
86,NewExpression,Request,-1,1,53,9,53,36,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,48
88,Identifier,Request,-1,-1,53,21,53,28,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,49
89,FunctionDeclaration,verbFunc,1,-1,56,0,63,1,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,50
90,Identifier,verbFunc,-1,-1,56,9,56,17,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,51
91,Identifier,verb,-1,-1,56,19,56,23,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,52
93,VariableDeclaration,,-1,-1,57,2,57,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,53
95,CallExpression,toUpperCase,-1,0,57,15,57,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,54
97,Identifier,toUpperCase,-1,-1,57,20,57,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,55
98,ReturnStatement,,-1,-1,58,2,62,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,56
99,FunctionExpression,,3,-1,58,9,62,3,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,57
101,VariableDeclaration,,-1,-1,59,4,59,51,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,58
103,CallExpression,initParams,-1,3,59,17,59,51,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,59
107,ReturnStatement,,-1,-1,61,4,61,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,60
108,CallExpression,request,-1,2,61,11,61,43,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,61
113,Identifier,get,-1,-1,66,8,66,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,62
114,CallExpression,verbFunc,-1,1,66,14,66,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,63
118,Identifier,head,-1,-1,67,8,67,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,64
119,CallExpression,verbFunc,-1,1,67,15,67,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,65
123,CallExpression,verbFunc,-1,1,68,18,68,37,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,66
127,Identifier,post,-1,-1,69,8,69,12,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,67
128,CallExpression,verbFunc,-1,1,69,15,69,31,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,68
132,Identifier,put,-1,-1,70,8,70,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,69
133,CallExpression,verbFunc,-1,1,70,14,70,29,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,70
137,Identifier,patch,-1,-1,71,8,71,13,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,71
138,CallExpression,verbFunc,-1,1,71,16,71,33,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,72
142,Identifier,del,-1,-1,72,8,72,11,/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/request/index.js,73
