src,dst
8921,3999
8924,3999
9534,3601
13513,13500
13519,13500
14049,13989
15158,15071
15492,15372
15951,15483
15959,15483
1,2
44,15
46,23
47,23
53,33
61,15
93,73
197,2927
237,2789
245,227
248,230
281,2710
283,857
285,2789
289,3054
291,3477
310,2904
312,273
326,4161
366,340
373,2710
378,760
380,355
381,359
386,355
387,359
440,2927
528,303
566,2927
585,557
586,857
646,232
652,2789
696,2380
698,669
714,970
720,970
745,303
746,1460
772,1004
781,592
790,592
823,1074
833,2710
838,2710
1039,4105
1048,2300
1079,2789
1091,363
1121,3593
1128,2710
1134,3593
1138,632
1153,3593
1157,669
1181,4161
1224,2789
1242,1553
1295,4311
1308,729
1314,760
1330,232
1370,3593
1393,390
1411,3593
1437,3593
1441,669
1443,1553
1448,1286
1465,857
1474,869
1474,876
1474,883
1474,888
1477,2927
1481,869
1481,876
1481,883
1481,888
1491,429
1508,303
1513,2927
1535,390
1544,390
1561,303
1562,1460
1594,1613
1604,520
1618,303
1621,2927
1636,520
1651,1583
1652,3054
1672,2242
1683,669
1699,2710
1723,605
1724,1035
1727,2869
1736,729
1742,760
1758,1035
1769,760
1794,3204
2220,729
2236,470
2281,1286
2289,1286
2308,2927
2332,3593
2341,2710
2342,1035
2348,2994
2356,605
2373,1004
2374,2375
2378,1010
2378,2380
2383,760
2393,1004
2399,1004
2426,1004
2431,2710
2442,1004
2481,2380
2485,2927
2540,2542
2554,2427
2557,2427
2589,2542
2590,1020
2591,1020
2596,2851
2619,2710
2620,2710
2640,2521
2644,2927
2647,2927
2653,760
2654,2521
2664,2521
2670,1004
2700,1004
2729,810
2730,1004
2742,2927
2786,1004
2803,1004
2818,810
2819,1004
2825,1004
2831,1004
2858,2427
2866,1269
2888,810
2889,1004
2895,1004
2909,273
2932,2789
2944,760
2948,363
2969,3582
2981,470
2999,303
3004,2927
3031,303
3034,2927
3063,2736
3096,4311
3103,303
3104,1460
3136,760
3171,4311
3178,303
3179,1460
3207,1460
3208,1689
3223,318
3249,8855
3249,8887
3249,9097
3249,9127
3294,3593
3302,2710
3303,3228
3306,2994
3307,669
3314,1286
3336,2927
3360,3593
3388,632
3396,729
3424,3593
3435,2710
3438,857
3439,1074
3440,669
3452,793
3452,869
3452,876
3452,883
3452,888
3467,2994
3468,3477
3480,1035
3485,605
3503,1716
3549,552
3555,552
3574,1553
3575,3228
3576,303
3645,1035
3652,2710
3666,2710
3695,4311
3697,3506
3700,4074
3716,3506
3731,3686
3750,2927
3767,303
3772,2927
3803,303
3805,3462
3807,2994
3848,303
4042,857
4047,869
4047,876
4047,883
4047,888
4094,2994
4096,4311
4125,1460
4144,318
4145,1460
4154,318
4169,4161
4190,429
4202,3593
4206,4222
4207,669
4230,2405
4232,303
4259,1286
4264,1286
4295,3078
4304,3462
4316,2927
4340,1553
4341,3054
4350,3593
4375,3593
4507,4508
4525,1658
4530,26092
4534,1658
4538,1658
4543,1658
4547,1658
4552,4553
4555,1658
4558,2994
4568,1658
4571,1658
4575,1658
4579,1658
4584,1658
4602,3582
4606,3582
4609,3582
4612,4613
4616,26092
4619,2994
4624,1678
4638,2242
4643,2242
4647,2242
4651,4652
4655,26092
4658,2994
4663,1678
4668,2955
4673,26092
4676,2955
4680,2955
4685,2955
4689,2955
4693,4694
4697,26092
4699,2994
4708,2955
4711,2955
4715,2955
4719,2955
4726,2955
4731,1238
4738,4739
4741,1238
4744,2994
4755,1678
4758,1678
4762,1678
4770,1678
4787,1678
4790,1678
4796,1678
4799,4800
4802,1678
4817,1678
4828,1678
4832,1678
4834,1678
4837,1678
4839,3518
4841,3518
4844,1678
4846,3518
4847,3518
4849,1678
4853,1678
4856,3518
4858,1678
4861,3518
4864,3518
4871,1678
4872,3518
4874,1678
4884,4885
4908,3842
4913,3842
4928,3842
4931,3842
4939,3842
4954,3842
4960,4222
4965,4222
4975,4222
4996,4222
4998,4222
5000,4222
5013,4222
5015,4222
5017,4222
5027,5028
5030,4222
5041,4222
5045,4222
5050,4222
5071,2263
5076,26092
5079,5080
5082,2263
5089,2263
5091,2263
5096,2263
5100,2263
5115,26092
5135,5136
5164,26092
5180,5181
5244,4290
5248,4290
5262,4290
5272,4290
5282,3256
5293,3256
5304,3256
5305,3331
5308,3256
5322,5323
5327,1460
5375,1503
5403,1460
5437,5438
5443,1460
5473,5474
5478,1460
5515,1460
5529,2994
5537,2994
5553,2994
5580,5581
5586,1460
5722,3518
5725,3518
5728,3518
5731,3518
5734,3518
5737,3518
5741,3518
5755,3518
5759,3518
5762,3518
5770,1189
5775,1189
5779,1189
5784,1189
5788,1189
5795,1189
5800,1189
5805,1189
5813,1189
5820,5821
5846,26092
5878,26092
5901,1176
5922,26092
5937,26092
5960,26092
5979,26092
5998,26092
6018,26092
6028,26105
6035,26092
6037,26092
6038,1460
6061,6062
6077,1460
6088,1460
6099,1460
6115,1460
6124,26092
6127,1460
6133,1460
6139,1460
6145,1286
6149,1460
6153,1460
6159,1460
6162,1460
6170,1460
6175,1460
6200,1269
6216,1460
6221,3741
6224,4074
6228,3727
6232,3686
6234,1460
6241,1460
6256,1460
6283,1460
6301,2994
6310,2994
6318,26092
6326,2994
6337,2994
6341,2994
6355,2994
6380,26092
6464,2927
6476,4074
6481,2927
6489,4074
6500,1583
6505,1583
6511,1583
6524,1583
6528,1583
6533,1583
6537,1583
6542,1583
6556,1583
6560,1583
6564,1583
6596,1553
6600,1553
6603,1553
6608,1553
6619,1553
6626,1553
6632,1553
6636,26092
6646,3568
6656,3568
6664,3568
6675,3568
6680,3568
6686,3568
6692,1503
6697,1503
6701,1503
6704,1503
6710,1503
6715,1503
6718,1503
6722,1503
6735,1503
6738,1503
6743,1503
6747,1503
6749,1503
6754,1503
6758,1503
6764,1503
6775,3762
6780,3762
6783,3762
6786,3762
6790,3762
6794,3762
6799,3762
6804,3762
6807,3762
6810,3762
6820,3762
6823,3762
6828,3762
6832,3762
6834,3762
6839,3762
6842,3762
6847,3762
6856,1460
6864,1286
6867,1286
6871,1286
6874,1286
6877,1286
6884,26092
6890,1286
6892,1286
6895,1286
6898,1286
6901,1286
6903,1286
6905,1503
6919,1286
6922,1286
6927,1460
6933,1286
6936,1286
6940,1286
6963,4074
6971,1269
6983,1269
7090,3462
7094,3462
7099,3462
7113,4335
7118,4335
7122,4335
7127,4335
7141,1646
7146,1646
7150,1646
7153,2869
7155,1646
7159,2869
7162,1646
7171,1646
7174,7165
7178,3078
7182,3078
7186,3078
7189,3078
7193,3078
7200,3078
7204,3078
7208,3078
7212,3078
7213,3518
7216,3078
7219,3078
7222,3078
7225,3078
7228,3078
7231,3078
7234,3078
7237,3078
7240,3078
7243,3078
7249,2994
7265,3078
7268,3078
7276,3078
7282,3078
7291,3078
7302,3155
7305,3155
7308,3155
7310,3155
7313,3155
7320,3155
7323,3155
7326,3155
7329,2994
7342,3155
7345,3155
7346,3518
7348,3155
7351,3155
7354,3155
7357,3155
7360,3155
7363,3155
7377,3155
7380,3155
7388,3155
7395,3155
7405,3155
7420,3796
7426,3462
7433,3796
7440,3796
7448,7443
7449,7443
7450,7443
7451,7443
7452,7443
7453,7443
7454,7443
7455,7443
7456,7443
7457,7443
7458,7443
7459,7443
7460,7443
7462,7443
7464,7443
7466,7443
7468,7443
7470,7443
7474,3256
7479,3796
7485,3796
7486,3796
7492,3796
7676,3727
7680,3518
7683,3727
7689,3796
7690,3727
7699,3686
7702,3686
7707,3518
7711,3686
7714,3686
7717,1286
7718,3686
7720,3686
7724,3686
7728,3686
7732,3686
7737,1286
7739,3686
7743,3686
7744,3518
7749,3518
7756,4074
7761,4030
7764,4074
7765,3686
7767,2661
7779,4074
7783,4074
7785,4074
7788,4074
7799,4074
7803,4074
7810,4074
7814,2994
7818,3741
7821,3741
7824,3741
7830,3741
7832,7828
7834,3741
7836,3741
7839,3741
7841,3741
7967,1553
7971,2994
7974,2994
7978,1503
7980,3762
7986,2445
7991,3078
7992,2955
7995,3155
7996,1658
7999,8000
8045,2661
8049,2661
8051,2661
8055,2661
8063,26092
8068,2469
8070,2469
8075,2445
8078,2445
8080,2445
8085,2380
8091,2789
8094,2789
8115,2405
8121,2710
8138,2769
8144,2777
8150,2869
8172,2405
8175,2769
8178,2710
8181,2777
8184,2869
8199,2710
8202,2710
8204,2710
8206,2710
8208,8209
8243,26092
8320,4074
8362,8350
8397,8387
8399,8390
8409,8404
8410,2955
8424,8404
8427,8407
8435,8402
8437,8404
8446,3124
8446,8442
8447,3124
8447,8442
8449,8442
8450,3119
8453,3124
8461,3119
8463,8456
8465,3124
8468,3119
8475,3124
8477,3124
8485,3124
8487,3124
8490,3119
8499,3124
8505,3119
8514,3124
8517,3124
8573,3972
8575,3999
8576,3999
8594,3972
8595,3999
8596,3999
8599,3999
8616,3972
8618,3999
8634,3972
8635,3999
8636,3999
8651,3972
8652,3999
8653,3999
8654,3999
8669,3972
8670,3999
8671,3999
8676,3999
8690,3972
8699,3999
8700,8696
8701,8696
8727,3972
8734,3999
8752,3972
8755,3999
8756,3999
8772,3972
8774,3999
8796,3972
8803,3999
8819,3972
8822,3999
8823,3999
8824,3999
8829,3999
8830,3999
8846,3972
8853,3999
8865,3999
8878,3972
8883,3999
8893,3999
8897,3999
8923,3972
8939,3972
8940,3999
8941,4022
8943,3999
8944,3999
8959,3972
8961,3999
8962,4022
8979,1342
8998,1342
9019,1342
9051,1342
9072,1342
9090,1342
9117,1342
9157,1342
9198,4361
9217,4361
9229,4361
9250,3232
9250,3228
9254,3232
9254,3228
9267,1246
9270,1255
9271,1246
9273,1255
9288,1246
9290,1255
9302,1051
9307,1056
9310,9295
9312,9295
9314,9295
9316,9295
9327,1095
9332,1102
9335,9321
9337,9321
9339,9321
9341,9321
9345,1095
9349,4030
9352,1102
9358,2904
9358,9392
9358,26558
9363,1460
9366,2904
9366,9392
9366,26558
9367,2904
9367,9392
9367,26558
9374,4074
9376,3518
9379,4074
9381,3518
9384,2904
9384,9392
9384,26558
9387,9397
9403,2904
9403,9392
9403,26558
9412,1503
9415,1553
9419,1583
9425,1613
9442,2994
9446,3078
9449,3155
9458,3568
9462,3762
9465,3796
9469,3842
9472,4222
9479,3026
9483,2904
9483,9392
9483,26558
9485,4074
9487,9397
9487,2904
9487,9392
9487,26558
9488,3518
9491,2904
9491,9392
9491,26558
9495,9397
9497,9397
9501,2904
9501,9392
9501,26558
9503,9397
9505,9397
9512,3601
9512,3593
9519,3601
9519,3593
9526,3601
9526,3593
9534,3593
9538,3601
9538,3593
9548,9549
9574,2927
9584,2927
9587,2927
9590,2927
9594,2927
9597,2927
9600,2927
9629,2927
9633,1074
9640,1074
9643,1074
9645,1460
9659,1074
9669,1074
9676,9670
9680,1074
9686,1074
9691,4311
9696,4311
9703,3331
9710,3331
9725,2927
9726,2300
9730,2300
9731,2300
9735,2300
9746,1689
9754,1689
9755,9750
9795,2927
9803,9799
9869,9866
9880,1460
9929,1460
9938,1269
9967,9963
9978,1754
10038,10035
10072,2769
10101,1219
10107,2955
10110,1219
10114,1219
10116,1219
10124,1460
10129,1324
10133,1324
10139,1324
10141,10138
10145,1324
10148,1324
10153,1324
10154,10138
10165,2661
10168,2661
10171,2661
10175,2661
10179,2661
10183,2661
10186,2661
10188,2661
10193,2661
10196,2661
10200,2661
10203,2661
10208,2661
10214,2661
10216,2661
10220,2661
10223,2661
10227,2661
10232,2661
10237,2661
10242,2661
10248,2661
10250,2661
10254,2661
10257,2661
10261,2661
10264,2661
10266,2661
10270,2661
10273,2661
10277,2661
10282,2661
10286,2661
10289,2661
10294,2661
10297,2661
10300,2661
10303,2661
10308,2661
10312,2661
10315,2661
10320,2661
10325,2661
10333,2661
10338,2661
10340,2661
10342,2661
10345,2661
10348,2661
10351,2661
10354,2661
10361,2661
10365,2661
10369,2661
10376,2661
10381,2661
10386,2661
10391,2661
10395,2661
10399,2661
10419,2661
10436,2661
10440,2661
10445,2661
10447,2661
10452,2661
10459,2661
10463,2661
10467,2661
10474,2661
10479,2661
10484,2661
10489,2661
10494,2661
10526,2661
10528,2661
10529,10160
10530,10160
10533,2661
10534,10160
10535,10162
10538,2661
10540,10160
10543,2661
10545,10162
10551,2661
10557,2661
10562,2661
10568,2661
10573,2661
10576,2661
10581,2661
10591,2661
10599,2661
10601,2661
10606,2661
10618,2661
10621,2661
10623,26092
10628,26092
10631,26092
10634,26092
10637,2661
10639,26092
10647,2661
10654,2661
10655,10648
10657,2661
10662,2661
10667,2661
10671,2661
10681,2661
10683,2661
10686,2661
10691,2661
10696,2661
10724,2661
10726,2661
10729,2661
10732,2661
10736,2661
10738,2661
10740,2661
10742,2661
10744,2661
10756,2661
10761,2661
10765,2661
10769,2661
10773,2661
10781,26092
10785,2469
10789,2469
10792,2469
10795,2469
10799,2469
10801,2469
10803,2469
10806,2469
10811,2469
10818,2469
10819,10814
10822,2469
10823,10814
10829,2469
10836,2445
10839,2445
10843,10844
10848,2380
10852,2380
10854,2380
10857,2380
10858,4074
10862,2380
10867,2789
10870,2789
10874,2789
10876,2789
10880,2789
10883,2789
10887,2789
10890,2789
10893,2789
10895,2789
10979,2405
10983,2405
10986,2405
10989,2405
10992,2405
10995,2405
10999,2405
11002,2405
11004,2405
11006,2405
11224,2710
11229,2710
11233,2710
11235,2710
11237,2710
11242,2710
11250,2710
11258,1176
11260,3494
11268,2710
11297,2679
11302,2679
11305,2679
11308,2679
11311,2679
11314,2679
11317,2679
11320,2679
11324,2679
11326,2679
11328,2679
11330,2679
11336,2679
11340,2679
11344,2679
11351,2769
11355,2769
11358,2769
11361,2769
11364,2769
11366,2769
11372,2769
11378,2777
11383,2777
11385,2777
11390,2869
11394,2869
11397,2869
11400,2869
11402,2869
11404,2869
11463,1460
11470,1460
11499,1460
11503,2851
11515,3867
11524,26092
11538,1754
11541,1754
11543,1754
11545,1754
11549,11546
11552,1754
11554,1754
11556,1754
11559,1754
11565,1754
11573,1716
11576,1716
11579,1716
11583,1716
11586,1716
11589,1716
11592,1716
11594,1716
11596,1716
11599,1716
11604,1716
11609,1716
11614,1716
11618,1716
11623,1716
11628,1716
11638,3482
11638,3477
11642,3482
11642,3477
11646,3482
11646,3477
11651,3482
11651,3477
11655,3482
11655,3477
11659,3482
11659,3477
11663,3482
11663,3477
11667,3482
11667,3477
11673,3482
11673,3477
11678,3482
11678,3477
11684,3482
11684,3477
11690,3482
11690,3477
11698,3494
11703,3500
11705,3500
11708,3500
11713,3500
11713,3494
11721,3494
11722,11715
11724,3500
11727,3494
11729,3500
11733,3494
11736,3500
11740,3494
11747,3500
11750,3500
11760,2736
11764,2736
11767,2736
11772,2736
11778,2736
11781,2736
11783,1460
11789,2736
11790,1460
11795,2736
11797,2736
11801,1460
11806,2736
11812,11808
11814,2736
11817,2736
11820,2736
11823,2736
11826,2736
11832,2994
11850,3060
11850,3054
11855,3060
11855,3054
11859,3060
11859,3054
11864,3060
11864,3054
11871,3060
11871,3054
11875,3060
11875,3054
11878,1583
11880,3054
11883,1583
11884,3054
11886,1553
11889,3054
11893,1553
11896,3054
11900,1553
11903,3054
11908,1553
11911,3054
11915,1460
11921,3060
11921,3054
11925,11923
11928,3054
11930,3060
11932,3054
11934,3060
11937,3060
11941,3060
11941,3054
11945,3060
11945,3054
11952,3054
11954,3060
11957,3060
11960,3054
11963,2994
11981,1613
11986,1613
11990,1613
11992,1613
11997,1613
12002,1613
12006,1613
12020,1613
12033,3026
12039,3026
12049,3026
12054,3026
12060,3026
12067,3026
12075,3026
12091,3026
12093,1460
12101,3026
12108,12105
12110,3026
12113,12114
12119,12120
12200,12201
12217,1219
12294,26092
12297,26092
12299,26092
12307,1776
12314,1273
12314,1269
12319,3240
12331,4105
12331,26448
12334,4105
12334,26448
12339,3518
12351,1503
12355,3506
12358,3762
12362,3506
12369,3246
12372,8855
12372,8887
12372,9097
12372,9127
12387,4271
12390,4222
12398,4030
12406,26092
12413,4030
12417,4030
12420,4030
12424,4030
12432,3204
12450,26092
12472,1460
12501,1503
12523,3895
12527,3951
12533,3895
12535,3951
12538,3895
12540,3951
12544,3895
12546,3951
12551,3895
12552,3951
12562,3895
12563,3951
12569,3895
12570,3951
12578,3895
12579,3951
12583,3895
12585,3951
12589,3895
12591,3951
12596,3895
12598,3951
12602,3895
12603,3951
12609,3895
12612,3895
12615,3951
12624,3895
12625,3951
12631,3895
12633,3951
12635,3895
12637,3951
12642,3895
12643,3951
12649,3895
12651,3951
12653,3895
12655,3951
12660,3895
12662,3951
12667,3895
12669,3951
12676,3895
12685,3895
12687,3951
12698,3640
12700,3640
12702,3640
12704,3640
12707,3640
12712,3640
12714,3640
12717,3640
12723,3640
12727,3640
12732,3640
12735,3640
12746,3640
12747,12742
12754,3640
12762,3640
12763,1269
12765,3640
12778,3640
12781,3640
12787,3640
12790,3640
12794,3640
12799,3640
12803,3640
12806,3640
12811,3640
12814,3640
12817,3640
12820,3640
12824,3640
12834,3640
12836,3640
12838,3640
12841,3640
12844,3640
12848,3640
12860,3640
12864,3640
12868,3640
12879,3640
12884,3640
12893,3895
12897,3951
12900,3951
12900,3895
12905,3895
12913,3895
12915,3951
12918,3951
12923,3895
12925,3951
12928,3951
12933,3895
12935,3951
12939,3951
12944,3895
12946,3951
12950,3951
12959,3895
12960,3951
12969,3895
12970,3951
12982,3895
12989,3895
12992,3951
12999,1460
13005,3951
13005,3895
13012,2869
13015,13016
13041,13042
13069,13056
13100,13101
13126,13102
13128,13102
13157,8855
13157,8887
13157,9097
13157,9127
13161,13171
13186,13060
13224,13286
13234,13218
13285,13077
13285,13081
13288,13250
13311,13312
13327,13077
13327,13081
13333,13077
13333,13081
13340,13319
13343,13319
13364,13250
13372,13359
13374,13494
13395,13351
13396,13351
13409,13366
13435,13500
13458,13500
13472,13336
13485,13366
13490,13494
13496,13250
13498,13250
13510,13494
13564,13236
13568,13569
13587,13682
13590,13690
13593,13690
13619,13581
13643,13658
13648,13077
13648,13081
13664,13286
13666,13286
13668,13286
13675,13620
13680,13077
13680,13081
13723,13631
13725,13581
13726,13631
13735,13704
13743,13210
13749,13631
13750,13631
13751,13705
13753,13581
13773,13631
13805,13806
13809,13090
13821,13122
13830,13154
13858,13154
13865,13178
13976,13289
13978,13807
13985,13236
13986,13236
13997,13250
13999,13952
14003,14022
14005,14022
14006,14022
14007,14022
14011,14031
14013,14031
14014,14031
14015,14031
14018,13250
14042,13937
14044,13989
14053,13989
14058,13989
14072,13250
14081,13132
14090,13250
14095,13210
14102,13250
14110,13210
14117,13077
14117,13081
14146,14183
14146,14192
14146,14212
14146,14222
14146,14231
14195,14227
14255,14187
14258,14227
14262,14180
14264,14197
14266,14214
14269,14242
14270,14227
14283,14489
14289,14140
14292,14446
14295,14425
14304,13077
14304,13081
14308,14635
14309,14394
14347,14140
14352,14335
14357,14394
14358,14415
14364,14421
14369,14421
14373,14415
14375,14421
14376,14425
14379,14394
14382,14421
14387,14370
14389,14415
14391,14119
14392,14344
14393,14415
14396,14421
14397,14327
14399,14112
14404,14421
14406,14383
14407,14415
14413,14430
14420,14140
14424,14140
14429,14140
14444,14446
14449,14119
14458,14421
14459,14331
14463,14394
14465,14421
14467,14415
14469,14421
14477,14394
14480,14421
14482,14421
14498,14499
14502,13090
14507,14489
14509,14127
14513,14415
14517,14415
14518,14421
14519,14492
14520,13122
14557,14421
14558,14383
14575,14421
14577,14415
14582,14425
