src,dst
5065,5063
7073,7071
9,1181
25,1720
50,1181
60,1720
95,1181
129,1181
148,1181
182,1181
231,213
241,1181
269,1181
296,1181
310,1720
315,1720
327,1181
356,1181
420,1181
437,1720
439,1720
452,1181
472,1720
494,1181
504,1720
509,1720
526,1181
549,1720
588,559
595,1181
619,1181
630,1720
632,1720
633,1720
655,1181
662,1720
665,1720
674,1181
699,684
700,684
708,1181
748,1181
778,1816
788,1720
797,1720
801,1720
802,1720
803,1720
820,1720
824,1720
863,1181
874,1720
879,1720
897,1181
911,1181
953,1181
972,934
973,1720
977,1720
979,1720
983,1720
990,1720
991,1720
1105,1181
1109,1150
1119,1081
1131,1140
1138,1140
1148,1150
1194,1592
1198,1192
1226,2040
1232,1720
1236,1720
1238,1169
1241,1691
1299,1421
1301,1421
1352,1360
1354,1380
1357,1388
1428,1523
1437,1328
1439,1501
1490,1481
1492,1481
1494,1456
1495,1720
1598,1627
1650,1859
1657,1313
1661,2181
1662,1272
1663,2140
1676,1816
1685,1284
1688,2152
1694,2043
1700,2043
1713,2043
1726,2040
1733,2040
1737,2040
1829,2024
1831,2024
1836,1284
1839,2152
1865,1313
1866,2181
1867,1859
1874,1002
1903,1912
1908,1912
1911,1891
1973,2076
2007,1284
2014,1313
2032,1816
2167,2289
2169,2289
2220,2228
2222,2248
2225,2256
2296,1523
2305,2196
2307,2369
2358,2349
2360,2349
2362,2324
2363,1720
2437,2421
2439,2440
2457,2421
2495,2440
2528,2586
2531,2586
2691,2663
2704,2663
2708,3092
2731,3284
2735,3017
2769,2766
2774,2762
2780,2762
2787,3017
2790,2762
2794,3086
2800,3017
2803,2762
2828,3086
2831,3108
2836,3108
2838,3103
2843,3086
2853,2766
2854,2766
2856,2739
2864,2981
2913,2926
2919,2926
2934,2963
2936,2943
3003,2395
3023,3042
3031,3120
3044,3172
3065,3086
3067,3157
3070,3042
3104,3157
3106,3017
3116,3097
3117,3110
3118,3110
3144,3103
3145,3097
3167,3200
3169,3226
3425,1072
3428,1181
3476,1002
3478,1021
3481,1030
3484,1021
3486,1030
3517,1181
3521,3914
3535,1181
3537,1272
3542,1181
3544,2140
3604,3605
3751,3592
3766,3627
3767,3663
3769,3671
3786,3592
3796,3627
3797,3663
3798,3671
3948,1181
4071,1181
4105,1181
4141,1181
4173,1181
4210,1181
4277,4287
4286,4255
4500,3513
4503,4448
4507,1720
4514,3513
4516,4448
4525,1720
4534,3513
4536,4448
4539,1720
4546,3513
4548,4448
4555,1720
4559,3513
4561,4448
4570,1720
4577,3513
4579,4448
4587,1720
4591,3513
4593,4448
4601,3513
4603,4448
4615,3513
4617,4448
4627,3513
4629,4448
4640,3513
4642,4448
4656,3513
4658,4448
4671,3513
4673,4448
4693,3513
4695,4448
4756,1072
4763,1081
4774,1117
4781,1121
4788,1121
4792,1128
4801,1128
4807,1128
4821,1072
4829,1117
4840,1117
4854,1072
4860,1117
4867,1117
4900,1181
4929,1181
4934,1720
4951,1181
4972,1181
4990,1181
5078,3531
5105,1272
5112,1181
5115,1272
5122,3531
5123,3627
5125,1360
5129,3531
5130,3663
5132,1380
5136,3531
5137,3671
5139,1388
5145,3531
5146,3671
5147,1388
5153,3547
5188,3557
5198,3531
5207,1284
5216,3578
5221,3531
5222,1328
5266,1523
