src,dst
61018,61000
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
60328,60512
60335,60534
60537,60720
60540,60746
60540,60749
60335,52919
52923,52911
52916,52903
52923,52919
52923,52911
52916,52903
52923,52919
52923,52911
52916,52903
52923,52919
52923,52911
52916,52903
52923,52919
52923,52911
52916,52903
52923,52919
52923,52911
52916,52903
52923,52919
52923,52911
52916,52903
52923,52919
52923,52911
52916,52903
52923,52919
52923,52911
52916,52903
52923,52919
52923,52911
52916,52903
61018,61000
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
60328,60512
60335,60534
60537,60720
60540,60746
60540,60749
60328,60512
60335,60534
60537,60720
60540,60746
60540,60749
61018,61000
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
52304,52411
58896,58883
58896,58920
58896,39481
58896,39498
58896,39513
58896,39527
58896,39538
58896,39549
58896,39560
58896,37687
58896,37687
58896,37703
58896,37703
61018,61000
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61000
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
56399,56379
56399,56379
56399,56379
56399,56379
56399,56379
56399,56379
56399,56379
56399,56379
56399,56379
61018,61000
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61000
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61000
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,61005
61018,58719
61018,61000
61018,61000
61018,58719
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,58719
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,58719
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,58719
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,58719
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,58719
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,61000
61018,58719
61018,61000
61018,61000
