src,dst
8527,8660
8527,8667
8527,8667
8690,8640
8474,8660
8474,8667
8474,8667
8690,8640
8280,8660
8280,8667
8280,8667
8690,8640
7572,7654
7658,7661
7658,7699
7658,7699
7658,7699
7713,7601
7715,7601
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7717,7624
8327,8660
8327,8667
8327,8667
8327,8667
8327,8667
8327,8667
8327,8667
8690,8640
7959,8660
7959,8667
7959,8667
7959,8667
7959,8667
7959,8667
7959,8667
8690,8640
8229,8660
8229,8667
8229,8667
8229,8667
8229,8667
8229,8667
8229,8667
8229,8667
8690,8640
8690,8652
8690,8652
8690,8652
8690,8652
8690,8652
8690,8652
8690,8652
8690,8652
8690,8652
8690,8652
8690,8652
8690,8652
8086,8660
8086,8667
8086,8667
8086,8667
8086,8667
8086,8667
8086,8667
8690,8640
8690,7661
8690,7686
8690,7686
8690,7686
8690,7686
7713,7601
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7715,7601
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7717,7624
8622,8660
8622,8667
8622,8667
8622,8667
8622,8667
8622,8667
8690,8640
8300,8660
8300,8667
8300,8667
8690,8640
7924,8660
7924,8667
7924,8667
7924,8667
7924,8667
7924,8667
8690,8640
8408,8660
8408,8667
8408,8667
8408,8667
8690,8640
8462,8660
8462,8667
8462,8667
8462,8667
8690,8640
8515,8660
8515,8667
8515,8667
8515,8667
8690,8640
8690,7661
8690,7686
8690,7686
8690,7699
8690,7699
8690,7699
8690,7699
7713,7601
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7713,7610
7715,7601
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7715,7610
7717,7624
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
6540,6498
6541,6498
5574,5517
5576,5517
5578,5517
13221,6349
6353,5764
5775,5580
5779,5713
6356,6312
6319,6327
6348,6327
6348,6327
6348,6327
6348,6327
6348,6327
6344,6327
6344,6327
6344,6327
6362,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6279,6183
6206,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6294,5967
6294,5972
5924,5874
5923,5863
5866,5838
5868,5834
5926,5874
5925,5869
5873,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5954,5995
5998,5823
5830,8309
5830,7936
5830,8112
8174,8109
5830,7992
5830,8547
5830,8294
6215,6252
6257,6219
6233,8321
6233,7948
6233,8215
8225,5628
6247,8253
6201,5817
5822,5619
6206,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6294,5967
6294,5972
5924,5874
5923,5863
5866,5838
5868,5834
5926,5874
5925,5869
5873,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5954,5995
5998,5823
5830,8309
5830,7936
5830,8112
8174,8109
5830,7992
5830,8547
5830,8294
6215,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6294,5967
6294,5972
5924,5874
5923,5863
5866,5838
5868,5834
5926,5874
5925,5869
5873,5834
5940,5874
5945,5838
5947,5845
5851,5841
5844,5838
5855,5834
5940,5874
5945,5838
5947,5845
5851,5841
5844,5838
5855,5834
5940,5874
5945,5838
5947,5845
5851,5841
5844,5838
5855,5834
5940,5874
5945,5838
5947,5845
5851,5841
5844,5838
5855,5834
5940,5874
5945,5838
5947,5845
5851,5841
5844,5838
5855,5834
5954,5995
5998,5823
5830,8309
5830,7936
5830,8112
8174,8109
5830,7992
5830,8547
5830,8294
6201,5817
5822,5619
6206,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6294,5967
6294,5972
5924,5874
5923,5863
5866,5838
5868,5834
5926,5874
5925,5869
5873,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5954,5995
5998,5823
5830,8309
5830,7936
5830,8112
8174,8109
5830,7992
5830,8547
5830,8294
6215,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6300,6388
6393,6368
6393,6349
6353,5764
5775,5580
5779,5713
6356,6312
6319,6327
6348,6327
6348,6327
6348,6327
6348,6327
6348,6327
6344,6327
6344,6327
6344,6327
6362,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6279,6183
6206,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6294,5967
6294,5972
5924,5874
5923,5863
5866,5838
5868,5834
5926,5874
5925,5869
5873,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5954,5995
5998,5823
5830,8309
5830,7936
5830,8112
8174,8109
5830,7992
5830,8547
5830,8294
6215,6252
6257,6219
6233,8321
6233,7948
6233,8215
8225,5628
6247,8253
6201,5817
5822,5619
6206,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6294,5967
6294,5972
5924,5874
5923,5863
5866,5838
5868,5834
5926,5874
5925,5869
5873,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5954,5995
5998,5823
5830,8309
5830,7936
5830,8112
8174,8109
5830,7992
5830,8547
5830,8294
6215,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6294,5967
6294,5972
5924,5874
5923,5863
5866,5838
5868,5834
5926,5874
5925,5869
5873,5834
5940,5874
5945,5838
5947,5845
5851,5841
5844,5838
5855,5834
5940,5874
5945,5838
5947,5845
5851,5841
5844,5838
5855,5834
5940,5874
5945,5838
5947,5845
5851,5841
5844,5838
5855,5834
5940,5874
5945,5838
5947,5845
5851,5841
5844,5838
5855,5834
5940,5874
5945,5838
5947,5845
5851,5841
5844,5838
5855,5834
5954,5995
5998,5823
5830,8309
5830,7936
5830,8112
8174,8109
5830,7992
5830,8547
5830,8294
6201,5817
5822,5619
6206,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6294,5967
6294,5972
5924,5874
5923,5863
5866,5838
5868,5834
5926,5874
5925,5869
5873,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5954,5995
5998,5823
5830,8309
5830,7936
5830,8112
8174,8109
5830,7992
5830,8547
5830,8294
6215,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6201,5817
5822,5619
6206,6252
6257,6219
6233,8321
6233,7948
6233,8215
6233,8076
6258,6219
6233,7913
6294,5967
6294,5972
5924,5874
5923,5863
5866,5838
5868,5834
5926,5874
5925,5869
5873,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
5934,5838
5936,5845
5851,5841
5844,5838
5855,5834
5931,5874
