src,dst
42755,43146
43149,43150
42755,43150
42784,42785
42784,42945
42999,43132
43020,43126
43030,43126
43030,43034
43030,43153
43030,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
44429,7411
44432,7303
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
6119,1178
6081,6060
6073,6955
6960,7181
6081,6095
6111,44372
44377,44350
44357,44422
