src,dst
6411,6254
6411,6254
6411,6254
6411,6254
6411,6254
6411,6254
6413,6314
6413,6314
6413,6314
6413,6314
6413,6314
6413,6314
6413,6314
6411,6254
6411,6254
6413,6314
6413,6314
6413,6314
6413,6314
6411,6254
6411,6254
6413,6314
6413,6314
6413,6314
6413,6415
6424,6254
6424,6254
6424,6254
6424,6254
6424,6254
6424,6254
6424,6254
6424,6254
6424,6254
6424,6254
6426,6314
6426,6314
6426,6314
6424,6254
6424,6254
6426,6314
6426,6314
6426,6314
6426,6314
6424,6254
6424,6254
6426,6314
6426,6314
6426,6314
6426,6428
6426,6467
6475,6344
6475,6344
6475,6344
6475,6344
6475,6344
6475,6344
6477,6373
6477,6373
6477,6373
6477,6373
6477,6373
6477,6373
6477,6373
6475,6344
6475,6344
6477,6373
6477,6373
6477,6373
6477,6373
6475,6344
6475,6344
6477,6373
6477,6373
6477,6373
6477,6479
6487,6344
6487,6344
6487,6344
6487,6344
6487,6344
6487,6344
6487,6344
6487,6344
6487,6344
6487,6344
6489,6373
6489,6373
6489,6373
6487,6344
6487,6344
6489,6373
6489,6373
6489,6373
6489,6373
6487,6344
6487,6344
6489,6373
6489,6373
6489,6373
6489,6527
6489,6595
6489,6631
6489,6686
6489,6808
6489,6842
6489,6892
6489,7415
7425,7015
7425,7015
7425,7015
7425,7015
7425,7015
7425,7015
7425,7015
7425,7015
7425,7015
7425,7015
7425,7015
7425,7015
7429,7117
7429,7117
7429,7117
7429,7117
7431,7146
7431,7146
7431,7146
7431,7146
7431,7146
7431,7146
7431,7146
7431,7146
7431,7146
7431,7146
7431,7146
7435,7225
7435,7225
7435,7225
7425,7015
7425,7015
7429,7117
7429,7117
7429,7117
7429,7437
7429,7477
7484,7251
7484,7251
7484,7251
7484,7251
7484,7251
7484,7251
7484,7251
7484,7251
7484,7251
7484,7251
7484,7251
7484,7251
7488,7309
7488,7309
7488,7309
7488,7309
7490,7333
7490,7333
7490,7333
7490,7333
7490,7333
7490,7333
7490,7333
7490,7333
7490,7333
7490,7333
7490,7333
7494,7391
7494,7391
7494,7391
7484,7251
7484,7251
7488,7309
7488,7309
7488,7309
7488,7636
7488,7696
7488,7755
7488,7787
7488,7822
7488,7847
7488,7869
7488,7908
7488,7938
7488,7957
7488,7994
7488,8024
7488,8046
7488,8067
7488,8094
7488,8136
7488,8166
7488,8228
7488,8273
7488,8458
7488,8477
7488,8501
7488,8537
7488,8551
7488,8580
7488,8621
7488,8635
7488,8704
7488,8749
7488,8773
7488,8773
7488,8818
7488,8837
7488,8983
7488,9085
7488,9172
7488,9241
7488,9260
7488,9305
7488,9354
7488,9450
7488,9502
7488,9588
7488,9678
7488,9797
7488,9896
7488,9952
7488,10105
7488,10128
7488,10153
7488,10168
7488,10251
7488,10295
7488,10308
7488,10308
7488,10387
7488,10429
7488,10431
7488,10474
7488,10512
7488,10514
7488,10552
7488,10580
7488,10619
7488,10621
7488,10636
7488,10656
7488,10716
7488,10744
7488,10805
7488,10807
7488,10916
7488,10979
7488,10981
7488,11056
7488,11176
7488,11199
7488,11219
7488,11231
7488,11308
7488,11352
7488,11365
7488,11365
7488,11437
7488,11479
7488,11481
7488,11524
7488,11562
7488,11564
7488,11602
7488,11629
7488,11668
7488,11670
7488,11691
7488,11711
7488,11771
7488,11801
7488,11825
7488,11858
7488,11860
7488,11969
7488,12060
7488,12062
7488,12139
7488,12287
7488,12561
7488,12583
7488,12612
7488,12630
7488,12651
7488,12653
7488,12741
7488,12772
7488,12867
7488,13032
7488,13064
7488,13088
7488,13110
7488,13137
7488,13139
7488,13433
7488,13452
7488,13454
7488,13494
7488,13516
7488,13518
7488,13535
7488,13633
