src,dst
2186,1363
1413,1449
1455,1483
1487,1417
1548,1580
1471,1592
1598,1417
1612,1637
1654,687
1658,2164
2167,2124
1479,1449
1455,1483
1479,1363
1413,1449
1455,1483
1487,1417
1548,1580
1471,1592
1603,1664
1413,1363
1413,1449
1455,1483
1487,1417
1548,1580
1471,1592
1413,1449
1471,1592
1598,1417
1603,1664
1675,2120
1686,2164
2167,2124
1413,1363
1413,1449
1455,1483
1487,1417
1548,1580
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
775,724
1612,1637
1654,687
1658,2164
2167,2124
1479,1449
1455,1483
1479,1363
1367,1784
1838,769
1413,1449
1455,1483
1487,1417
1459,1551
1413,1449
1459,1551
1413,1417
1558,1580
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
1612,1637
1654,687
1658,2164
1479,1449
1455,1483
1479,1363
1367,1784
1838,769
1413,1449
1455,1483
1487,1417
1463,1560
1564,1417
1578,1580
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
1612,1637
1654,687
1658,2164
1479,1449
1455,1483
1479,1363
1367,1784
1838,769
1838,1784
1838,769
1413,1449
1455,1483
1487,1417
1459,1551
1413,1417
1558,1580
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
1612,1637
1479,1449
1455,1483
1413,1449
1455,1483
1487,1417
1459,1551
1479,1417
1558,1580
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
1612,1637
1654,687
1658,2164
1479,1449
1455,1483
1479,1363
1367,1784
1838,769
771,716
1413,1449
1455,1483
1487,1417
1548,1580
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
775,724
1603,1664
1479,1449
1455,1483
1479,1363
1413,1449
1455,1483
1487,1417
1548,1580
1471,1592
1603,1664
1479,1449
1455,1483
1479,1363
1367,1784
1838,769
1838,1784
1838,769
771,716
1838,1784
1838,769
1413,1449
1455,1483
1487,1417
1459,1551
1413,1417
1558,1580
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
1612,1637
1479,1449
1455,1483
1413,1449
1455,1483
1487,1417
1548,1580
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
775,724
1603,1664
1479,1449
1455,1483
1413,1449
1455,1483
1487,1417
1459,1551
1479,1417
1558,1580
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
1612,1637
1654,687
1658,2164
1479,1449
1455,1483
1479,1363
1367,1784
1841,769
1841,1784
1841,769
771,716
1841,1784
1841,769
1413,1449
1455,1483
1487,1417
1459,1551
1413,1417
1558,1580
1467,1587
1590,1417
1471,1592
1413,1449
1471,1592
1598,1417
1600,773
1612,1637
1479,1449
1455,1483
1413,1449
1455,1483
1487,1417
1548,1580
1467,1587
1413,1449
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
775,724
1603,1664
1479,1449
1455,1483
1413,1449
1455,1483
1487,1417
1459,1551
1479,1417
1558,1580
1467,1587
1590,1417
1471,1592
1413,1449
1471,1592
1598,1417
1600,773
1612,1637
1654,687
1658,2164
1479,1449
1455,1483
1479,1363
1367,1784
1838,769
1413,1449
1455,1483
1487,1417
1548,1580
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
1612,1637
1647,687
1479,1449
1455,1483
1479,1363
1367,1784
1838,769
1413,1449
1455,1483
1487,1417
1459,1551
1413,1417
1558,1580
1467,1587
1590,1417
1471,1592
1598,1417
1600,773
1612,1637
1647,687
1479,1449
1455,1483
1479,1363
1367,1784
1838,769
1413,1449
