Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js operator 33 9 28049
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js error 27 15 27960 =======> 0.999997854233
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js isValidStrict 45 7 27971 =======> 0.999999523163
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js evaluateByOperator 26 15 28035 =======> 0.999985098839
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js registerOperation 42 7 28052 =======> 0.215422734618
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js nan 46 17 28065 =======> 0.000791578670
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/add.js func 6 15 28095 =======> 0.999925494194
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/add.js nan 7 29 28104 =======> 0.999818503857
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/ampersand.js func 3 15 28121 =======> 0.997844934464
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/ampersand.js nan 4 23 28128 =======> 0.981235265732
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/divide.js func 6 15 28146 =======> 0.999950885773
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/divide.js nan 7 29 28155 =======> 0.999814689159
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/equal.js func 3 15 28176 =======> 0.996403217316
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/formula-function.js func 7 15 28195 =======> 0.999507069588
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/formula-function.js __formulaFunction 8 9 28199 =======> 0.999650597572
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/greater-than-or-equal.js func 3 15 28243 =======> 0.994762122631
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/greater-than.js func 3 15 28253 =======> 0.994862139225
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/less-than-or-equal.js func 3 15 28263 =======> 0.994817197323
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/less-than.js func 3 15 28273 =======> 0.994910776615
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/minus.js func 6 15 28289 =======> 0.999925494194
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/minus.js nan 7 29 28298 =======> 0.999868512154
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/multiply.js func 6 15 28321 =======> 0.999925255775
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/multiply.js nan 7 29 28330 =======> 0.999881625175
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/not-equal.js func 3 15 28347 =======> 0.995767712593
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/power.js func 6 15 28363 =======> 0.999893426895
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 511 12 29047
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js nan 75 6 28384 =======> 0.999825298786
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js trace 76 21 28455 =======> 0.000000000084
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/grammar-parser/grammar-parser.js anonymous 81 15 28512 =======> 0.998464107513
