Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js listeners 190 27 937
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/constants.js nan 11 8 800 =======> 0.519005715847
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 24 13 838 =======> 0.328777462244
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 32 12 842 =======> 0.898848593235
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 39 10 845 =======> 0.105267427862
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 66 13 859 =======> 0.165924012661
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 77 10 873 =======> 0.354965299368
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 84 12 876 =======> 0.230738371611
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 91 14 879 =======> 0.246889844537
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 115 13 891 =======> 0.073987200856
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 125 11 901 =======> 0.336780875921
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 132 13 904 =======> 0.499427318573
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 154 13 914 =======> 0.135970652103
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 163 10 922 =======> 0.646850645542
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 189 18 930 =======> 0.945299208164
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onMessage 203 16 946 =======> 0.076853357255
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onClose 212 16 959 =======> 0.018959464505
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onError 223 16 969 =======> 0.022841125727
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onOpen 233 16 976 =======> 0.047715023160
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 260 21 990 =======> 0.150195568800
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js callListener 286 0 1002 =======> 0.250535428524
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js MessageEvent 204 22 951
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/constants.js nan 11 8 800 =======> 0.005976934917
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 24 13 838 =======> 0.996155321598
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 32 12 842 =======> 0.761435747147
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 39 10 845 =======> 0.764252543449
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 66 13 859 =======> 0.995071530342
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 77 10 873 =======> 0.725156188011
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 84 12 876 =======> 0.818655729294
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 91 14 879 =======> 0.812069237232
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 115 13 891 =======> 0.991160988808
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 125 11 901 =======> 0.721266627312
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 132 13 904 =======> 0.574944436550
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 154 13 914 =======> 0.994216442108
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 163 10 922 =======> 0.434942752123
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 189 18 930 =======> 0.018850659952
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onMessage 203 16 946 =======> 0.000259035238
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onClose 212 16 959 =======> 0.000127506763
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onError 223 16 969 =======> 0.000156792667
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onOpen 233 16 976 =======> 0.000192868058
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 260 21 990 =======> 0.000338998041
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js callListener 286 0 1002 =======> 0.000380319543
Total edge above 0.9 ===>  0


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js callListener 209 8 956
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/constants.js nan 11 8 800 =======> 0.117972113192
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 24 13 838 =======> 0.012401835993
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 32 12 842 =======> 0.228330776095
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 39 10 845 =======> 0.006927571259
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 66 13 859 =======> 0.005604455713
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 77 10 873 =======> 0.020629735664
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 84 12 876 =======> 0.012723540887
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 91 14 879 =======> 0.013763832860
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 115 13 891 =======> 0.002801722148
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 125 11 901 =======> 0.020014446229
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 132 13 904 =======> 0.034185126424
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 154 13 914 =======> 0.004911405500
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 163 10 922 =======> 0.061911325902
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 189 18 930 =======> 0.773450791836
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onMessage 203 16 946 =======> 0.516447365284
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onClose 212 16 959 =======> 0.228334009647
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onError 223 16 969 =======> 0.248285338283
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js onOpen 233 16 976 =======> 0.386644303799
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 260 21 990 =======> 0.689836621284
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js callListener 286 0 1002 =======> 0.921018302441
Total edge above 0.9 ===>  1


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js CloseEvent 213 22 962
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/constants.js nan 11 8 800 =======> 0.023490490392
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 24 13 838 =======> 0.998101532459
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 32 12 842 =======> 0.883261919022
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/ws/lib/event-target.js nan 39 10 845 =======> 0.921406388283
