Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js operator 33 9 28049
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js error 27 15 27960 =======> 0.000021002095
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/error.js isValidStrict 45 7 27971 =======> 0.000031468313
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js evaluateByOperator 26 15 28035 =======> 0.642932951450
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js registerOperation 42 7 28052 =======> 0.983591437340
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/evaluate-by-operator.js nan 46 17 28065 =======> 0.714341640472
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/add.js func 6 15 28095 =======> 0.019767167047
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/add.js nan 7 29 28104 =======> 0.748025000095
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/ampersand.js func 3 15 28121 =======> 0.015686595812
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/ampersand.js nan 4 23 28128 =======> 0.973437368870
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/divide.js func 6 15 28146 =======> 0.032349966466
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/divide.js nan 7 29 28155 =======> 0.759806692600
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/equal.js func 3 15 28176 =======> 0.001417194027
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/formula-function.js func 7 15 28195 =======> 0.573666274548
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/formula-function.js __formulaFunction 8 9 28199 =======> 0.994629859924
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/formula-parser/src/evaluate-by-operator/operator/greater-than-or-equal.js func 3 15 28243 =======> 0.001199463266
