src,dst
39903,41487
41066,40557
40448,40449
34476,35616
34389,35041
41506,39653
34917,33379
47918,47906
41406,41089
35806,35616
34111,33522
40967,41521
31682,31863
36891,37314
41151,39667
31890,31816
27007,27464
34450,34768
37286,37342
34391,33273
41054,41131
37202,36835
35133,34874
40148,39614
34688,34486
35004,34893
40920,40833
32031,31927
37163,37328
34112,34729
22966,22949
40028,40609
34101,34874
31843,32051
18249,4831
35133,33273
40331,39689
33376,34080
34727,35008
35075,34874
40310,41384
31838,31520
32035,31833
842,1
40382,40368
40312,40707
35659,34143
34514,34222
31755,31520
34225,34663
34419,35701
31726,32105
41224,39896
41174,39934
39894,41691
32010,32021
32087,31957
40956,40202
41266,41074
59434,60498
31735,31721
31843,31667
40333,41521
41028,39653
31619,31769
42046,42000
34722,35176
40407,41353
32612,32593
34704,34663
37379,37186
40906,39934
34452,35078
35202,33273
35267,35209
34516,35190
41433,41231
13043,29951
31654,31612
34436,33487
41166,40958
34114,34663
35108,36093
8595,8667
34440,33295
40865,41375
41066,41256
41266,39644
32062,31596
41557,39667
39917,41168
29301,29274
34683,33398
31890,32004
31760,32068
41382,41500
41127,39946
40554,39653
14926,4831
41569,40625
31615,31880
34514,36073
33377,35270
26072,26011
31653,31639
35216,35681
40380,39624
33485,33379
940,1
35035,35008
31697,32105
41506,41509
34442,35808
9768,9808
40314,41547
33389,34509
32167,32168
40382,41353
41698,40557
31796,32021
40724,41424
40805,39644
40362,41089
34469,33522
39943,39597
34224,33507
34454,34907
47938,47942
39943,40247
40956,40323
35184,35144
35407,35466
39927,39946
31913,32105
34780,34128
40568,39605
40423,41216
31776,32021
31854,31694
40906,40413
9866,9817
34113,34008
39916,39675
32055,31721
40148,41001
41008,40323
4020,3299
30981,30970
8152,5100
4008,4588
42009,42019
38311,38275
41494,41021
34100,35176
1730,1
35222,34008
50411,50416
35836,33295
40405,41256
29434,29262
41507,39624
7142,29951
34635,34938
35163,35641
39894,40301
39902,40609
31569,31612
34688,35228
34518,34222
15319,4831
39893,40576
35818,34776
40013,41074
