src,dst
1910,1747
21929,21916
11051,19270
33726,33622
1923,1747
19198,19137
33820,33632
19624,19420
21214,21180
19080,18990
31832,31677
15964,15894
10704,10645
29352,29387
8435,19270
19917,19862
31887,31530
18784,18890
17271,17314
5167,4902
3974,3906
22400,22351
18542,18586
4971,4991
11454,11129
3036,2553
20137,20072
12861,12802
18872,18890
6644,6454
29566,29276
19068,19248
20449,20385
19503,19322
21730,21674
11811,11562
16170,15983
6441,6232
33709,33710
11795,11562
5143,4916
22169,22129
131,132
11752,11562
32431,32432
11170,11129
4169,4057
19185,19137
9271,9334
2762,2610
19048,18990
19344,19352
13842,19270
20976,20711
5354,5396
1093,1098
18828,18890
21749,21674
33452,33453
546,547
12971,12875
5054,4902
19077,19248
15372,15405
33449,33450
17214,17314
10676,19270
29457,29953
20983,20711
18581,18606
21215,21191
12575,12471
18578,19306
8329,8201
14135,19270
19002,19248
3169,3093
30472,30402
12276,12136
30220,30196
19061,18990
19013,18990
32350,32351
17196,17314
33808,33730
21203,21191
4151,4057
33743,33534
20015,19990
24290,24150
8366,8201
4867,4798
3983,3906
31629,31511
31674,31559
9330,9334
4766,4701
17844,19270
33985,33986
31812,31535
16136,15983
34096,34073
331,316
2306,2325
19496,19322
