src,dst
11314,8329
4814,4795
383,62
5727,7515
1311,1328
6376,6292
2953,2903
620,24
11368,8358
11522,8425
7870,7749
6533,1154
714,62
7048,7009
8056,8062
11095,7641
10116,1313
10041,1084
9038,8856
421,24
11296,8312
11423,8379
6872,6627
557,62
2343,1292
9460,981
8642,900
9791,8780
6599,8321
9738,900
11304,8321
1129,1096
9978,1096
10018,1084
11231,11110
9014,8856
730,62
6588,8561
2702,2759
455,62
11290,8312
2830,2962
7239,6365
1257,1292
11242,7853
9250,8840
11351,8345
9285,8840
9518,8856
4020,3944
1197,1265
11396,8358
2301,2445
1268,6359
9426,900
359,62
10351,7433
11148,7907
365,24
10804,6371
7986,8195
227,62
8922,900
8026,8104
11235,11110
598,62
11452,8396
8687,900
9536,8856
3330,3797
7371,5922
9052,8840
9984,1121
8041,8104
533,62
6789,6742
4230,3921
498,62
182,24
280,72
9533,8856
11184,7766
8232,8210
10044,1154
736,24
210,62
6691,7009
9705,8840
11334,11325
1620,7433
8762,900
3913,3835
2808,2837
10315,1084
7006,8425
11113,7766
9915,1024
3898,3879
10298,1084
9832,8840
10007,1084
9686,8840
3029,3658
6982,7097
