src,dst
11468,15294
39399,38950
31645,32492
23177,23109
8731,14968
34579,34380
39148,39839
33473,33196
30803,40228
22970,22934
38815,38416
29570,40228
42809,42755
12152,15393
34034,33912
47733,47450
41363,41317
38386,39003
13208,13141
38940,37765
37631,37599
16605,16606
14222,10283
45131,45031
39565,38600
34973,40246
39005,37765
9790,10075
35275,35056
39435,38164
39056,38851
28238,40228
37937,37765
39561,38851
39509,38001
18184,18165
12505,14979
34658,34380
13472,8065
16333,16347
12703,8506
38239,38305
28419,40228
14285,14260
39651,39612
37437,37414
10560,10562
25747,25668
21115,21028
16571,16530
32454,32492
45155,45031
15648,15637
20540,20496
9454,9217
12401,15294
9208,15393
35242,35044
47647,40357
47703,47474
39068,37765
21804,21791
49085,48748
16756,16732
41034,41018
13276,13102
17473,16800
6452,6358
44271,43910
46028,40468
277,281
8113,13550
25562,25315
29137,40228
18953,18958
39600,39657
12405,12597
9247,9002
16815,16804
31269,40228
24938,24907
25728,25712
32543,40228
9643,15069
14334,14307
20779,20768
11095,11033
17050,16978
20846,20858
10400,10477
38870,38610
31006,40228
10118,10349
27518,26133
47494,47450
20560,17704
5526,5390
22653,39993
44397,43929
38540,38382
8289,11899
38980,38893
49899,49593
38267,37765
20859,20673
11500,15294
12942,12896
49554,49295
17149,17062
33306,33196
30760,40228
32827,32618
15360,15335
48111,40298
51499,51430
31242,40228
39678,37885
38981,37765
34554,34380
17054,17017
38105,38106
8744,14968
38944,38893
41760,40298
16481,16435
20093,20165
16569,16530
38092,38078
21001,20979
43991,43929
33827,39993
8167,13905
47521,40357
44578,44442
39419,38974
19031,15996
17932,17789
31188,40228
37901,37892
18955,18958
51744,51929
12889,12920
3253,3160
44385,43892
33275,33208
41347,41327
9818,10349
47771,40333
48295,48268
36994,40228
43221,43186
21852,39963
11572,11557
27845,38831
31371,40228
8744,14979
24677,39993
9341,10477
9450,9218
10992,10758
30659,40228
20983,20982
5615,5584
34056,33912
30592,40228
8575,8065
20036,20045
20249,20228
34631,34380
29602,40228
38261,37765
25065,39993
38519,38613
9958,9911
23512,23081
20849,20858
11173,12195
12820,15320
45307,45037
33479,33208
12918,12896
41335,41301
44692,44632
48852,48690
47672,47474
11683,14979
31518,40228
45085,45031
18357,17704
15670,15660
12627,12484
39149,38164
25551,25315
13301,13216
16396,16372
12799,12195
25730,25668
48547,40333
14156,14251
11474,11899
32192,40228
8436,15235
39077,38597
51143,51242
10045,9777
9086,15374
29270,40228
39189,37765
8003,7977
9214,15393
48808,48713
23646,23081
12047,12386
48172,48154
13882,14968
13656,15294
37739,37740
22182,39963
12542,12573
8219,8196
11766,15420
24784,39993
9439,9309
12465,12330
12479,8065
21421,21382
9622,15261
10020,8065
25142,25125
32195,40228
38661,38701
17054,17007
17191,17097
47657,47455
44231,43935
13585,13562
33671,33603
34662,34375
11616,12573
39308,38604
12697,15069
22343,22344
21004,21012
38964,37765
50611,50431
35223,35044
8214,13592
29168,40228
25096,39993
21125,21023
41383,41308
34115,33912
9080,15374
12570,12166
9878,15235
38799,38382
22995,22934
11683,14968
17124,16964
11437,11401
43980,43904
8201,8203
18800,18693
21473,17673
49103,48778
10048,9738
9568,8065
9257,9902
12066,14424
16337,16372
30795,40228
11871,10527
39617,39839
32869,32618
9984,9988
40693,40159
17188,16997
38942,37765
21101,21012
17876,17882
38064,38058
37089,40228
18019,17981
22859,22846
13309,15294
11992,12011
48689,48618
39081,38974
22622,39993
9928,9902
32883,32618
31236,40228
33500,33196
16337,16347
17583,17586
47890,47474
21005,21023
46941,46903
44746,39963
48417,48418
50062,50041
12506,12597
15648,15602
39011,39482
19524,19563
15269,15270
20997,20995
15289,15261
17188,17029
13301,13155
15265,10428
