src,dst
106151,95476
21028,9976
20215,9998
46414,41845
111007,108224
5561,5458
70894,67914
106022,107069
32356,30703
70836,67914
84458,74597
25894,9903
42140,48775
38942,34593
93688,94352
82430,78506
90880,86898
1603,1949
82600,78506
113180,95397
44779,41845
102694,99287
42478,30609
52376,52540
60019,59909
21726,9998
107677,107678
760,706
41368,30537
45806,30760
61949,62125
7144,5388
109960,95303
87229,74483
5910,5911
46473,30703
109946,109947
74379,74402
92332,74519
114532,95267
82939,78506
102879,99287
63612,60092
91659,74447
5554,5479
71564,67914
507,508
27015,9753
102921,99287
45897,30609
37921,34593
59937,58699
6055,6037
41457,30782
82487,78506
47684,30573
70933,67914
102551,99287
53419,53103
44208,44304
27377,20600
111424,105126
29085,29086
56432,57769
85705,85569
64132,64123
92164,92781
103379,99287
50564,30782
71392,67914
1620,2039
46265,39695
30133,30006
27249,28087
113419,113420
29932,29933
23195,9976
82439,78506
58523,58534
41614,30617
110537,110538
107475,95503
103318,99287
60860,58520
95627,95628
52759,52928
6275,8094
4689,2224
84341,84342
43048,30682
9168,9171
90447,93805
26350,9898
106143,95454
17621,13812
86658,86659
74479,74597
112627,106539
24809,9825
8314,8051
20412,9753
95899,95900
44947,44948
105888,95231
102408,99287
59985,59986
43075,50273
106942,95231
82234,78506
27682,9919
51350,51361
6743,6736
53358,53103
38858,34593
93172,74670
16983,13812
114515,114516
87255,87492
11177,11104
54490,53103
46553,30703
59286,58904
20159,9789
41654,41655
28862,9833
102612,99287
108285,95303
27408,28087
63770,62052
102574,99287
27470,28087
86677,74692
108794,110677
6575,5388
73357,73277
53364,53103
89003,91342
22441,22442
17985,13812
6098,6092
39178,34593
67168,66118
668,489
66893,58699
108312,108313
76193,75414
8974,6037
22194,29686
5828,5754
4122,2224
62974,61459
10501,418
98897,99218
81916,78506
57658,57852
45280,45281
114534,95303
51929,51742
96603,96215
113438,95476
89523,74483
46422,46406
4324,2224
109987,95454
89611,89612
17741,13812
96590,96575
84801,74447
46398,40975
38016,34593
76029,74613
87776,87771
60167,63526
62683,61459
43615,43616
60517,58699
29094,9976
73440,73256
66352,67651
57052,57140
88878,85331
56311,56862
45980,45981
40545,30537
50592,50593
43864,43859
21638,9833
105662,95223
41483,30617
82530,78506
9191,190
37845,34593
4204,2224
52755,52777
113502,95267
48866,48867
66858,59365
53222,53103
105611,95476
21842,21634
93161,93162
37918,34593
54517,53103
27636,9789
103180,99287
52927,52843
71559,67914
43925,41845
47849,41479
16916,13812
107484,95503
106895,95231
85129,85020
110548,95303
4591,2224
87320,74527
37700,34593
54253,53103
67061,67567
59051,58720
17485,13812
22725,9825
30559,30529
86325,86326
11215,11100
64293,60043
10750,10720
43907,30609
107195,95454
82732,78506
65273,66114
38136,34593
13426,13743
31669,30703
84754,94037
65873,58699
96011,95662
5862,5754
106942,95223
75112,75058
107165,95311
4803,2224
81731,78506
73308,72922
110607,110608
54257,53103
37751,34593
61877,61878
57133,57832
45075,41419
60832,60813
108106,95303
21917,21918
83102,78506
88984,85757
48806,50236
84319,74597
107639,107155
84829,74692
5018,2224
42432,42433
67144,58249
64621,64631
60246,63496
34222,30809
52684,52689
109992,95267
46876,47907
17043,13812
4253,2224
50595,50596
29497,21063
41537,30782
57075,57082
20631,20632
111571,106254
667,1090
84881,74597
46282,41845
57192,57747
33252,30703
103054,99287
86353,74670
76080,75774
107230,107231
1720,1962
85613,94154
8974,6188
115159,115116
60373,60070
106070,106071
84842,84843
71376,67914
54261,53103
88834,90630
65478,66037
62980,59834
106395,114936
20640,9976
95253,95223
10754,10755
49494,48869
71858,67914
41601,41602
46438,41845
45643,30782
45545,30687
42939,50534
5643,5433
112328,95503
441,250
41235,30687
65781,58402
19647,19648
48807,30646
67657,67658
66665,58651
42523,30609
43930,41845
41829,30760
13428,13743
60724,58699
42705,30760
108037,108274
41815,30609
5275,5291
40930,40931
28417,9789
75801,75774
7493,5912
109693,115197
71483,67914
26795,26796
7750,7366
55717,31290
4090,2224
1277,1148
6881,5388
20869,20870
8769,7366
30108,10016
89013,89895
103038,99287
29677,29654
4563,2224
85377,74719
61778,61772
85585,74519
73679,73607
11368,11090
66065,66118
90218,84887
7603,8051
82558,78506
105812,95454
108102,95311
102836,99287
87187,74439
25925,9789
86158,94406
1953,1934
30608,30598
28267,10025
19657,9833
65172,66114
90982,74719
114973,106539
74605,74664
29777,9976
4216,2224
926,489
71686,67914
21673,21674
22561,22798
30815,30821
1292,1958
88416,88364
89945,94185
108233,95454
8189,8303
408,10509
58541,58147
39065,34593
37708,34593
54468,53103
42248,30529
54482,53103
56611,57852
71358,67914
110558,110559
105773,95311
105069,105070
64389,67304
6548,5388
90396,90397
17933,13812
23121,9833
47472,41382
112755,107680
52783,52746
88028,89895
85159,85160
106823,106539
7491,5971
63275,63067
109438,95397
102802,99287
112051,112039
74545,74713
112957,106539
73543,73285
105240,95376
27509,9898
26149,20600
105686,95267
43516,42986
83083,78506
22537,9825
55016,53103
6169,5429
84906,74519
51266,30809
91387,85294
4512,2224
5488,5429
