src,dst
18040,383
13052,575
4667,695
14862,1626
11123,1626
4320,1996
17294,383
7478,7288
3199,383
12706,383
16499,985
14837,1626
3120,837
12040,470
9010,1996
12225,575
15405,15284
12026,1996
14136,2731
5515,837
11114,11017
13101,383
3193,1626
16068,2731
2051,2022
8941,383
15822,383
845,802
14952,837
7169,675
17425,2731
6148,675
11900,383
13533,470
3565,985
11235,1626
15767,383
6006,2026
3745,242
12722,383
14747,383
16827,2799
12476,383
4326,383
3093,837
16725,718
8475,383
15518,718
7894,985
18452,2773
4981,675
12067,383
16581,1626
18977,1626
12885,2199
11092,985
15103,985
12609,2425
15518,470
9157,985
14963,837
4090,994
4495,675
3398,604
6095,383
1364,1479
3834,985
16594,1626
9356,651
12639,575
5596,1948
9432,470
15415,15284
4840,985
17417,1626
5794,1996
13986,837
9147,383
16660,2799
6805,1654
3853,383
11418,985
10802,873
16980,985
16744,2731
11229,11199
7556,470
16160,985
4889,383
5768,470
511,383
8087,675
18410,2731
13142,837
15442,2731
17385,718
14078,2199
75,837
16281,383
18273,837
11348,985
18322,837
12651,575
16078,383
8087,604
13825,575
15652,985
6383,465
16616,2731
195,470
8148,2731
18576,837
15188,985
8627,383
7387,985
8631,1996
4964,837
12076,383
3371,242
9726,985
13147,1996
9595,651
8846,383
8018,7785
75,837
10024,985
11131,383
16693,2799
15127,383
18998,985
10462,383
3150,985
18052,383
9338,383
12817,2451
18469,985
11189,695
12428,2199
3297,327
4327,2079
17952,695
11940,383
3546,985
4495,2079
11743,383
15799,985
5549,383
1411,1230
11706,547
5258,383
3218,591
19272,470
17859,985
16646,2799
17558,985
16710,2799
5274,470
13253,837
5457,604
1414,2071
11639,383
15543,2778
12113,837
15852,837
14448,14420
14054,383
1080,1011
5885,383
988,1333
16373,2888
12918,2451
14657,2731
12876,2451
6353,865
17569,718
8827,675
13135,837
5594,383
4521,985
11558,985
4143,695
16673,383
11080,985
3783,1626
2615,2568
17466,2785
8605,604
13226,837
14757,985
7841,985
1408,1875
17331,718
1327,1278
12457,291
17348,837
9346,470
17866,1626
6064,523
13523,470
15782,383
14775,985
18776,985
17718,843
5815,383
7909,675
10776,10672
95,530
13195,470
11928,675
11613,11461
13668,13413
16921,2799
8239,1923
10537,1484
5016,383
1685,905
10809,837
13405,2444
13772,383
13942,837
10454,985
18534,985
17393,985
4501,985
16224,383
13393,2444
13226,837
17506,718
3515,985
3121,985
7545,985
16627,383
2032,2011
11705,383
17453,1626
14550,985
10034,695
13655,837
13398,383
9150,651
9763,1979
15099,383
9110,695
16134,985
17066,837
8467,2816
17991,383
5688,383
9178,985
18010,1626
10104,985
9784,383
14450,985
18818,837
6325,895
8243,1996
9785,1984
5389,383
12934,2731
15161,985
19085,383
16259,985
18857,985
14176,2654
6820,1654
13275,837
1376,1979
17933,843
16120,2731
14247,2654
13788,383
8429,383
16095,985
16708,718
12896,2731
15021,837
9384,985
17318,2799
6741,383
16556,718
16107,2768
12737,631
17136,837
17021,1626
8440,837
1135,2168
18738,985
13144,470
4865,4773
3528,575
17549,718
16656,383
15663,2731
15642,15284
17730,843
11400,1626
18273,695
14647,2731
15711,2778
6307,383
741,917
10966,10919
17731,985
9665,695
8508,718
11984,675
11148,985
7401,383
3340,383
15605,2731
16572,383
4277,1996
17466,2731
16118,718
15866,383
13724,383
18137,895
13271,383
17161,2731
10789,985
19291,1905
4415,2079
15460,718
17318,2731
12377,470
11651,1996
14808,1626
16092,718
15139,985
132,837
4756,1948
18818,675
16675,718
8327,383
17441,2731
13135,837
14360,523
3694,985
15540,2731
13676,873
8791,675
3929,695
8692,1996
14695,14681
16725,718
14267,2654
11720,11659
16827,2768
8130,575
12653,575
3167,591
11333,881
12148,383
15018,383
9001,1996
12090,1957
8989,2060
15927,383
16824,718
7834,383
5004,383
14765,14743
12355,1626
13142,837
10190,695
14779,1626
18124,895
8367,1996
13200,514
13555,470
10269,10238
17178,985
4696,1936
17584,383
13105,470
13294,837
18869,985
5038,695
11932,985
5308,695
10203,985
11379,11359
10010,383
17693,843
3349,242
10845,985
4681,695
2636,2552
7355,383
500,591
15519,2731
10809,470
12736,383
4428,2026
15497,718
13226,837
8197,383
18149,383
4113,604
7361,985
4398,383
13665,837
3857,470
13657,13413
15685,15284
14621,2804
14514,985
7650,985
7761,675
10080,985
7375,985
17470,985
8777,470
6170,675
16943,383
9348,985
4160,383
17718,675
3343,675
4016,985
17174,383
16948,985
2055,2152
11381,985
17004,383
3879,300
12282,12274
11515,11461
11138,695
19026,1626
13135,523
