src,dst
16983,16954
19730,19502
7454,7412
19852,19502
10106,10072
12184,21533
607,565
1226,379
1007,379
11457,21217
2592,2662
7016,6947
5714,3338
22052,21884
6756,6703
17056,17045
503,706
18414,18292
19679,19502
7022,21306
5827,5677
7649,2243
4386,4284
9618,9596
10055,9950
6241,6255
7345,7271
1799,379
6376,6318
11190,11198
6700,6662
18580,18554
6921,6845
18622,18554
8428,3264
19727,19502
8141,8092
3636,3451
16978,16954
21613,21509
11405,21128
16105,15605
9051,8950
7375,7342
1348,379
8810,3338
2888,2411
21406,21326
7222,3338
21139,21106
11527,21188
6449,6411
13929,13877
4080,2382
4343,22047
8096,21734
16973,16954
8553,8452
20203,19502
2614,22110
623,565
5931,6237
5091,5011
18600,18554
1342,1334
5302,3338
1275,379
14941,14736
17008,16958
3517,3338
2508,2512
5999,6232
6392,5884
9977,22047
1132,379
8261,3264
1379,379
5857,5689
11539,21188
11486,21217
