src,dst
10782,10503
1541,1620
10905,10478
2718,2789
12041,11228
14420,14692
2619,2648
1124,1283
11865,11259
13335,13355
10972,10503
11813,12252
3309,8455
11788,12250
14296,14268
14152,14196
897,935
12160,11259
5872,6286
1140,1195
10936,10478
12146,11253
10901,10503
480,347
11911,11573
10920,10490
10634,10478
2708,2886
306,295
2653,2789
3094,3039
13309,13355
2041,230
1427,1736
3061,3314
1741,427
13159,13355
10896,10478
11699,11464
673,586
10821,10478
1977,1952
10720,10503
223,2208
12269,11479
11532,11394
10798,10478
10975,10503
12410,11222
239,2789
10855,10490
1586,998
1462,1627
13085,13355
6320,12401
1630,995
1325,437
905,998
1951,2886
10800,10490
10600,10490
2746,2789
13186,13355
2090,230
14588,14692
9774,9594
737,752
1269,399
11536,12211
12098,11253
1357,1026
1433,1627
11918,12084
8434,8428
866,867
12284,11228
10770,10478
10665,10478
6636,12401
2588,2674
13073,13306
10830,10490
12370,11244
5305,5275
5331,5275
11921,12169
1501,437
12002,11984
5877,5883
433,360
14552,14692
12035,11272
11707,11323
726,824
875,824
12119,11507
11924,11292
1429,1724
11268,11253
1121,347
10849,10478
645,824
493,360
10618,10478
