src,dst
44801,44452
2478,2480
44615,44482
35970,17875
35568,17875
40650,17875
1266,3921
45162,44482
6777,8522
28439,17875
31655,17875
6768,8541
36711,17875
9367,17875
2762,2561
17338,17875
46677,17875
33900,17875
38884,17875
25840,17875
26218,17875
34820,17875
45605,17875
14539,17875
49771,8522
46837,17875
21487,17875
26180,17875
27700,17875
39054,17875
9681,17875
6395,6483
9071,17875
45219,17875
22675,17875
38424,17875
20529,17875
31146,17875
45335,17875
46949,17875
46416,17875
44827,17875
49903,8541
34258,17875
44364,17875
35012,17875
10303,17875
46570,17875
8328,8356
32166,17875
42106,17875
43400,17875
30288,17875
49990,8606
49776,8541
31258,17875
8944,17875
1772,1619
32954,17875
45002,44452
10344,17875
45740,17875
44777,44496
3790,3861
46595,17875
2097,1619
12630,17875
49958,8606
6181,2730
45000,44452
4332,4270
32639,17875
44643,44452
40877,17875
44318,17875
10838,17875
41763,17875
27628,17875
27463,17875
20294,20535
36225,17875
44807,44452
12507,17854
35350,17875
44945,17875
31345,31342
35080,17875
14177,14173
28277,17875
45237,44482
1316,2028
45483,17875
1395,2257
33935,17875
30568,17875
47058,17875
22473,17875
31989,17875
34299,17875
36237,17875
22465,17875
33711,17875
44610,44452
45081,44452
7341,3180
30898,17875
50032,8693
49835,8606
44557,44482
46445,17875
8717,8522
40094,17854
49914,8541
43610,17875
43120,17875
8037,8070
21424,17875
39797,17875
29951,17875
37238,17875
46728,17875
12065,17875
25512,17875
41128,17875
29387,17875
8055,4957
37346,17875
45049,44496
34205,17875
9511,17875
20085,20535
30200,17875
42794,17875
37790,17875
44585,44452
44639,44452
34615,17875
44499,44452
43712,17875
44881,44452
39336,17875
8334,8356
28366,17875
40573,17875
22634,17875
6510,6536
21944,17875
22445,17875
28409,17875
2044,1619
39307,17875
49917,8606
32629,31339
13051,17875
44923,44452
44969,44489
25328,17875
36359,17875
39713,17875
44492,44452
3834,2668
21142,17854
1486,2668
8111,1924
32034,17875
9501,17875
31640,31339
11730,17875
49941,8541
27412,17875
12636,17875
40629,17875
14572,17854
34885,17875
45707,17875
22202,17875
44789,17875
1469,1490
50011,8522
45190,44452
46113,17875
46687,17875
