src,dst
53904,150662
10409,10411
149135,49278
73634,73491
122968,150662
34310,34271
80544,150724
67557,65745
125106,150662
80822,150724
81637,150724
23473,23340
73648,73491
147654,47925
68725,65745
127980,150662
35316,46813
32110,32112
127842,150724
21499,47735
29207,28723
34153,48002
63161,63107
147464,47642
110443,150724
19212,19591
70551,11547
149852,49911
2711,2842
148994,49278
13117,48002
67837,65745
66476,65745
72427,72289
110472,150724
50879,50880
11180,11525
44582,3713
53493,150662
16117,16031
47719,48305
16954,16774
17738,17746
150983,150882
20657,39342
10005,49911
15276,15248
125350,150662
37723,48002
41193,46598
27633,27642
52093,52043
29204,29250
32819,32836
10186,9770
146610,46505
45981,48002
73823,73491
112004,112033
74974,150724
30173,50073
68611,65745
148025,48159
72421,72289
70834,71026
148484,49037
72361,72289
148815,49278
74399,73491
67276,65745
41199,46637
68076,65745
103662,150724
148035,48144
146485,46505
88599,150724
66503,65745
73816,73491
34249,34320
10088,49911
40936,40886
72475,72289
151087,150858
67913,65745
10193,10420
73084,73009
62070,62061
12914,13435
151118,150941
42216,48259
127232,150724
74018,73491
150048,49794
88541,150724
126708,150662
148345,48253
69000,65745
73087,73009
1944,1991
73195,73009
68129,65753
1678,1736
49424,48253
66439,65745
12899,13445
148264,48359
9583,9491
123815,150662
67803,65745
33887,34046
1494,1645
36154,36131
111642,111693
22203,39398
127178,150662
12858,13435
8587,48002
35559,46757
73711,73491
33962,33987
149123,49278
149139,49278
1601,1645
16373,49911
26434,26381
68998,65745
149075,49278
63610,63550
148873,49278
149212,49278
68533,65745
148791,49497
126909,150724
78371,150724
125459,150724
2162,2246
73974,73491
41055,46516
66873,65745
147768,47944
27541,48002
148813,49278
20145,48002
10325,9686
72493,72289
150739,150724
40897,48296
110383,150724
11585,48002
128071,150724
73637,73491
34208,48460
53231,150662
1617,1645
74670,74613
27445,27458
73563,73491
49948,49942
76155,150724
68904,65745
84463,150724
11421,11525
81740,150662
124424,150662
127963,150662
24573,48002
10020,48400
50780,50731
17501,48426
46292,46406
53218,150662
149639,49611
51807,2613
10883,46781
88996,150662
126851,150662
148968,49278
68510,65745
53220,150662
123605,150662
1181,1218
10246,9491
41469,41437
34131,47642
146270,46516
17131,17006
26040,25986
50608,50491
37592,48002
46271,46406
145770,46532
74650,74613
18453,48315
67619,150662
73814,73491
127642,150724
50037,49097
126480,150662
68149,65753
9869,9679
33766,46757
15404,15368
75477,150724
10372,10420
85015,150724
68345,65745
72335,72289
71674,71512
79289,150724
41059,41061
68131,65753
89421,150724
108948,150662
35571,46757
2207,2250
74497,74410
