src,dst
10718,10701
10053,9743
13177,12765
7296,4665
26605,26582
27619,27095
7902,7823
7546,4805
8323,4554
28449,28094
28662,28642
5899,5687
3007,2821
8730,8710
13140,12765
4709,4665
11116,11056
5808,5773
8211,4647
5203,5048
4532,4507
5395,5101
29832,29860
7532,4805
29472,29087
10715,10701
4901,4805
27541,27517
30406,30352
10470,10463
5447,5448
4541,4511
7544,5034
9753,9580
4542,4783
7186,4503
4546,4520
28321,28409
29407,29087
27416,26967
11216,10977
11251,10977
835,702
7277,7183
6131,5919
26600,26582
5656,5645
4618,4588
1497,1482
2545,2312
28432,28069
30436,30514
27420,26967
8460,4554
7741,4729
4447,4422
27987,27983
27414,26967
4432,4381
13096,12765
931,1184
452,435
29083,29084
4587,4575
6068,5681
27819,27647
29705,29668
28822,28839
4539,4665
9672,9580
7717,4729
11687,11384
13189,12765
753,850
27828,27822
6373,5901
5413,5392
28303,28459
7358,4757
6063,5670
10396,10465
11245,10977
10561,10583
5268,5230
6160,5901
29940,29860
736,1184
13191,12765
5212,5048
8656,5034
29976,29950
8193,5034
4691,4503
6886,6852
8720,8716
8420,5101
29487,29087
872,863
7285,4647
5663,5640
5388,5147
4625,4565
6502,5670
8574,4554
10807,10819
27824,27779
8218,4647
8672,8598
7871,4892
