src,dst
31560,18187
1107,343
24386,18657
65317,65199
43778,43764
60797,60831
43757,43610
17204,17187
5018,4484
43854,43841
38295,38316
27369,18187
4154,18187
35515,35484
1192,343
37249,37127
30659,18187
5467,5391
28226,28229
57738,57708
9999,9839
59087,59896
29719,29756
24979,18187
10318,10260
9421,9126
27224,27200
40812,40680
42637,42023
944,339
40751,40680
26384,18187
23625,23508
957,339
431,343
25283,25287
17226,16976
4054,18187
521,327
27611,27654
47805,47827
43695,43604
24968,18657
714,339
44949,44862
37475,37445
38190,38170
25042,25018
8302,8239
16501,15479
60076,57429
37398,37014
8510,8459
1119,343
58705,58696
31259,31262
26911,18187
60221,60154
752,321
45868,45741
645,343
44776,44862
26023,18657
61299,61244
60020,59971
43866,43604
24518,18657
43686,43579
15869,15830
923,343
64150,64031
63672,63584
28256,28235
27846,18657
11345,18657
34498,34463
15996,15479
9729,9692
59097,59896
700,343
8246,7944
29474,18187
44856,44862
59217,59896
16152,16133
45786,45722
68256,68853
43828,43604
7557,7267
10185,10121
4150,18187
27044,18187
65135,65148
1111,343
44848,44837
44913,44846
6078,6041
58779,58768
60602,60511
4068,18187
58268,56833
57341,57320
34978,34950
57088,56971
34002,33944
34756,34486
56993,56833
59862,58830
6300,5859
32176,32186
33125,33135
4981,4525
31770,18187
58321,58307
27506,18657
18618,18462
24300,18657
34508,34365
10395,10171
59950,59726
4112,18657
11955,12374
22081,22006
28803,18657
686,339
34825,34807
43831,43610
11968,12374
59630,59290
59806,58830
31875,18187
27405,27423
59886,58830
5673,5578
68082,68853
34933,34909
60237,60206
1262,343
45771,45735
43589,43604
29959,18657
32449,18187
6190,6106
58254,58126
2865,2807
58562,58477
5670,5537
45913,45735
1320,327
40894,40680
10011,9968
34760,34750
5527,5505
63630,63584
45765,45741
44900,44862
22060,21919
11962,12378
8788,8707
16841,16833
9085,8925
6392,6177
15709,15518
6845,6778
43676,43604
38199,38153
9270,9185
29889,29907
30067,18187
43794,43596
66705,66767
61466,61375
10276,9621
6972,6876
981,327
16041,16531
31289,31268
30529,18187
47829,47848
739,327
847,343
67261,67244
5411,5135
35537,35474
35547,35474
38405,38388
8514,8459
21185,21159
69721,69503
34533,34365
43756,43604
18185,18090
29167,18187
43731,43610
58162,58147
3090,3056
31984,32016
2093,2066
57946,57820
32559,32584
35181,35156
41609,41642
1606,1465
33081,18657
5632,5176
34770,34750
65913,65808
43807,43574
25833,25836
1089,343
793,339
16558,16563
21240,21171
59474,58996
48182,48014
949,327
655,343
43123,43134
66602,67858
879,339
603,343
5019,4886
29749,18187
63679,63584
19965,19782
43710,43604
29919,29904
58693,58404
2887,2828
34660,34634
66750,67901
617,343
42513,42224
27321,27306
60211,57693
6990,6701
34689,34671
31867,18187
58699,58690
30568,30586
672,343
57656,58455
34970,34950
57079,56971
57269,57100
32933,32965
59370,58996
4925,4829
34757,34365
45074,44862
4640,4574
3200,3341
10802,10571
45021,44862
31120,31099
1285,343
24386,18187
34046,33944
28572,18187
915,343
43696,43610
10251,10226
9738,9681
1444,1487
33261,33246
35073,35057
29377,18657
24976,18657
44920,44862
933,343
6923,6901
4384,4370
831,327
5346,5302
32360,18187
23946,18187
59626,59290
5510,5485
10908,18657
28892,18187
24518,18187
6295,6219
20695,21171
587,339
57039,56833
57595,57429
60021,59989
16575,16537
58628,58592
5291,5225
59649,59290
720,339
1011,327
59077,59896
58870,56833
4627,4581
34666,34634
4159,18187
4975,4825
68285,68879
18481,18309
44963,44868
23946,18657
26160,18187
917,343
59461,58996
45843,45725
25694,25682
58807,57251
59956,59726
30936,30912
7755,7389
62486,62310
45904,45735
68087,68853
7806,7267
57839,57251
22005,22110
43735,43604
43670,43610
44470,44417
16551,16578
1508,1457
26153,18187
35143,35123
57768,57757
57266,57100
10072,10026
6022,5982
25932,25950
35013,34983
24976,18187
32129,18657
37400,37127
19676,19557
32948,18187
34507,34486
841,343
18183,18065
7299,7342
44998,44862
69409,69326
59617,59290
11758,11685
59637,59290
10878,18657
7749,7451
29678,29663
18505,18309
58173,58165
57696,57683
39120,39060
1105,343
5348,5302
4943,4654
58337,58318
37483,37445
44953,44868
2783,2726
57714,57699
1340,327
28575,18187
60087,57429
