src,dst
11045,33
4043,33
12479,12429
9539,9460
4532,4470
4548,3307
4973,107
123,87
4712,33
12428,12424
2553,1365
5509,33
10395,33
5285,5198
315,174
9609,2953
48,1755
1761,480
11183,11152
2497,1801
11771,33
3640,862
287,174
1209,1140
2632,2641
9266,2953
11845,11698
2262,2201
4526,4470
61,33
10901,10868
5211,5198
12516,12429
2963,2705
2007,1984
2434,2414
7790,7735
4012,107
10559,10465
7013,33
8906,8690
1832,1801
7194,33
2756,2837
3807,3212
10727,10648
1948,1558
996,966
10190,107
2081,2780
257,825
252,825
381,347
5816,3376
11108,77
3636,3554
5274,5213
5306,33
5238,5206
10568,10465
4947,107
4921,107
7579,7551
2226,2968
5047,107
10721,10648
10539,10465
12519,12429
7666,7623
7438,7422
11902,11707
11822,33
6970,33
