src,dst
146,1037
7664,14662
2412,904
3285,709
11853,14662
3859,3825
5433,774
2516,2502
3088,1037
6562,904
553,709
7342,899
213,219
334,774
3530,709
2681,899
2427,709
5291,774
2975,709
7662,14659
9202,14713
3566,709
14654,14630
7825,14666
783,677
4779,899
14333,899
3405,1037
2706,709
189,194
3379,3332
5310,690
7705,14662
1081,1037
10734,14693
2854,888
6499,899
7565,14666
1352,709
3355,888
14235,14168
4502,899
2527,904
1230,1179
13679,3388
2449,2381
3131,3095
2735,1037
5427,881
3179,899
14353,899
2861,2765
12761,14704
1006,677
1331,754
6262,904
2167,1026
2130,885
7397,899
