src,dst
86832,85795
33499,32760
32380,24990
32820,32760
48972,48787
23657,23597
789,74218
55417,55310
145083,145084
27588,17481
71641,6794
63569,63623
6260,6194
44751,71945
185466,188084
18689,9804
19712,20257
149059,149003
76968,72394
129170,129108
7366,7232
58605,71945
921,74218
6167,6194
167975,166039
7240,17546
55381,55292
164732,164784
189968,190896
143637,143593
44235,44169
128705,128806
37346,52917
79588,24990
80958,46945
33351,32760
548,473
81709,25028
145330,145331
20330,20293
37317,37279
74631,74545
33090,32760
8918,8562
23266,64588
14224,14702
48022,16511
77859,76143
48337,75785
52278,52094
23778,23612
68020,74324
17129,72848
55419,55269
996,74324
120230,119980
110199,110039
42252,17502
58603,71945
2128,2114
23770,23597
146730,146731
11441,38388
61988,76864
148339,148327
146121,146143
27135,26968
189241,189249
33062,34335
77899,76143
185899,185813
31174,12657
24228,23653
76119,72070
24449,24926
73111,73073
71544,71565
27623,55575
74730,74431
192778,192731
62029,62088
69259,6814
12453,52459
45460,45200
11540,52858
9150,9298
92804,90100
197885,197869
4372,4347
63582,63704
150387,150417
9107,8562
38114,24990
54276,53993
44421,43466
111980,111544
189531,190896
64640,24990
197878,197869
8945,8890
773,75268
9951,72394
9025,8811
7724,9840
30995,12732
145433,145434
56480,56405
145312,145306
6727,52045
173503,173372
75341,75388
34759,34936
10879,38388
189149,190896
167751,167474
2216,2126
78408,56831
93071,90100
144579,144555
25358,25339
77776,76135
37565,45042
186576,186563
77897,76143
50304,50249
44507,44470
65642,25028
40836,40715
27443,27429
128000,127936
69395,22840
118453,118297
23424,23135
33266,32760
35310,76126
21127,187341
189410,189370
29119,69012
25870,71193
36003,17755
92906,89782
157703,157694
175870,175801
67539,67489
77804,76143
12490,12286
27776,29371
126385,70731
190984,188084
76121,25577
47806,45200
118936,118736
56987,25028
190554,187447
128074,128059
33206,32711
64278,64166
60296,45639
81988,81989
76121,25970
932,74282
82393,24894
126422,63174
67399,67080
36833,36748
76121,46636
17305,72856
24122,23503
22587,22503
12508,75247
7821,9840
14369,14893
35099,34637
119812,119701
85753,84934
17543,17518
150236,188062
82115,82027
163001,187595
52767,52789
37867,38388
28634,55497
80952,47633
67701,67538
33999,33760
24462,76304
8357,73672
58842,75247
116502,116340
44529,53133
15851,76304
190309,190896
66659,22840
33763,33757
35624,35439
139334,139361
119801,119767
58755,76932
38671,76126
92236,91933
47068,52917
10359,187341
42100,45200
17153,71243
47047,47147
31264,31107
28451,28430
80161,79768
92997,92260
14659,14644
71362,71218
71733,72394
61526,62059
79627,24990
50719,50249
16058,15553
144348,144310
9312,8562
47200,45200
19838,19677
151595,151509
65214,66009
186346,186343
10356,187341
179420,187471
33447,32760
24197,23653
129831,129894
121930,121566
32513,24990
64478,64427
37524,37433
24400,76304
7435,7341
50202,74310
9774,9628
76734,72455
27504,55545
39188,45200
5809,5774
174991,174961
50722,50270
13502,13405
143483,143439
10899,38388
130529,130544
35891,22840
6293,6240
10721,25970
33119,12785
71414,71357
35124,52837
173855,173732
77456,77394
164352,164353
18413,187341
997,75247
31032,30993
912,74324
988,74236
129822,129894
8524,72394
73185,73240
913,74218
66305,24990
8380,77281
18714,20175
55366,55269
76122,46235
45840,45756
67236,67080
192893,192845
12480,52837
33000,34322
36768,39445
10481,76143
30103,30002
3840,3862
43784,43655
63602,63474
19647,72394
126518,24693
722,74218
59505,24905
29428,55497
58828,75677
20629,24915
121716,121595
33857,33821
149188,187901
10159,72417
19864,20257
78450,22840
20032,19677
57457,57359
12848,76143
782,74218
36851,36799
51448,76143
57255,25028
62021,62049
180154,180169
45765,76126
64865,22840
9287,8562
998,74282
151579,151509
57395,57359
30118,30002
33313,32904
126543,24693
34934,35169
30102,30012
56761,24990
65525,65465
30603,19275
60764,60714
121495,121479
56763,24990
67146,67019
29575,71998
67294,67080
51084,51021
756,847
52899,52398
70106,69908
15651,76304
49752,24990
33301,32760
8655,8562
43914,43622
54501,53552
