src,dst
2032,1816
6308,1691
7073,7071
5992,1181
2731,3284
4570,1720
7848,7834
9035,8970
5266,1523
7480,1864
2836,3108
6940,3513
6809,3914
7677,7660
7140,2248
2780,2762
3428,1181
3070,3042
7123,2140
8281,8257
6737,1181
6029,6001
3476,1002
6278,1691
2828,3086
7145,3671
1492,1481
4534,3513
2528,2586
7852,7809
7803,1181
3425,1072
4658,4448
5912,3513
630,1720
4867,1117
3786,3592
801,1720
4105,1181
6843,3513
3481,1030
4071,1181
3003,2395
5504,1181
9045,8933
8857,8836
5689,1181
6675,3513
6742,1602
296,1181
6223,1691
494,1181
3535,1181
