src,dst
56600,56596
12546,11669
2492,2472
47335,47336
55534,55508
4912,4913
2528,2498
18160,18097
13515,13473
14192,14124
58434,58437
57964,57987
11926,11651
8336,8281
10099,10112
54413,87
55024,348
15985,15629
45665,45617
14045,13963
15445,15255
19689,19320
15284,15647
2643,2579
1288,93
48747,48542
1209,521
14418,14377
5804,6048
12189,11651
5244,5222
17597,17585
16525,16231
47593,50493
9818,9655
5798,5800
19027,18892
5399,5431
18891,18506
6358,2833
2143,2000
1307,685
3492,3258
59432,59404
1022,182
47238,46303
15946,15629
61645,63602
4599,4508
19595,19352
53843,87
13987,13983
59912,93
17369,16538
11068,10985
48634,46273
18134,18111
16731,6811
12588,11884
58400,58525
15896,15629
46587,51708
54449,571
55161,54729
13141,13196
56562,56556
54210,423
11647,11363
9299,9120
44960,44961
3659,3282
6808,6800
4421,4422
52932,46325
17297,17235
3490,3343
53747,54616
18981,18930
46169,46142
10583,10185
5860,5861
53918,568
60819,571
49317,49383
3696,2288
61142,61206
18339,16541
49310,49383
9368,9106
48689,48599
18987,18613
9531,9519
9452,9461
53264,54588
8813,2288
13570,13110
5772,5283
18159,18116
48714,48580
2733,3333
11054,11057
5535,5800
10496,10182
46787,50522
8865,8081
54582,93
4599,4549
61467,63348
10889,10182
1211,568
13987,13919
879,87
58122,58107
61191,61077
53876,57221
945,423
60963,487
6352,2476
17335,16541
1349,57347
16428,16265
59313,571
1313,685
47888,50505
12958,13001
51357,46325
1097,57158
16154,16145
11834,9988
1177,568
45516,45418
2254,2256
62719,63441
19012,18747
9455,9461
16170,16145
12458,11859
12237,12215
57020,57522
61928,63284
10599,9517
2892,2756
18246,18189
2988,2966
11614,11619
8398,8242
60470,60440
45118,51605
58970,87
16348,16265
53952,555
11558,9610
54368,93
2591,2553
3018,2780
19579,3420
49327,49356
44882,44892
56807,56763
6256,3343
11608,11610
57100,57522
13410,13325
1316,521
47214,47196
18154,18116
53839,53620
1184,571
8369,8242
17137,16541
51722,51942
2133,2008
5027,5014
3364,3366
56638,56614
5640,2468
9786,9829
15011,14729
6341,6394
9818,9517
19649,5489
9391,9244
7396,1569
5495,5475
18287,18247
10909,10182
60777,571
54368,87
11945,9986
59366,87
7626,7381
57151,57519
8939,8079
5722,5741
3634,3282
57921,57941
54231,423
63488,63005
12607,11884
8167,8172
50250,46278
44890,44909
8964,8929
13720,13706
59440,59413
19040,18591
62833,63072
48132,48432
45208,45036
8669,8076
58339,58326
9962,9506
45775,50533
44886,44909
54580,54616
17728,17594
1108,429
58940,182
54192,93
17001,16894
60810,93
57832,87
60892,568
1220,57158
16643,16580
59171,87
60241,60214
6010,5995
53695,57158
10105,9677
62952,63602
62306,63023
969,87
16529,16231
58399,58285
4472,4445
11280,11121
15380,15386
48639,46273
53459,53429
13549,13116
2716,2734
10320,9451
56762,56741
2847,2824
53082,51635
13608,13119
5776,5301
10370,10285
3604,3466
53374,423
9303,9244
9460,9446
13158,13104
59445,59413
3490,3258
54635,521
7588,7270
57341,57351
17945,17894
53897,568
5191,2324
19412,19527
58934,182
11845,10350
13592,13602
54939,54729
53907,685
53977,56871
11233,11235
15155,15120
6490,6491
11666,11651
16646,16588
5166,5167
1340,571
62175,63471
57900,58114
19505,19557
5952,5953
3019,2994
9440,9094
13518,13513
3014,2963
62307,63120
562,571
9759,9695
1513,1484
17254,16956
13584,13119
15152,15120
11265,11187
57893,57865
45509,45404
45503,45404
15925,15629
56418,56508
2323,2256
57899,57865
57609,568
18988,18591
60824,685
15448,14740
17284,17085
19418,19428
19467,19269
11181,11206
58546,58405
963,423
55047,327
2846,2780
18184,18120
11552,9610
16664,6811
10598,10182
12441,11884
47562,47581
55799,55786
14184,14157
56421,56542
54908,54729
12997,13008
6571,3258
14265,9414
19749,19255
921,423
17096,16538
16917,16541
56966,57457
15290,15642
61280,61206
16656,6811
57276,57396
4090,3983
54531,571
57363,57470
11233,11244
17953,17954
47435,50505
19659,19317
54924,54729
12325,10072
62285,63023
62955,63331
48612,51834
6949,6928
62837,63120
10829,10770
17089,16939
15472,15242
10128,9981
11265,11206
12646,12635
9382,9284
55215,54729
62431,63467
858,685
48882,51329
53500,423
60176,60119
9024,8990
13952,13937
9733,9450
15942,15629
52025,44797
18918,18889
53458,53429
5582,5143
7214,7204
17245,17242
1127,568
3684,3500
16989,16869
53903,54628
12963,12977
16264,16231
11158,11130
45484,45424
10888,10185
17388,17307
60117,60027
8496,8377
1085,429
61175,61193
49336,49356
16230,14269
54915,54729
6251,6198
11820,11824
44803,44920
62180,63441
54952,54729
61834,63471
19024,18511
9419,9094
48038,48423
51182,51739
1861,1484
8565,7025
46346,46347
10480,10182
55886,55988
10591,10556
856,57205
57967,58000
63342,63005
7139,7025
13552,13514
53226,57369
53493,423
53982,53787
56900,57519
56504,56404
15384,15386
14722,14699
58384,58391
11258,11097
13656,13635
885,685
16997,16871
19590,19540
5632,5151
14414,14377
5177,5066
58788,58768
45494,45424
62324,63023
6578,6342
12508,12459
55207,54729
7163,7149
61110,56782
48197,48425
3115,2428
