src,dst
45300,30609
1322,1148
30699,30821
109520,105126
38829,34593
107255,95476
45344,30760
43910,30782
82794,78506
107718,95476
110567,95267
86043,85757
18044,13812
8267,5399
60187,62236
105239,95231
19184,22204
4585,2224
112328,95503
48416,30617
22469,9976
83630,74670
62770,59834
54261,53103
58221,58249
88954,74670
103419,99287
108597,95311
93923,93805
40969,30687
45608,30760
81861,78506
17493,13812
63750,58189
67768,67793
53933,53103
4977,2224
71846,67914
21290,21063
19463,19464
27470,28087
16921,13812
60089,60070
47009,30809
8321,6073
45806,30760
1464,1465
11115,11100
30388,30393
108254,95503
107945,95454
92864,74692
56984,57747
91624,74592
46452,30809
11757,10025
18867,10098
76096,75802
105594,105595
18018,13812
74380,74402
18414,13812
85670,74670
45960,30537
82949,78506
106704,95397
90108,85294
57847,57852
102875,99287
92664,94154
60696,60622
43978,30617
1849,2024
113223,95454
41195,30687
111009,106539
112943,106113
71034,67914
53967,53103
40811,50195
93487,74597
48515,48516
4717,2224
60758,67633
17501,13812
6569,9032
38483,34593
103026,99287
114337,95454
59634,59635
106181,95303
75982,75774
17551,13812
43615,43616
45088,41382
30697,30847
45428,30617
104513,107680
108784,110677
85441,74670
21283,20600
58525,58545
1776,1148
22836,22837
60755,58679
23847,9833
25894,9898
38566,34593
94802,74703
408,418
50971,50972
62358,58699
11077,9919
28867,9825
41813,30573
84935,84936
62530,58699
102679,99287
30500,30403
63884,60043
103394,99287
64961,58610
86725,94406
28004,9833
17448,13812
87234,74692
48830,30703
26163,20600
17292,13812
1981,2009
54964,53103
54219,53103
11193,11108
108285,95303
84850,74670
38624,34593
23491,9903
37956,34593
19155,19466
760,706
38563,34593
47926,30617
22426,9753
43021,30609
32071,31865
105100,95223
81963,78506
109198,109146
60273,58189
38607,34593
113890,95454
93160,74692
86917,74527
55918,55919
57963,57964
24292,22748
82487,78506
114378,105627
23024,23025
58478,58597
103013,99287
75809,75794
66146,60214
70927,67914
20631,20632
1167,1168
8167,8260
102650,99287
60172,60169
84167,74527
62977,61426
42059,45983
65703,65296
53196,53103
110558,110559
1859,1934
93404,93805
39045,34593
94483,74613
11189,11100
63600,58338
73551,73327
84458,74592
20752,9825
105101,95381
43939,39695
37788,34593
107417,107110
102677,99287
65575,60986
113643,95303
27015,9753
70866,67914
18892,9976
86113,74439
17513,13812
103082,99287
461,458
23339,10025
17007,13812
20606,9789
106749,106076
42976,50468
115920,95503
110618,95303
114633,115134
109889,106113
6455,5479
59105,58699
19538,25936
687,489
39914,41382
39793,46718
85954,74613
104572,107014
10681,10626
71283,67914
107415,115209
65908,67618
59554,67398
70669,67914
63800,63778
89855,74670
49901,30760
115298,95476
89742,74592
65051,65059
25161,9976
87404,87405
23308,25201
74518,74514
71322,67914
64997,60164
65443,58704
45857,30782
56315,57330
64228,64590
22728,9998
4204,2224
54334,53103
20257,9833
56465,57747
45913,45914
27704,9919
103201,99287
102821,99287
72981,73098
53941,53103
53909,53103
57062,57140
48929,48930
41728,30537
63740,63938
112261,106539
102902,99287
96090,95487
47712,30682
60167,59369
27970,29460
71618,67914
44939,42986
81949,78506
20502,9825
82605,78506
75112,75058
107708,107291
87194,74447
82557,78506
45587,30617
47424,47425
5167,2902
83864,83607
9614,9628
18259,13812
27733,27734
106038,95454
114705,114587
97196,95397
56602,57852
55026,53103
106287,95454
33928,34495
107514,95376
46205,43969
25110,9976
85328,85329
6211,8521
113936,95311
5066,2224
17582,13812
107107,107108
110848,95397
24409,22748
41690,30529
114215,112601
73662,73624
108322,95454
61090,67390
46970,41845
105439,114889
96877,96583
76895,76811
4391,2224
60145,60078
54278,53103
19647,19648
17324,13812
45602,45603
22426,9745
4874,2224
18548,14864
55300,53103
53975,53103
87862,83607
75771,74613
66666,66114
601,532
19624,9753
115829,115830
30789,30768
17884,13812
39073,34593
102947,99287
72327,72328
73461,73256
54712,53103
39040,34593
90447,93805
53442,53103
53220,53103
8698,8521
46422,46406
20145,20146
110579,110580
115976,115879
53787,53103
7532,9032
91709,74447
20834,9789
98556,99218
11937,10098
18525,18441
21420,9898
76625,76626
54968,53103
4581,2224
78005,74613
70658,67914
17864,13812
62561,58694
72098,67914
93708,93736
38418,34593
70942,67914
86998,86898
24706,9998
102438,99287
94044,74527
17944,13812
110697,95267
46008,30782
45722,30573
114830,95303
40745,50195
18328,13812
29349,9976
24563,9833
5994,5995
52741,52675
5948,5949
53790,53103
11335,9919
93125,93126
76062,75784
107513,95223
53229,53103
20241,20242
91326,74597
89809,74519
5910,5911
66015,58699
16548,9919
53875,53103
81971,78506
4118,2224
43390,43391
43284,40432
22304,22204
7294,7295
91859,74542
83448,83449
85530,74519
56435,57747
21719,9976
81982,78506
77864,74719
28165,9789
20908,9753
38904,34593
64132,64123
115851,115869
17926,13812
113402,95381
38447,34593
103007,99287
4522,2224
39057,34593
8420,5388
107275,107396
85580,74670
110288,95476
45737,30760
27016,9898
87191,84845
837,712
82394,78506
71166,67914
81659,78506
20161,9825
28710,29111
26274,10025
38341,34593
1586,1148
8987,8873
41729,30682
43907,30609
29683,29640
6510,5971
111536,106539
28355,9919
31205,31206
86157,94406
62106,62191
38847,34593
86467,86373
108035,110677
70752,67914
45483,30573
113898,95476
839,489
55022,53103
59566,59611
43628,30760
25922,9976
41168,50280
25426,25201
96883,96555
113646,95476
86160,74447
38827,34593
44792,44775
21028,9976
71572,67914
18264,13812
7506,7366
85585,74519
65177,67031
73152,73116
63702,58720
41058,30529
95502,95494
19032,20600
