src,dst
12001,20220
41409,40859
57996,23012
40159,40004
8420,8370
54330,23227
43253,23227
36599,23227
13903,19929
39596,23227
12161,12020
12786,22279
20459,20451
20475,20451
50144,23227
4035,3996
21397,21301
49608,49216
43714,23227
12104,12020
16136,16099
29578,23227
42364,23227
8427,8402
19411,18765
8778,8715
20464,20451
3752,3637
15582,15248
40241,39994
4038,22279
10878,10812
17222,20220
2696,20220
2290,2144
42802,23227
17799,17696
288,248
22645,22414
8894,8800
40092,40009
745,22279
20333,22764
55132,23227
7619,7556
17388,17324
57943,23012
40042,40004
9953,9806
454,22158
57225,57173
40117,40014
40227,39994
22472,22439
15819,15781
5668,5574
22751,22357
14244,23012
29117,28703
12094,19868
11207,22279
6413,6251
22911,22873
4375,22279
13316,19598
44906,23227
57868,23017
17793,17665
42746,23227
8299,20834
57418,57386
6237,6157
40205,40014
57879,23012
9210,9123
8777,8723
8186,8120
29097,28703
42831,42715
37447,23227
17013,16956
8309,8211
16641,22279
3726,22279
434,325
55858,23227
11674,11644
26523,23227
21731,20949
57058,56836
16482,16447
7524,7433
15421,15397
55287,23227
15088,20220
2271,2187
57468,20443
5903,19652
14957,14886
22680,22448
21152,21007
42946,42715
9238,22279
13076,13051
4284,22279
9367,9323
23380,23250
19049,20371
15478,15229
23021,22970
21796,21582
1304,1144
28955,28703
22714,22351
19033,18878
3436,19637
3802,3559
40179,40004
35937,23227
18326,18301
14626,20292
32674,23227
16527,22770
8906,8770
22914,20230
48223,23227
57964,23012
57031,56836
19363,18641
14540,19606
10641,19707
21360,19761
23390,23250
3813,20427
16242,16168
14806,14643
16911,16833
15611,15321
17125,17103
7390,7171
13931,13793
29356,28703
57343,20371
5754,5530
8071,7805
19328,18641
40103,40009
4588,22279
19524,19507
9960,9440
22704,22527
21809,21582
14676,14601
20471,20451
42954,42715
21052,20916
35812,23227
5702,5595
19060,18878
9390,9330
10198,22279
57304,19658
21740,21582
19958,19868
46256,23227
22182,22167
7079,20220
2448,2369
12743,22279
29163,28703
9527,9434
23249,23140
6780,6653
17616,17581
8319,8305
29430,28703
945,19724
18739,18597
2962,2842
3601,3532
5112,5093
20545,20531
40254,40009
3748,3568
436,325
3302,3282
2657,2608
10564,19707
1147,22279
15609,15347
19095,18878
16633,22279
10622,10537
4459,4245
46729,23227
21607,21206
11753,22770
13778,13741
42822,42715
29378,28703
10273,22279
23403,23250
6151,22279
41379,40859
57293,57173
54211,23227
42886,42715
14566,14513
7596,7517
29666,23227
12764,20784
1940,1873
19866,19836
13752,13785
19016,18872
42834,42715
42861,42715
14998,14907
57681,22167
4508,20220
6054,5900
41353,40859
637,596
42974,42715
17600,17553
20932,19685
21715,19441
15973,15898
15035,14903
5222,20220
15268,19728
23016,22902
57224,19543
15858,15793
49614,49216
6500,6486
2261,2174
