src,dst
8298,5226
37311,29672
35616,29695
37779,27971
34742,29672
36670,29672
30526,29672
32563,29672
37960,28035
36598,29672
34528,29672
10749,10531
36118,29695
7105,5954
10847,10885
38099,28146
957,1409
34236,29672
33480,29672
36289,29672
30791,29672
8292,5311
31918,29672
35333,29672
4952,4927
32886,29672
32682,29672
38679,29483
30957,29672
37653,27960
36547,29672
12368,12005
32463,29672
33242,29672
6888,4982
8882,4982
33335,29672
30652,29672
7722,5090
6115,6093
28711,28384
38749,29424
28688,28384
32081,29672
32401,29672
35244,29695
39175,29699
37297,29672
31751,29672
37263,29672
35746,29672
6589,4982
5823,5520
30546,29672
38103,28146
36044,29672
12262,12025
36283,29672
33234,29672
32968,29672
38471,28321
29668,29695
39093,29672
32347,29672
39123,29672
11727,11662
35574,29672
33616,29672
35922,29672
10689,10531
33612,29672
6954,6123
32786,29672
39392,29760
33074,29672
30415,29672
34403,29672
33313,29672
779,1339
5843,5844
35026,29695
5391,5392
677,661
33624,29672
32872,29672
36447,29672
34967,29672
31335,29672
12223,12005
34110,29672
32976,29672
35254,29695
29223,29143
37064,29672
33990,29672
39195,29699
12904,12891
35958,29695
36828,29672
36064,29695
33216,29672
32589,29672
36866,29672
1722,1707
12689,12423
14109,13820
32077,29672
31169,29672
31862,29672
32539,29672
33536,29672
12713,12423
31456,29672
30001,29672
31561,29672
38242,28243
5663,5630
32359,29672
32553,29672
31618,29672
33440,29672
35594,29695
38550,28363
8010,5152
5080,4923
38396,28273
31225,29672
34034,29672
5318,4931
38376,28273
6830,4982
8249,5356
28833,28384
36656,29672
38734,29424
32023,29672
35620,29672
6845,5954
37395,29672
12147,12135
36872,29672
34124,29672
33916,29672
32073,29672
37670,27960
3619,3549
30795,29672
36666,29672
371,380
31055,29672
32036,29672
37818,27971
34985,29672
30632,29672
35508,29672
30309,29626
14158,13820
34756,29672
38030,28095
36936,29672
37128,29672
37827,27971
38713,29443
10384,10606
5321,5226
32940,29672
31257,29672
35548,29672
36876,29672
31869,29672
35059,29672
10339,9667
6350,6140
10331,10223
30369,29672
8021,5226
9046,9054
34989,29672
31990,29672
35291,29672
37736,27971
33982,29672
14430,14431
9160,9054
33809,29672
6462,5132
28766,28384
37939,28035
10519,10531
35063,29672
12086,12005
34818,29672
34322,29672
31426,29672
35427,29695
28082,28052
34114,29672
6360,5135
30073,29672
4536,4891
33361,29672
7134,4982
637,612
6404,6405
36102,29695
28971,28955
14579,14532
33608,29672
36762,29672
36517,29672
32093,29672
32772,29672
30961,29672
36149,29695
33387,29672
33365,29672
32702,29672
11162,11224
11010,11004
28372,29496
9083,5453
33282,29672
36786,29672
8324,5311
12994,13158
37742,27971
31436,29672
33842,29672
37390,29672
31077,29672
31782,29672
38743,29424
8896,8884
38759,29409
36716,29672
37327,29672
33110,29672
33256,29672
34912,29672
35347,29672
9052,5014
32457,29672
31579,29672
37824,27971
35309,29672
36157,29672
32818,29672
32585,29672
38139,28176
12367,12316
30660,29672
226,286
35209,29672
11667,11695
35153,29672
33212,29672
32415,29672
6101,6000
30896,29672
32152,29672
34750,29672
39298,29726
6138,5954
35113,29672
30405,29672
30855,29672
39414,29760
10663,10208
28799,28384
36702,29672
10691,10223
38887,29515
199,200
9212,4941
32256,29672
35450,29695
37506,29672
33353,29672
5825,5660
10523,10531
6614,6372
33783,29672
5292,5249
36706,29672
34452,29626
