src,dst
4719,2623
14798,13376
13050,12974
18640,18477
8641,8005
10128,10132
7323,3339
10398,10292
16692,16678
8665,7684
6179,4469
3969,3970
8957,8541
33132,33125
15196,10292
8544,8505
15470,15462
26609,26555
9116,9062
13091,14164
42660,42651
9140,9062
11443,10490
10989,10490
6352,6430
6098,8582
4849,4777
9863,9532
39705,39585
9819,9612
12208,10490
44185,44209
39619,39585
309,50
12911,12985
23411,23384
28308,28231
7130,2986
32897,32825
44553,44496
13713,13467
12886,12887
13988,13943
21047,21048
19035,19024
9605,3339
12146,12132
12834,12232
3737,2859
7236,6830
15786,15636
23189,23123
28312,28231
13255,12981
13840,13435
13081,12974
22984,22920
6779,6921
15883,15548
16889,16904
961,902
16757,16759
41639,41610
16900,10292
7642,7613
4738,4771
4718,2623
1920,1822
8938,8541
16467,16464
2627,3437
6875,6921
15921,15835
10469,10425
34673,34655
9833,9643
16272,10292
15455,15299
44507,44496
1934,1571
9454,3339
4845,4777
30596,30569
8536,9011
8830,8505
3391,3365
26594,26531
13378,13097
44177,44213
7042,3010
9156,9000
2327,3259
8536,9017
7187,7089
17453,33871
9812,9788
14074,13890
10325,10329
46048,46024
19369,19350
45281,45282
14420,13356
5428,3897
34289,34274
12482,12226
38659,37557
19902,19854
14864,12651
2141,3010
23419,23384
45832,45805
16347,16312
32894,32825
15252,15097
15586,15576
9626,3339
8583,8560
5553,5447
45814,45805
2950,3339
3834,3836
13301,13273
14783,14903
5964,6027
14201,14139
40884,40860
14050,13910
2539,3010
1297,3036
14970,14903
44573,44496
20120,20103
5952,4477
5939,6451
4655,29782
9171,9017
14148,13845
42679,42651
13661,12997
9060,8407
30102,30089
12793,12531
14300,13403
9178,9000
12885,12363
6412,4412
11496,11608
5788,5266
34307,34274
22470,22435
24014,24015
14039,13895
2907,3003
5972,3437
11188,11171
8835,8407
12753,12232
4494,4385
4607,4535
34922,34912
29956,29939
16276,16232
30195,30196
47779,47661
15402,15345
1759,1540
5588,3674
10528,10490
8373,7679
